f1,accuracy,brier_score,roc_auc,model__kernel,model__C,model__gamma,model__degree
0.6958069379214684,0.6888012618296531,0.35360150901392196,0.7122314274664894,linear,0.0009765625,0.25,3
0.1891653379160337,0.3509463722397476,0.44863637789693633,0.5404864464527653,poly,0.015625,0.0078125,2
0.6587898072300166,0.6530757097791797,0.32695881861437454,0.7852191316121205,sigmoid,0.001953125,0.0009765625,2
0.47795800576383,0.4807833859095689,0.23948370753326553,0.46887529036179265,poly,0.125,64.0,2
0.35092852727497403,0.37515772870662456,0.2657906992613847,0.4497957391843991,poly,128.0,8.0,3
0.3453028423746308,0.3758412197686646,0.25862439138118143,0.42400713677956137,sigmoid,256.0,0.25,2
0.29490037756810344,0.3643533123028391,0.3129552145782077,0.41574471422230563,poly,8.0,1.0,4
0.19866800212072058,0.35478443743427973,0.4739691885843055,0.5334371828184192,poly,0.0625,1.0,2
0.5113741192541619,0.5148264984227129,0.33880980684541095,0.5916912417726784,linear,4.0,0.0078125,4
0.4527627621091393,0.4498685594111461,0.23757954178784935,0.5238042624209083,rbf,512.0,0.25,2
0.5197995396771052,0.5217665615141955,0.3859619712028288,0.5876652302641279,sigmoid,128.0,0.0078125,5
0.527207769709339,0.5197160883280757,0.26575631158404056,0.5483053543451744,linear,128.0,0.5,4
0.19734606771386737,0.35475814931650895,0.22796010751406903,0.541335446729402,poly,0.00390625,0.001953125,3
0.26020845699095985,0.38236067297581494,0.45511953022518803,0.49778220236922033,rbf,0.00390625,0.125,2
0.6375481909397137,0.6677181913774973,0.22791718583406495,0.536063124396676,sigmoid,0.25,16.0,4
0.29007111075222364,0.3645636172450053,0.32443624541551425,0.5350759118824949,poly,2.0,2.0,3
0.6022084763070347,0.600893796004206,0.2209730745425687,0.6201127998820899,rbf,0.00390625,512.0,3
0.3533273929119912,0.3805993690851735,0.29607960975438097,0.39897177091206293,poly,0.03125,16.0,5
0.27119282073292383,0.3667718191377497,0.3196857802875226,0.4980120589866563,rbf,128.0,0.125,4
0.6925806464066449,0.68630389064143,0.3497761081182653,0.6734387288361319,linear,0.125,0.001953125,4
0.6663069387528516,0.6593059936908517,0.332832746908887,0.6636927488459246,sigmoid,0.25,0.00390625,3
0.6101416556769056,0.6124605678233439,0.2783058644825801,0.7679056671182221,rbf,0.0625,32.0,5
0.42715526081413446,0.42920609884332284,0.49579676726017746,0.4652099213428479,sigmoid,0.015625,0.25,3
0.41191185186633883,0.4210042060988433,0.2690594021413349,0.40885583583069374,poly,128.0,128.0,4
0.3790764966834679,0.411540483701367,0.28332357828601407,0.4721871371083826,sigmoid,256.0,4.0,4
0.3284454295492746,0.35533648790746586,0.26307886813197656,0.42835199398092183,poly,0.015625,64.0,5
0.7136925437160819,0.7071503680336488,0.3472843533044824,0.7641286358757393,linear,0.001953125,0.0078125,3
0.4118441475473455,0.41903259726603576,0.2432764511746257,0.5030831995658007,poly,8.0,512.0,2
0.18295476316806872,0.3516298633017876,0.2280132099377013,0.492343702228768,sigmoid,4.0,512.0,5
0.6038907432701905,0.5983438485804415,0.34750635290581033,0.6678143785976345,rbf,128.0,0.0009765625,2
0.5940837933221379,0.5970820189274448,0.3552064547662427,0.666644716957633,rbf,1.0,0.0078125,4
0.6299438618180033,0.660515247108307,0.2280063802445187,0.533294396546038,sigmoid,0.03125,16.0,2
0.20267396905692897,0.35399579390115665,0.41606702752812735,0.49894884799552885,rbf,64.0,0.03125,2
0.49409936478609295,0.5202681388012618,0.21705643907157907,0.6603787924053344,rbf,64.0,512.0,3
0.22157658660368174,0.3656940063091483,0.49738539668076315,0.5660123070818208,poly,2.0,0.03125,2
0.68246947517562,0.6758675078864353,0.35282491114633724,0.7334595322376762,rbf,32.0,0.0009765625,2
0.25336464147685345,0.3800473186119874,0.4409795443459982,0.5288439970524423,rbf,0.5,0.125,2
0.20801201177034828,0.3573080967402734,0.4890275730149306,0.5273532557476794,poly,256.0,0.00390625,2
0.18295476316806872,0.3516298633017876,0.2279975673189743,0.49637940135517045,sigmoid,0.00390625,128.0,3
0.3540716593438299,0.3783123028391167,0.25859880668951807,0.45471380267057193,poly,32.0,128.0,3
0.49604568017505013,0.5219505783385909,0.21653506142693574,0.6564441130662128,rbf,64.0,512.0,5
0.19803663828222628,0.3561251314405889,0.6044571604577688,0.5468003119825187,poly,128.0,0.0625,4
0.6382277147663361,0.6663249211356467,0.22748468335165478,0.5471322644524224,sigmoid,2.0,16.0,5
0.6523255901141228,0.6458464773922187,0.3496256632244267,0.7133028489016788,linear,0.125,0.125,2
0.5781645875968202,0.582465825446898,0.2367242313370128,0.692487492424501,rbf,0.0009765625,256.0,3
0.2234941729374022,0.3631440588853838,0.49172821323745497,0.5867814745975384,poly,0.0009765625,0.00390625,2
0.19128866769882544,0.3532334384858044,0.22803789650493045,0.5230680943992523,poly,0.00390625,0.001953125,4
0.5004340746116462,0.5002891692954784,0.2595513474092001,0.6005113904319024,linear,64.0,0.125,4
0.18295476316806872,0.3516298633017876,0.2280259823621008,0.49155962354135274,sigmoid,0.0625,128.0,3
0.18295476316806872,0.3516298633017876,0.22802375542589476,0.491167584197645,sigmoid,0.125,32.0,5
0.1883593545892605,0.3516298633017876,0.22805218479422884,0.5136657005076457,poly,0.0078125,0.0078125,5
0.5989840339560684,0.5920609884332282,0.241642448117054,0.6133729004422306,rbf,8.0,8.0,5
0.6595194488161291,0.6554942166140905,0.3600228732029439,0.6814422531405826,linear,0.0078125,0.001953125,5
0.18271378187580106,0.34713459516298634,0.4391240963860261,0.5655606991943006,rbf,0.0078125,0.125,3
0.40518243878737414,0.4129074658254469,0.2673475401200729,0.420245055265253,poly,128.0,16.0,3
0.37875675440359435,0.3947423764458465,0.5157194926506159,0.49047671397360426,sigmoid,0.03125,0.25,5
0.21757797973247806,0.35828075709779184,0.41287184304885793,0.5101030941984676,poly,0.00390625,16.0,2
