Iteracja,R2,Params
10,0.8393206267552469,"{'model__min_samples_leaf': 8, 'model__min_samples_split': 5, 'model__n_estimators': 349}"
20,0.8532637835770663,"{'model__min_samples_leaf': 3, 'model__min_samples_split': 4, 'model__n_estimators': 215}"
30,0.8511902440589588,"{'model__min_samples_leaf': 3, 'model__min_samples_split': 4, 'model__n_estimators': 215}"
40,0.8501620229044122,"{'model__min_samples_leaf': 3, 'model__min_samples_split': 4, 'model__n_estimators': 215}"
50,0.850446472159428,"{'model__min_samples_leaf': 3, 'model__min_samples_split': 4, 'model__n_estimators': 215}"
60,0.8506866042375547,"{'model__min_samples_leaf': 3, 'model__min_samples_split': 4, 'model__n_estimators': 215}"
70,0.8494568031785397,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50}"
80,0.851056896367881,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50}"
90,0.8531529144750228,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 327}"
100,0.8524991746540556,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 327}"
110,0.8526619514830244,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 327}"
120,0.850894063490468,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 327}"
130,0.8500780892945071,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 101}"
140,0.8517102840709798,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 327}"
150,0.8514604515664709,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 124}"
160,0.8513766316456857,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 327}"
170,0.85084413287675,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 403}"
180,0.8518409602270586,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 3, 'model__n_estimators': 385}"
190,0.8520382702777851,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 377}"
