Iteracja,R2,Params
10,0.8665149671577175,"{'model__colsample_bytree': 0.7319939418114051, 'model__max_depth': 13, 'model__min_child_weight': 71.77882494693108}"
20,0.8665149671577175,"{'model__colsample_bytree': 0.7319939418114051, 'model__max_depth': 13, 'model__min_child_weight': 71.77882494693108}"
30,0.8665149671577175,"{'model__colsample_bytree': 0.7319939418114051, 'model__max_depth': 13, 'model__min_child_weight': 71.77882494693108}"
40,0.870012787752468,"{'model__colsample_bytree': 0.21233911067827616, 'model__max_depth': 12, 'model__min_child_weight': 71.77882494693108}"
50,0.870012787752468,"{'model__colsample_bytree': 0.21233911067827616, 'model__max_depth': 12, 'model__min_child_weight': 71.77882494693108}"
60,0.8739608501319365,"{'model__colsample_bytree': 0.17336465350777208, 'model__max_depth': 1, 'model__min_child_weight': 67.31855172647234}"
70,0.8739608501319365,"{'model__colsample_bytree': 0.17336465350777208, 'model__max_depth': 1, 'model__min_child_weight': 67.31855172647234}"
80,0.875921078981552,"{'model__colsample_bytree': 0.8872127425763265, 'model__max_depth': 1, 'model__min_child_weight': 67.61912305160585}"
90,0.875921078981552,"{'model__colsample_bytree': 0.8872127425763265, 'model__max_depth': 1, 'model__min_child_weight': 67.61912305160585}"
100,0.875921078981552,"{'model__colsample_bytree': 0.8872127425763265, 'model__max_depth': 1, 'model__min_child_weight': 67.61912305160585}"
110,0.875921078981552,"{'model__colsample_bytree': 0.8872127425763265, 'model__max_depth': 1, 'model__min_child_weight': 67.61912305160585}"
120,0.875921078981552,"{'model__colsample_bytree': 0.8872127425763265, 'model__max_depth': 1, 'model__min_child_weight': 67.61912305160585}"
130,0.875921078981552,"{'model__colsample_bytree': 0.8872127425763265, 'model__max_depth': 1, 'model__min_child_weight': 67.61912305160585}"
140,0.875921078981552,"{'model__colsample_bytree': 0.8872127425763265, 'model__max_depth': 1, 'model__min_child_weight': 67.61912305160585}"
150,0.875921078981552,"{'model__colsample_bytree': 0.8872127425763265, 'model__max_depth': 1, 'model__min_child_weight': 67.61912305160585}"
160,0.875921078981552,"{'model__colsample_bytree': 0.8872127425763265, 'model__max_depth': 1, 'model__min_child_weight': 67.61912305160585}"
170,0.875921078981552,"{'model__colsample_bytree': 0.8872127425763265, 'model__max_depth': 1, 'model__min_child_weight': 67.61912305160585}"
180,0.875921078981552,"{'model__colsample_bytree': 0.8872127425763265, 'model__max_depth': 1, 'model__min_child_weight': 67.61912305160585}"
190,0.875921078981552,"{'model__colsample_bytree': 0.8872127425763265, 'model__max_depth': 1, 'model__min_child_weight': 67.61912305160585}"
