Iteracja,R2,Params
10,0.9763611555099487,"{'model__alpha': 0.3745401188473625, 'model__l1_ratio': 0.9507143064099162}"
20,0.9763611555099487,"{'model__alpha': 0.3745401188473625, 'model__l1_ratio': 0.9507143064099162}"
30,0.9763611555099487,"{'model__alpha': 0.3745401188473625, 'model__l1_ratio': 0.9507143064099162}"
40,0.976101279258728,"{'model__alpha': 0.8324426408004217, 'model__l1_ratio': 0.21233911067827616}"
50,0.9765263199806213,"{'model__alpha': 0.3042422429595377, 'model__l1_ratio': 0.5247564316322378}"
60,0.9763404726982117,"{'model__alpha': 0.9656320330745594, 'model__l1_ratio': 0.8083973481164611}"
70,0.9763404726982117,"{'model__alpha': 0.9656320330745594, 'model__l1_ratio': 0.8083973481164611}"
80,0.9763404726982117,"{'model__alpha': 0.9656320330745594, 'model__l1_ratio': 0.8083973481164611}"
90,0.9763404726982117,"{'model__alpha': 0.9656320330745594, 'model__l1_ratio': 0.8083973481164611}"
100,0.9763404726982117,"{'model__alpha': 0.9656320330745594, 'model__l1_ratio': 0.8083973481164611}"
110,0.9763404726982117,"{'model__alpha': 0.9656320330745594, 'model__l1_ratio': 0.8083973481164611}"
120,0.9763555526733398,"{'model__alpha': 0.9624472949421112, 'model__l1_ratio': 0.25178229582536416}"
130,0.9763555526733398,"{'model__alpha': 0.9624472949421112, 'model__l1_ratio': 0.25178229582536416}"
140,0.9763555526733398,"{'model__alpha': 0.9624472949421112, 'model__l1_ratio': 0.25178229582536416}"
150,0.9763555526733398,"{'model__alpha': 0.9624472949421112, 'model__l1_ratio': 0.25178229582536416}"
160,0.9763555526733398,"{'model__alpha': 0.9624472949421112, 'model__l1_ratio': 0.25178229582536416}"
170,0.9763555526733398,"{'model__alpha': 0.9624472949421112, 'model__l1_ratio': 0.25178229582536416}"
180,0.9763555526733398,"{'model__alpha': 0.9624472949421112, 'model__l1_ratio': 0.25178229582536416}"
190,0.9763555526733398,"{'model__alpha': 0.9624472949421112, 'model__l1_ratio': 0.25178229582536416}"
