Iteracja,R2,Params
10,0.8742719002345454,"{'model__min_samples_leaf': 8, 'model__min_samples_split': 5, 'model__n_estimators': 349}"
20,0.9443197401723088,"{'model__min_samples_leaf': 3, 'model__min_samples_split': 4, 'model__n_estimators': 215}"
30,0.9411253494340829,"{'model__min_samples_leaf': 3, 'model__min_samples_split': 4, 'model__n_estimators': 215}"
40,0.942985808732632,"{'model__min_samples_leaf': 3, 'model__min_samples_split': 4, 'model__n_estimators': 215}"
50,0.939273620554478,"{'model__min_samples_leaf': 3, 'model__min_samples_split': 4, 'model__n_estimators': 215}"
60,0.9391842786175093,"{'model__min_samples_leaf': 3, 'model__min_samples_split': 4, 'model__n_estimators': 215}"
70,0.941908581825599,"{'model__min_samples_leaf': 3, 'model__min_samples_split': 2, 'model__n_estimators': 346}"
80,0.9468437398039512,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50}"
90,0.9530417942119964,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 327}"
100,0.9532888991910662,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 327}"
110,0.9514379125653114,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 327}"
120,0.9509692700986896,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 101}"
130,0.9514991695785688,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 327}"
140,0.9510687352900705,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 377}"
150,0.9517953037112645,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 101}"
160,0.9506320818322027,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 50}"
170,0.9484896488848125,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 4, 'model__n_estimators': 101}"
180,0.9547096087772486,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 403}"
190,0.9525933229920771,"{'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 424}"
