Iteracja,R2,Params
10,0.9388181910801585,"{'model__alpha': 0.3745401188473625, 'model__l1_ratio': 0.9507143064099162}"
20,0.9484884389025656,"{'model__alpha': 0.05808361216819946, 'model__l1_ratio': 0.8661761457749352}"
30,0.954974809952922,"{'model__alpha': 0.020584494295802447, 'model__l1_ratio': 0.9699098521619943}"
40,0.954974809952922,"{'model__alpha': 0.020584494295802447, 'model__l1_ratio': 0.9699098521619943}"
50,0.954974809952922,"{'model__alpha': 0.020584494295802447, 'model__l1_ratio': 0.9699098521619943}"
60,0.9525799222079284,"{'model__alpha': 0.06505159298527952, 'model__l1_ratio': 0.9488855372533332}"
70,0.9528397948454524,"{'model__alpha': 0.034388521115218396, 'model__l1_ratio': 0.9093204020787821}"
80,0.9528397948454524,"{'model__alpha': 0.034388521115218396, 'model__l1_ratio': 0.9093204020787821}"
90,0.9528397948454524,"{'model__alpha': 0.034388521115218396, 'model__l1_ratio': 0.9093204020787821}"
100,0.9528397948454524,"{'model__alpha': 0.034388521115218396, 'model__l1_ratio': 0.9093204020787821}"
110,0.9526157376314595,"{'model__alpha': 0.006952130531190703, 'model__l1_ratio': 0.5107473025775657}"
120,0.9526157376314595,"{'model__alpha': 0.006952130531190703, 'model__l1_ratio': 0.5107473025775657}"
130,0.9526157376314595,"{'model__alpha': 0.006952130531190703, 'model__l1_ratio': 0.5107473025775657}"
140,0.9526157376314595,"{'model__alpha': 0.006952130531190703, 'model__l1_ratio': 0.5107473025775657}"
150,0.9526157376314595,"{'model__alpha': 0.006952130531190703, 'model__l1_ratio': 0.5107473025775657}"
160,0.9526157376314595,"{'model__alpha': 0.006952130531190703, 'model__l1_ratio': 0.5107473025775657}"
170,0.9526157376314595,"{'model__alpha': 0.006952130531190703, 'model__l1_ratio': 0.5107473025775657}"
180,0.9526157376314595,"{'model__alpha': 0.006952130531190703, 'model__l1_ratio': 0.5107473025775657}"
190,0.9526157376314595,"{'model__alpha': 0.006952130531190703, 'model__l1_ratio': 0.5107473025775657}"
