dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.05833392143249512,0.002324913389475854,0.011844301223754882,0.0010404953001729724,gini,17,10,58,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.8615684680237342,0.9028951418532392,0.8478284016222861,0.8734210297064204,0.8630929910658109,0.8697612064542982,0.01846015150813231,1
0,0.05264921188354492,0.006284075817139371,0.007081842422485352,0.0007106078704946325,entropy,17,10,58,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.8545072644732894,0.8943384537948524,0.8479009979576231,0.8513130257184617,0.8687700244891639,0.8633659532866782,0.017037687912843057,30
0,0.060053682327270506,0.002500200597634157,0.010085487365722656,0.001416144109571593,gini,17,10,58,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.8615684680237342,0.9028951418532392,0.8478284016222861,0.8734210297064204,0.8630929910658109,0.8697612064542982,0.01846015150813231,1
0,0.051951932907104495,0.003828343698775254,0.00906667709350586,0.0008398030336476289,entropy,17,10,58,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.8545072644732894,0.8943384537948524,0.8479009979576231,0.8510032813543572,0.8687700244891639,0.8633040044138571,0.017081905356865178,34
0,0.05872178077697754,0.002935039791784611,0.010308218002319337,0.0017559843190019335,entropy,17,10,58,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.855223548315281,0.8943384537948524,0.8479009979576231,0.8510032813543572,0.8673132580267349,0.8631559078897698,0.01692900272579585,41
0,0.053638267517089847,0.004618668722054475,0.009638595581054687,0.0008574534968575656,entropy,17,10,58,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.855223548315281,0.8943384537948524,0.8479009979576231,0.8510032813543572,0.8687700244891639,0.8634472611822556,0.017010384932593815,26
0,0.054795122146606444,0.005677190061161994,0.009805107116699218,0.0014326023128414173,entropy,17,10,58,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.8533699218863431,0.8943384537948524,0.8479009979576231,0.8510032813543572,0.8687700244891639,0.8630765358964678,0.01720466277236471,44
0,0.056603622436523435,0.004669271176026612,0.009305286407470702,0.0006835573742333335,entropy,17,10,58,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.8533699218863431,0.8943384537948524,0.8479009979576231,0.8513130257184617,0.8687700244891639,0.8631384847692889,0.017161582757480157,42
0,0.056905937194824216,0.004109200022379015,0.009335947036743165,0.0013872561284012756,entropy,17,10,58,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.8545072644732894,0.8943384537948524,0.8479009979576231,0.8510032813543572,0.8687700244891639,0.8633040044138571,0.017081905356865178,34
0,0.06394543647766113,0.0024666366807715523,0.011913537979125977,0.0008638403725717736,gini,17,10,58,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.8615684680237342,0.9028951418532392,0.8473202272749272,0.8734210297064204,0.862328309666928,0.8695066353050498,0.018638102977932714,23
0,0.06349844932556152,0.001732265926894398,0.01187582015991211,0.0013514752594936195,gini,17,10,58,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.8615684680237342,0.9028951418532392,0.8473202272749272,0.8734210297064204,0.862328309666928,0.8695066353050498,0.018638102977932714,23
0,0.059128856658935545,0.003910753903473442,0.011673069000244141,0.0010394072114807821,entropy,17,10,58,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.8533699218863431,0.8943384537948524,0.8479009979576231,0.8513130257184617,0.8687700244891639,0.8631384847692889,0.017161582757480157,42
0,0.0641059398651123,0.0023269285693547797,0.011875438690185546,0.0006146986649921769,gini,17,10,58,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.8615684680237342,0.9028951418532392,0.8473202272749272,0.8734210297064204,0.8630929910658109,0.8696595715848264,0.018581625004355066,10
0,0.05865039825439453,0.0014719946901110483,0.011048173904418946,0.00046709242395946834,entropy,17,10,58,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 17), ('model__min_samples_leaf', 10), ('model__min_samples_split', 58)])",0.8533699218863431,0.8943384537948524,0.8479009979576231,0.8510032813543572,0.8687700244891639,0.8630765358964678,0.01720466277236471,44
