dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__max_samples,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7814971923828125,0.002485769418326481,0.03919897079467773,0.0031529265260807297,0.410104548749355,0.8638628715886625,233,226,"OrderedDict([('model__max_features', 0.410104548749355), ('model__max_samples', 0.8638628715886625), ('model__min_samples_leaf', 233), ('model__n_estimators', 226)])",0.8675068482543001,0.861563628268045,0.8635479281005894,0.8272400809207151,0.848665679356506,0.8537048329800312,0.014662325745699286,91
0,4.122936964035034,0.1033053148651556,0.049605512619018556,0.006192604295593313,0.8373885181649289,0.9416576386904312,77,480,"OrderedDict([('model__max_features', 0.8373885181649289), ('model__max_samples', 0.9416576386904312), ('model__min_samples_leaf', 77), ('model__n_estimators', 480)])",0.9104161221941516,0.8869142685677227,0.8815905373096766,0.8548073293260157,0.8863238183736484,0.8840104151542431,0.01771847394136101,78
0,1.8425384998321532,0.03294545460656978,0.03481645584106445,0.0023513773203583197,0.4448330674686395,0.9593612608346885,27,273,"OrderedDict([('model__max_features', 0.4448330674686395), ('model__max_samples', 0.9593612608346885), ('model__min_samples_leaf', 27), ('model__n_estimators', 273)])",0.9244320546698802,0.9072509219734587,0.8963517921615317,0.8822293850606422,0.9109968928768476,0.9042522093484721,0.01420655181134032,71
0,2.033846616744995,0.04029235440357627,0.04525833129882813,0.008035127772182002,0.812396175961375,0.5859357806982803,150,421,"OrderedDict([('model__max_features', 0.812396175961375), ('model__max_samples', 0.5859357806982803), ('model__min_samples_leaf', 150), ('model__n_estimators', 421)])",0.8685183571933288,0.855988229714164,0.8636060051688591,0.8279950828082199,0.8457327874088916,0.8523680924586927,0.014410399018448863,92
0,2.2078821659088135,0.03794659083872406,0.038628578186035156,0.0015031808176827058,0.7995536420537315,0.7190145932204617,132,386,"OrderedDict([('model__max_features', 0.7995536420537315), ('model__max_samples', 0.7190145932204617), ('model__min_samples_leaf', 132), ('model__n_estimators', 386)])",0.8862173437484876,0.8684893186591942,0.8749455527484973,0.8374422859134071,0.8616652631375168,0.8657519528414206,0.016303287706237856,86
0,1.6672898769378661,0.049665643994053155,0.024699926376342773,0.004039312430593348,0.7340282839575504,0.9696848688013859,42,175,"OrderedDict([('model__max_features', 0.7340282839575504), ('model__max_samples', 0.9696848688013859), ('model__min_samples_leaf', 42), ('model__n_estimators', 175)])",0.9177628713302552,0.8941835816128002,0.8894115825033152,0.8722401293182721,0.900484943520051,0.8948166216569386,0.014818727617994567,74
0,2.7780285358428953,0.047557997888139775,0.04675607681274414,0.006411779061859355,0.6170797414229579,0.8876821894139413,90,450,"OrderedDict([('model__max_features', 0.6170797414229579), ('model__max_samples', 0.8876821894139413), ('model__min_samples_leaf', 90), ('model__n_estimators', 450)])",0.9044245046510052,0.8796933530795366,0.8771476415870528,0.851032319888492,0.8806709837287414,0.8785937605869656,0.016937978463026502,80
0,2.291899490356445,0.06192183271807387,0.04319577217102051,0.004596259721272208,0.5434035242872449,0.9600046132186582,125,435,"OrderedDict([('model__max_features', 0.5434035242872449), ('model__max_samples', 0.9600046132186582), ('model__min_samples_leaf', 125), ('model__n_estimators', 435)])",0.8967292931052839,0.8767120635750307,0.8778058483607747,0.8479542352702035,0.8743115447532208,0.8747025970129026,0.015585064923359142,82
0,1.6063856124877929,0.020035089395025997,0.03281488418579102,0.00540249414473258,0.955478030831942,0.8503107223106829,218,266,"OrderedDict([('model__max_features', 0.955478030831942), ('model__max_samples', 0.8503107223106829), ('model__min_samples_leaf', 218), ('model__n_estimators', 266)])",0.8597487198846202,0.8500401699722199,0.8549476822410006,0.8264899187888995,0.8389377704213492,0.8460328522616178,0.01196598720111244,94
0,0.4259464740753174,0.00943557382294967,0.022499275207519532,0.004224479310121485,0.003631303624435972,0.9089150098318758,186,202,"OrderedDict([('model__max_features', 0.003631303624435972), ('model__max_samples', 0.9089150098318758), ('model__min_samples_leaf', 186), ('model__n_estimators', 202)])",0.8481575050091472,0.8407333197820173,0.8154407565506093,0.794663685377162,0.8515259749687836,0.830104248337544,0.021766208224770617,98
0,12.327893543243409,0.2766256088857848,0.06767234802246094,0.004865665534821722,1.0,1.0,1,500,"OrderedDict([('model__max_features', 1.0), ('model__max_samples', 1.0), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.9289136684380174,0.9393094636582745,0.9054553726127905,0.9125746532315049,0.9228639738266013,0.9218234263534377,0.011921147260274049,63
0,8.05588731765747,0.12041573799983311,0.06375222206115723,0.005734885587068187,1.0,0.5,1,500,"OrderedDict([('model__max_features', 1.0), ('model__max_samples', 0.5), ('model__min_samples_leaf', 1), ('model__n_estimators', 500)])",0.9298719400644655,0.9423246314526043,0.9075074290249827,0.9151252044796778,0.9266873808210161,0.9243033171685493,0.012064830707817187,53
0,0.4980021953582764,0.012523306245242585,0.018939685821533204,0.0013999588348717236,0.19933391477830495,0.518745587704588,1,100,"OrderedDict([('model__max_features', 0.19933391477830495), ('model__max_samples', 0.518745587704588), ('model__min_samples_leaf', 1), ('model__n_estimators', 100)])",0.9327031971426082,0.9378672164629129,0.904158318088103,0.9043809468498031,0.9246934014770934,0.9207606160041042,0.014104309148481138,66
