trial,booster,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,value,time
0,gbtree,0.24646688973455957,0.32479561626896214,0.2657846934562037,9,20.814367336189438,755,64.77532426827341,4.0428727350273315,0.7989954563585538,0.6602537502030182,2.53124
1,gbtree,0.34672360788274703,0.3454599737656805,0.00011861690371243162,13,27.967067056141072,1419,0.010996218010237245,1.40779231399724,0.9774323891214958,0.8106077254199857,8.428531
2,gbtree,0.5648559873736287,0.4930894746349534,0.0011195018979975153,3,38.1023703639727,870,18.533502111715695,0.01577766363058246,0.7088896710417846,0.7958815519189263,3.396895
3,gbtree,0.9591084298026666,0.25204127438822366,0.013611714042498597,10,22.656563708286026,1033,301.0828323371717,70.85721663941601,0.28483780953999827,0.5,2.747343
4,gbtree,0.22751081689217473,0.5961415280890161,0.00022481268581995073,7,16.49885582528691,616,126.14674784489826,0.035700959600309494,0.7631747698841177,0.6538083364492477,1.971151
5,gbtree,0.8201062586888916,0.9756677022116469,0.001326789408689306,9,24.476515851741933,1329,201.0721987450936,233.86439256208715,0.6400510158833581,0.5767826146086191,4.451752
6,gbtree,0.5109418317515857,0.4602642646106115,0.20924076492348906,3,6.743865691638335,1200,0.006615366471747824,93.84800715909533,0.3163693765389396,0.8308795365916026,5.093314
7,gbtree,0.9895095492804138,0.2596405149438167,0.001027881282043665,3,102.87901655576304,720,15.177443791190449,0.015570196345516612,0.6570220623686863,0.6510029037886118,2.59187
8,gbtree,0.48677258283541813,0.2592357213872723,0.08656473142106183,11,98.9513340291151,20,0.0005989585937565717,150.8761367568167,0.7801430078857128,0.6435533894342734,0.410546
9,gbtree,0.7100459770841705,0.7836849426704513,0.0015556594680629077,5,42.298281897396876,1250,89.64989861647395,0.6812233896860297,0.2976687627145177,0.6118584290125917,3.911071
10,gbtree,0.4141461509698972,0.48941405283079625,0.030327967312050605,1,72.83286251653821,1908,0.042960803961343164,10.316833991568032,0.438232154979619,0.658606572915206,5.14613
11,gbtree,0.3920532665109229,0.4179306474477347,0.3754414196483786,14,4.985159028766695,1661,0.012235083102284765,0.5704409526595715,0.959357289980285,0.8054270895594161,10.15543
12,gbtree,0.3453109225034605,0.6674139122073675,0.0001651414742612318,15,60.52556279875595,1436,0.0004988340024097086,671.6346526687574,0.47658972219146783,0.6502619347974213,4.858834
13,gbtree,0.6405532569000698,0.3957506341159537,0.005339430700195971,12,1.3494477533039735,1667,0.33288902214315774,12.972618567849958,0.9940139977399695,0.8436255098591229,20.156329
14,gbtree,0.6566081422299506,0.6098646400400944,0.006693153529978223,12,4.561858669363737,1955,1.6740034676059856,22.099208343326936,0.5022348580793201,0.8373646844719549,17.027971
15,gbtree,0.6908813220467248,0.6342832010968956,0.007387854231573423,12,57.96560322503965,1971,1.2237410333154237,24.89315480502164,0.5146363256850995,0.6675180694051732,8.272226
16,gbtree,0.6456742880725642,0.8007977888100207,0.0036135423815039694,7,1.4858208224369556,1747,0.8719383194499206,0.0011997072580708817,0.8796544521120457,0.8428945893500656,18.164574
17,gbtree,0.8511949644622654,0.8553477360464393,0.003725982378768836,7,80.56282202105527,1663,0.5368634689425572,0.0015531844045144523,0.87207405026633,0.6694723718640245,8.010544
18,gbtree,0.7804343730897717,0.7859908897653658,0.025434808090266627,6,42.006978948559436,1598,0.12340432487062923,0.1444150370391158,0.8933132159340825,0.8140049204394393,8.479181
19,gbtree,0.5985640196254172,0.9914433475434633,0.0031962238041835437,8,112.5296766663991,453,3.1032801955897407,0.0018202983504851395,0.8651687643162422,0.6574682232245885,2.168687
20,gbtree,0.7469418470621612,0.7286132764751371,0.00045381110780698327,5,126.30795386192561,1785,0.24557744114911986,0.13376111033886598,0.997169038303934,0.6564991583700873,7.412212
21,gbtree,0.6479428881556301,0.5788347424528902,0.006528742191927639,12,1.071556561923534,1883,2.7326518424207564,11.662132002162815,0.5637165257587249,0.842621760665394,19.789921
22,gbtree,0.6403666987703247,0.5558225530318381,0.0131286982266421,11,2.5869745042370065,1549,6.564706268367227,8.13069171176305,0.5766187425129814,0.8403891614255484,11.326336
23,gbtree,0.5472673034634858,0.37271825035762796,0.002923070769453885,15,13.626022961221722,1782,0.10188725345027703,1.9722007789857545,0.9283685896050411,0.8350807109281384,13.606882
