trial,booster,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,value,time,dataset
0,gbtree,0.24646688973455957,0.32479561626896214,0.2657846934562037,9,20.814367336189438,755,64.77532426827341,4.0428727350273315,0.7989954563585538,0.8011338908112264,0.427158,43980
1,gbtree,0.34672360788274703,0.3454599737656805,0.00011861690371243162,13,27.967067056141072,1419,0.010996218010237245,1.40779231399724,0.9774323891214958,0.8227775134563629,2.078949,43980
2,gbtree,0.5648559873736287,0.4930894746349534,0.0011195018979975153,3,38.1023703639727,870,18.533502111715695,0.01577766363058246,0.7088896710417846,0.8067746419646289,0.786162,43980
3,gbtree,0.9591084298026666,0.25204127438822366,0.013611714042498597,10,22.656563708286026,1033,301.0828323371717,70.85721663941601,0.28483780953999827,0.5,0.538524,43980
4,gbtree,0.22751081689217473,0.5961415280890161,0.00022481268581995073,7,16.49885582528691,616,126.14674784489826,0.035700959600309494,0.7631747698841177,0.7907933366974241,0.381192,43980
5,gbtree,0.8201062586888916,0.9756677022116469,0.001326789408689306,9,24.476515851741933,1329,201.0721987450936,233.86439256208715,0.6400510158833581,0.5,0.718708,43980
6,gbtree,0.5109418317515857,0.4602642646106115,0.20924076492348906,3,6.743865691638335,1200,0.006615366471747824,93.84800715909533,0.3163693765389396,0.8646865868896578,1.10288,43980
7,gbtree,0.9895095492804138,0.2596405149438167,0.001027881282043665,3,102.87901655576304,720,15.177443791190449,0.015570196345516612,0.6570220623686863,0.7761455329680892,0.564572,43980
8,gbtree,0.48677258283541813,0.2592357213872723,0.08656473142106183,11,98.9513340291151,20,0.0005989585937565717,150.8761367568167,0.7801430078857128,0.7714172373606305,0.081062,43980
9,gbtree,0.7100459770841705,0.7836849426704513,0.0015556594680629077,5,42.298281897396876,1250,89.64989861647395,0.6812233896860297,0.2976687627145177,0.6322016111591695,0.646347,43980
10,gbtree,0.4141461509698972,0.48941405283079625,0.030327967312050605,1,72.83286251653821,1908,0.042960803961343164,10.316833991568032,0.438232154979619,0.801577872693195,1.096439,43980
11,gbtree,0.3920532665109229,0.4179306474477347,0.3754414196483786,14,4.985159028766695,1661,0.012235083102284765,0.5704409526595715,0.959357289980285,0.88620901816609,1.959061,43980
12,gbtree,0.6316960854422382,0.4500978159899165,0.3183497149610406,15,3.5413219848863506,1774,0.0006488474537993601,0.17598056881179136,0.5005799303981419,0.8721724216647443,2.16289,43980
13,gbtree,0.7006885375021191,0.6798818128178854,0.050473469071104136,15,1.3210225714683466,1993,0.0003498320381042442,0.14106164900770488,0.5006453580267618,0.8973089436755094,4.045057,43980
14,gbtree,0.7562079240075343,0.7209823448338395,0.05526645693181364,15,59.37306126321974,1652,0.5577546902704839,0.2660845156264435,0.9352019394553477,0.8537251057285659,1.607502,43980
15,gbtree,0.38464029804535144,0.6934626976626309,0.008212321609538708,12,57.96560322503965,1971,0.00011753127282418845,0.12809121854197536,0.51340498007944,0.826446510957324,1.608269,43980
16,gbtree,0.8635721783730341,0.8825801576334544,0.0958825043056104,13,80.92474058578654,1606,0.4539673987359336,0.0011997072580708817,0.8796544521120457,0.8395021386005384,1.378014,43980
17,gbtree,0.649923210169855,0.6052539044119066,0.034213472221084194,15,1.726991944593101,1529,0.0043425395609093835,0.0026521608899810517,0.5728390621777081,0.8984260140330642,3.675997,43980
18,gbtree,0.6511797592171463,0.6011656123378933,0.019098486804283107,7,41.99138784304268,1996,0.0010715416360523803,0.00129014032644177,0.5327469780747836,0.8462868488081506,1.829188,43980
19,gbtree,0.7354393824572717,0.5986762966280046,0.0035106233622502394,12,112.453298412175,1489,0.11059385712481488,0.00325702244333573,0.40102271569216197,0.5,0.755388,43980
20,gbtree,0.870186112940752,0.8099648962770213,0.032556372691906796,15,126.29568340119363,180,0.00011966528204699816,918.4525204476176,0.5551432085816395,0.7661944804882738,0.208545,43980
21,gbtree,0.5809198677667171,0.652099648083598,0.11686918049410219,14,1.0303378829118799,1740,0.0030875868831214716,0.0504724546847289,0.5837281810118964,0.8965373654363706,2.836821,43980
