trial,C,class_weight,l1_ratio,max_iter,penalty,solver,value,time
0,0.09915644566638401,balanced,0.6351221010640696,1500,elasticnet,saga,0.8127732798162953,0.707403
1,71.77141927992021,balanced,0.024810409748678097,1500,elasticnet,saga,0.8137135047228057,5.917343
2,0.0017707168643537846,balanced,0.0004207053950287938,1500,elasticnet,saga,0.7933216080415617,0.631743
3,0.00029152036385288323,balanced,0.29154431891537513,1500,elasticnet,saga,0.5580219924892761,0.412095
4,6.4405075539937195,balanced,0.06796578090758151,1500,elasticnet,saga,0.8141535105878235,2.046855
5,0.00014610865886287216,balanced,0.7579479953348001,1500,elasticnet,saga,0.5,0.13846
6,456.6054873446131,balanced,0.0007068974950624604,1500,elasticnet,saga,0.8136961418510222,9.334475
7,0.002848391870910803,balanced,0.0005415244119402539,1500,elasticnet,saga,0.7984716631928882,0.460927
8,0.027160511446548512,balanced,0.012561043700013555,1500,elasticnet,saga,0.8137428489657363,0.54407
9,0.2854697857797185,balanced,0.0014618962793704966,1500,elasticnet,saga,0.81593557320555,0.586952
10,1.4879407303218222,balanced,0.002766416373396857,1500,elasticnet,saga,0.8150267681763399,1.274513
11,1.3941108780691058,balanced,0.002440077192766222,1500,elasticnet,saga,0.8150511182179044,1.254293
12,0.1505471751647399,balanced,0.0030832935277419313,1500,elasticnet,saga,0.8159951748998132,0.730923
13,0.04121620481794259,balanced,0.00011898441102833139,1500,elasticnet,saga,0.8146790992487349,0.58333
14,3764.3934677033494,balanced,0.0032992632816126106,1500,elasticnet,saga,0.8136899582546002,12.383975
15,16.03919167494198,balanced,0.006021338341710762,1500,elasticnet,saga,0.8138852084353678,2.769514
16,0.20624222459181504,balanced,0.0011264370537118467,1500,elasticnet,saga,0.8159506161595209,0.777452
17,0.012536347745304838,balanced,0.00013099399660447073,1500,elasticnet,saga,0.8105673648123601,0.491666
18,0.31752071387365033,balanced,0.02523922132627945,1500,elasticnet,saga,0.8158958687152665,0.846489
19,0.004706016116651622,balanced,0.0010635272845325836,1500,elasticnet,saga,0.8033609458683582,0.482937
20,11.414664381428027,balanced,0.000254892772025981,1500,elasticnet,saga,0.8139068636763409,2.475671
21,0.18703416806613718,balanced,0.0013724913856854467,1500,elasticnet,saga,0.8159878589275474,0.779257
22,0.43167422224749735,balanced,0.006248817107933979,1500,elasticnet,saga,0.8157928168567616,0.892218
23,0.08734664990573208,balanced,0.001399403846789746,1500,elasticnet,saga,0.8156762263085299,0.679936
24,3.0953014055689114,balanced,0.00027267051727796274,1500,elasticnet,saga,0.8144124388691092,1.588004
25,70.35426308175843,balanced,0.006146407281353973,1500,elasticnet,saga,0.8137265740817425,5.019234
26,0.1444546514913736,balanced,0.013044871938415437,1500,elasticnet,saga,0.8159773083982241,0.722257
27,0.00919655512655958,balanced,0.07393326647387263,1500,elasticnet,saga,0.806511215000751,0.47366
28,0.03179146152129185,balanced,0.012870339377645132,1500,elasticnet,saga,0.8141874146749539,0.583757
29,0.0006596760844803929,balanced,0.04264053771622268,1500,elasticnet,saga,0.7581546576654148,0.443615
30,0.0936422966504733,balanced,0.3995362383159555,1500,elasticnet,saga,0.8141629147614359,0.694093
31,0.4873884411732067,balanced,0.003626139465373227,1500,elasticnet,saga,0.8156972242662823,0.942434
32,0.2040746239189002,balanced,0.0015701267871733994,1500,elasticnet,saga,0.8159646001408893,0.777091
33,0.7865094521296285,balanced,0.019999696519414054,1500,elasticnet,saga,0.8154774923256926,1.072524
34,0.10695837767278284,balanced,0.0019486571961429243,1500,elasticnet,saga,0.8157170142266267,0.694195
35,3.4075374732565633,balanced,0.004987865290886412,1500,elasticnet,saga,0.814404718576184,1.642535
36,0.0013572940123341161,balanced,0.12164995921366153,1500,elasticnet,saga,0.7344212579624992,0.460978
37,38.07171745272925,balanced,0.0007463005503947211,1500,elasticnet,saga,0.813778537654398,3.944342
38,0.01635309198299368,balanced,0.00033600587473409544,1500,elasticnet,saga,0.8121758654497832,0.50592
39,0.08653686031804095,balanced,0.011028898174669968,1500,elasticnet,saga,0.8157123189379207,0.694661
40,2.352754480478317,balanced,0.0007035534257055692,1500,elasticnet,saga,0.8146629326619572,1.457779
41,0.2096554270062062,balanced,0.0012572214901978213,1500,elasticnet,saga,0.8159665887390091,0.79602
42,0.7817680086693777,balanced,0.00201696597620508,1500,elasticnet,saga,0.8154071917505683,1.072534
43,0.19543793144414393,balanced,0.0005031373527021445,1500,elasticnet,saga,0.8159895080631183,0.774478
44,0.05814283344390589,balanced,0.000463144410862575,1500,elasticnet,saga,0.815244783269525,0.619805
45,0.006113763273365347,balanced,0.00019631391382877002,1500,elasticnet,saga,0.8058133739117991,0.481277
46,0.02401248373808049,balanced,0.0008501961537812709,1500,elasticnet,saga,0.8135050153357892,0.536668
47,0.17588927353790157,balanced,0.004103816928671062,1500,elasticnet,saga,0.8159666973552419,0.788107
48,356.8938053155342,balanced,0.003744144480885882,1500,elasticnet,saga,0.8137117594097085,8.824686
49,5.337980406040246,balanced,0.008538755652649657,1500,elasticnet,saga,0.8141684524354809,1.86651
50,0.9961317943267431,balanced,0.02501181112418235,1500,elasticnet,saga,0.8152734666856203,1.132104
51,0.2013006192375495,balanced,0.002888359512210879,1500,elasticnet,saga,0.8159854949624226,0.769838
52,0.13359039388443028,balanced,0.0026158615267458593,1500,elasticnet,saga,0.8158672388722812,0.72506
53,0.040992753226069066,balanced,0.00434261193594523,1500,elasticnet,saga,0.8146933696159132,0.575388
54,0.4543602989706536,balanced,0.016781036023934864,1500,elasticnet,saga,0.8158052882177196,0.937093
55,1.7473349475333932,balanced,0.008786872274569351,1500,elasticnet,saga,0.814904228514187,1.336519
56,0.054051766120111026,balanced,0.002160194844132197,1500,elasticnet,saga,0.8151400773842844,0.608418
57,0.17113941136178895,balanced,0.0005552070406037849,1500,elasticnet,saga,0.8159942743786848,0.751204
58,0.015898272150457863,balanced,0.0006219486857659514,1500,elasticnet,saga,0.812172246371967,0.504368
59,8927.755344760326,balanced,0.00045362315332788045,1500,elasticnet,saga,0.8136993922168643,12.625606
60,0.44230272819592903,balanced,0.00024351969979027942,1500,elasticnet,saga,0.8157659208304575,0.89972
61,0.2495296686391747,balanced,0.000992545392783828,1500,elasticnet,saga,0.8158964117548639,0.812497
62,0.20226595760456906,balanced,0.00015719087837894584,1500,elasticnet,saga,0.815977716463649,0.781079
63,0.06328919418033134,balanced,0.00012940953721586728,1500,elasticnet,saga,0.815388604850903,0.622658
64,0.5981989718976939,balanced,0.00016038691092612565,1500,elasticnet,saga,0.8155963522248262,0.969761
65,0.14048982788948658,balanced,0.0003176029054851271,1500,elasticnet,saga,0.8159916012823438,0.732508
66,0.025418487040209735,balanced,0.0003692452085464923,1500,elasticnet,saga,0.8137261097269044,0.538559
67,1.0165275304236372,balanced,0.00010473919711730298,1500,elasticnet,saga,0.8152734883470119,1.169331
68,0.32432205807367015,balanced,0.00020972480071277744,1500,elasticnet,saga,0.8158922920412502,0.852736
69,0.11981851990832908,balanced,0.00031576027057570014,1500,elasticnet,saga,0.8158241856826587,0.706865
