trial,bootstrap,criterion,max_features,max_samples,min_samples_leaf,n_estimators,value,time,dataset
0,True,gini,0.22479561626896213,0.5780093202212182,0.061616722433639894,381,0.7890163292361926,2.750541,45062
1,True,entropy,0.7659541126403374,0.9849549260809971,0.09246782213565524,868,0.7989798197569749,9.623433,45062
2,True,log_loss,0.3329833121584336,0.7159725093210578,0.17237057894447588,190,0.7595811962997387,1.358306,45062
3,True,log_loss,0.25973902572668783,0.8925879806965068,0.1528468876827223,148,0.7708044200903249,1.103542,45062
4,True,entropy,0.8591084298026667,0.5325257964926398,0.24312640661491186,597,0.5,3.519508,45062
5,True,log_loss,0.19763058787582308,0.7200762468698007,0.14903538202225403,811,0.7643680556238579,5.716931,45062
6,True,gini,0.5160544169422486,0.6558555380447055,0.15934205586865594,44,0.758866905510259,0.398998,45062
7,True,gini,0.5783199830488681,0.9474136752138245,0.23437484700462335,193,0.7738305892177976,1.590915,45062
8,True,log_loss,0.3170792254191167,0.6943386448447411,0.21574750183038588,97,0.7540176218297634,0.701538,45062
9,True,entropy,0.15964051494381667,0.9010984903770198,0.24737738732010345,363,0.7621386506440436,2.500052,45062
10,True,log_loss,0.6832057344327899,0.8534286719238086,0.20425406933718915,775,0.782028007211416,6.387404,45062
11,True,log_loss,0.3647184198821194,0.811649063413779,0.06271167005720474,83,0.7991842657261758,0.818406,45062
12,True,entropy,0.4777719401295595,0.9436063712881633,0.07391884918766034,318,0.7997999722141682,3.204013,45062
13,True,log_loss,0.5181862635055953,0.7468977981821954,0.13550820367170993,716,0.7856585874688523,5.881467,45062
14,True,log_loss,0.5068565529317622,0.6571779905381634,0.2315132947852186,35,0.6299918157311195,0.279029,45062
15,True,entropy,0.3318011623310144,0.5384899549143964,0.08224425745080088,257,0.7852528437325554,1.998144,45062
16,True,log_loss,0.24925604710882868,0.9018360384495572,0.22851179969799557,931,0.764479911795393,6.535336,45062
17,True,entropy,0.28234813003355336,0.5550259622638384,0.13542155772525127,544,0.7635164080721332,3.756613,45062
18,True,gini,0.2776862483765842,0.7087055015743895,0.07397307346673657,820,0.7933468568242951,6.820613,45062
19,True,gini,0.39090368190343516,0.8515094794475889,0.24435641654419216,344,0.7654351977486924,2.590547,45062
20,True,entropy,0.12950955788362625,0.6424202471887338,0.1719128667959794,963,0.7616289544469905,6.269313,45062
21,True,log_loss,0.21591589767297847,0.6197809453334862,0.1478905520555126,508,0.7618767673806311,3.41023,45062
22,True,log_loss,0.6825730788894877,0.6188187719961998,0.12355662654385065,986,0.7855984507351621,8.160783,45062
23,True,gini,0.35662405197738867,0.917651247794619,0.08730370207997085,636,0.793420825729138,5.546626,45062
24,True,entropy,0.28119662015835034,0.7560465291496405,0.17903455808189,50,0.7542258310167443,0.384537,45062
25,True,log_loss,0.37285308084020685,0.5687604720729966,0.07269470424811782,182,0.7858393743966141,1.506283,45062
26,True,gini,0.5441606492795699,0.9086111001006079,0.1559301156712013,926,0.7827370951885364,7.719864,45062
27,True,log_loss,0.37122383283896054,0.816550728636634,0.11984191492253218,249,0.7825044809040215,2.116465,45062
28,True,gini,0.1673119719960391,0.8210158230771438,0.08232574281892276,729,0.7862894777294716,5.260967,45062
29,True,gini,0.10404926707697496,0.8317508845540279,0.08216161028349973,900,0.7866783346912838,6.230519,45062
30,True,gini,0.2897992699974401,0.8560896106737679,0.11507993963185355,553,0.7881014205932432,4.523885,45062
31,True,entropy,0.17493981426247399,0.7841543016677358,0.12354316061188671,749,0.7815738883437325,5.268406,45062
32,True,entropy,0.6049109007978103,0.9460232775885566,0.20896226070832968,272,0.7751169044964088,2.254802,45062
33,True,gini,0.32461788995268465,0.8612260576307527,0.05486319328629077,508,0.8013321474619113,4.836157,45062
34,True,log_loss,0.39612696020435556,0.9574321951102243,0.053091323305773486,649,0.8035616410503212,6.560909,45062
35,True,entropy,0.3355591136556686,0.92650472773368,0.12701954572038504,929,0.7831295485437566,7.770896,45062
36,True,log_loss,0.6568238373399784,0.9680773870803905,0.16401223401787302,853,0.7849044297619427,7.700767,45062
37,True,entropy,0.8018984575423643,0.7591648261818684,0.19815372355084088,106,0.7776596966417111,0.920031,45062
38,True,gini,0.7480907157433446,0.9046805777392568,0.22341446371602075,700,0.7816326193611971,5.898208,45062
39,True,log_loss,0.6615735018061627,0.8249819653888826,0.20915853388722022,915,0.7774450118279967,7.442115,45062
40,True,entropy,0.1287538190373937,0.789140070498087,0.14311960362649204,891,0.7635594538401194,5.946133,45062
41,True,entropy,0.7580804485277266,0.5186740943746072,0.12203812828225258,547,0.7860363974196237,4.234361,45062
42,True,entropy,0.1682779719950144,0.8114452379095001,0.06033634423372154,135,0.7948819698767251,1.025109,45062
43,True,log_loss,0.5130402786409562,0.9879260397312672,0.1145912945882492,536,0.7899062841812403,5.141199,45062
44,True,entropy,0.8701187317423401,0.5126753717077288,0.21719602410244115,798,0.5,4.762881,45062
45,True,gini,0.5393813317648964,0.6251214490822976,0.1929191845400125,699,0.7675690643593389,5.184201,45062
46,True,entropy,0.5893765969874818,0.7771770262557003,0.133920012485558,664,0.7881172535562461,5.749626,45062
47,True,entropy,0.13680211361740222,0.5580363202534582,0.05814576046379403,255,0.7844951581426359,1.800807,45062
48,True,gini,0.4787774166244526,0.7458079375584161,0.08464037398200304,857,0.7926612315392035,7.697656,45062
49,True,log_loss,0.399690091701177,0.5226520048860223,0.17517198314284727,439,0.7672800378912725,3.156902,45062
50,True,gini,0.6139354225650525,0.5352843737002149,0.05530226210832437,508,0.8022042630314783,4.756747,45062
51,True,gini,0.46660231239321337,0.8216441092211766,0.159123357863187,590,0.7770445522101124,4.623737,45062
52,True,entropy,0.15548904070013236,0.5978955673946482,0.07015560027548534,942,0.7888055267505563,6.517483,45062
53,True,entropy,0.7759002487755636,0.6594878151468806,0.054654387147165175,28,0.7984818793357217,0.347798,45062
