Params,n_estimators,learning_rate,subsample,booster,max_depth,min_child_weight,colsample_bytree,colsample_bylevel,reg_alpha,reg_lambda,mean_AUC
Package defaults,100,0.3,1.0,gbtree,6,1.0,1.0,1.0,0.0,1.0,0.8259620562798061
Our best params,1996,0.027412643736820508,0.8713519745868378,gbtree,5,2.8180402637166173,0.7902956148492242,0.8673156776005406,9.290824765964794,0.0071961751263233485,0.8405120053520845
