Model,Random Search Tunability,Random Search STD,Bayesian Search Tunability,Bayesian Search STD
LogisticRegression,0.0004958159821053243,0.00016146210711119916,0.0006560890386143048,0.0002997470606016742
ExtraTreesClassifier,0.0054471102538396765,0.004266165651549505,0.009287535539204639,0.0058248860277402385
XGBClassifier,0.002921958327741614,0.003411551227193997,0.011995745850362116,0.011230742617279845
