Model,Random Search mean best AUC,Bayesian Search mean best AUC,Default
LogisticRegression,0.8164709199637128,0.816631270138943,0.815974722940372
ExtraTreesClassifier,0.7979319057693782,0.8047760511705849,0.7946566263685022
XGBClassifier,0.8433452555686806,0.8527182521099655,0.8402616108756016
