trial,booster,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,value,time,dataset
0,gbtree,0.24646688973455957,0.32479561626896214,0.2657846934562037,9,20.814367336189438,755,64.77532426827341,4.0428727350273315,0.7989954563585538,0.8011338908112264,0.441392,43980
1,gbtree,0.34672360788274703,0.3454599737656805,0.00011861690371243162,13,27.967067056141072,1419,0.010996218010237245,1.40779231399724,0.9774323891214958,0.8227775134563629,2.122015,43980
2,gbtree,0.5648559873736287,0.4930894746349534,0.0011195018979975153,3,38.1023703639727,870,18.533502111715695,0.01577766363058246,0.7088896710417846,0.8067746419646289,0.818743,43980
3,gbtree,0.9591084298026666,0.25204127438822366,0.013611714042498597,10,22.656563708286026,1033,301.0828323371717,70.85721663941601,0.28483780953999827,0.5,0.532575,43980
4,gbtree,0.22751081689217473,0.5961415280890161,0.00022481268581995073,7,16.49885582528691,616,126.14674784489826,0.035700959600309494,0.7631747698841177,0.7907933366974241,0.387904,43980
5,gbtree,0.8201062586888916,0.9756677022116469,0.001326789408689306,9,24.476515851741933,1329,201.0721987450936,233.86439256208715,0.6400510158833581,0.5,0.70024,43980
6,gbtree,0.5109418317515857,0.4602642646106115,0.20924076492348906,3,6.743865691638335,1200,0.006615366471747824,93.84800715909533,0.3163693765389396,0.8646865868896578,1.125248,43980
7,gbtree,0.9895095492804138,0.2596405149438167,0.001027881282043665,3,102.87901655576304,720,15.177443791190449,0.015570196345516612,0.6570220623686863,0.7761455329680892,0.58845,43980
8,gbtree,0.48677258283541813,0.2592357213872723,0.08656473142106183,11,98.9513340291151,20,0.0005989585937565717,150.8761367568167,0.7801430078857128,0.7714172373606305,0.080467,43980
9,gbtree,0.7100459770841705,0.7836849426704513,0.0015556594680629077,5,42.298281897396876,1250,89.64989861647395,0.6812233896860297,0.2976687627145177,0.6322016111591695,0.658136,43980
10,gbtree,0.6181862635055952,0.5950364770915126,0.03708092097035715,9,98.91283185422924,248,0.07387340405009699,0.0014207404990676058,0.8205887864626731,0.8202181913206459,0.260472,43980
11,gbtree,0.39943378331909996,0.9260531791408744,0.00012978061036051654,5,65.58847777791725,224,0.05667216683575905,34.14340513209104,0.7273078084478353,0.7943281189926952,0.262728,43980
12,gbtree,0.7067230052083389,0.8464963036515336,0.0001893591316335682,3,119.07160184750678,465,70.28527686382388,66.37926838138381,0.467313589685326,0.7554083585640138,0.333785,43980
13,gbtree,0.2880415396221414,0.4544027799774911,0.1640782662475778,13,114.80359509028364,381,0.0033828172700188387,0.36529752669123594,0.6545066814367381,0.7968477869088813,0.310373,43980
14,gbtree,0.29589229386694627,0.3776862483765842,0.12600947358253475,8,54.01119739989493,1638,0.018414135215695005,454.4208225488322,0.255214097898393,0.7827837730680507,0.965004,43980
15,gbtree,0.40142583666029136,0.9699578359536891,0.007391199801845108,6,124.416324505562,653,0.216857508457719,0.0638660209183677,0.7772642191713834,0.7935410118704345,0.491832,43980
16,gbtree,0.9266127087733229,0.4229171713892892,0.00013579037800019674,8,7.537801408748647,577,0.004048418463333446,0.007402343469704424,0.7071732504849226,0.8545347462514418,1.370254,43980
17,gbtree,0.7825730788894878,0.39011003519391974,0.35511749309695206,11,97.72569114674714,984,0.02934650079826427,6.220638781359818,0.4315414536336253,0.7714849577085736,0.523587,43980
18,gbtree,0.23262011324381116,0.3492148083198834,0.008509274894190977,13,41.73906825141045,1271,0.92142559953802,11.62481823613906,0.3177173275408062,0.8055947111687811,0.988249,43980
19,gbtree,0.5093882770404299,0.7527501904819729,0.006991814816106377,10,23.144536483633914,43,192.65237839524252,0.006685373335828941,0.41987183139845347,0.5,0.080698,43980
20,gbtree,0.8537777601609726,0.7279872368273432,0.000256293995121452,14,33.75858671982476,689,0.5308748210122515,1.506272232520005,0.943520213708922,0.8261036980968859,1.054884,43980
21,gbtree,0.47936765969012873,0.4712238328389606,0.00021645207574664876,14,81.40388507370503,491,7.42390881964041,241.35792291303983,0.922911818464995,0.78727561514802,0.468327,43980
22,gbtree,0.685143247727672,0.9188433508216634,0.06444044071581621,2,21.526846690015947,1776,0.00011526713589431362,0.004062835674447078,0.7315237346157158,0.8622846981930026,1.361468,43980
23,gbtree,0.37941544756844786,0.7215690076020804,0.00010428746928086743,9,88.87069010697205,1331,6.00071024541004,0.026515176659171316,0.370606038563124,0.7600941524894271,0.926867,43980
24,gbtree,0.274939814262474,0.6546468826683773,0.04885475326177033,13,84.5168373221436,657,0.029315991806652227,0.03901343643245449,0.7372246742854109,0.8240518190119186,0.558581,43980
25,gbtree,0.6021096744841536,0.8358490428333187,0.3197734410944372,14,81.15460550165238,495,0.7423417792687168,0.9017915528354472,0.5448232935000703,0.8019555759803921,0.401056,43980
26,gbtree,0.9523668674823316,0.34168854352563915,0.04002357332224733,1,82.97498158021031,398,251.28371645523674,308.45111275338604,0.46057927183064185,0.5,0.251678,43980
