mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_model__min_samples_split,param_model__min_weight_fraction_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4952242374420166,0.06083113044834678,0.02985525131225586,0.0030387131839297067,gini,21,0.8578947368421053,19,41,26,0.18421052631578946,209,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 21), ('model__max_features', 0.8578947368421053), ('model__max_leaf_nodes', 19), ('model__min_samples_leaf', 41), ('model__min_samples_split', 26), ('model__min_weight_fraction_leaf', 0.18421052631578946), ('model__n_estimators', 209)])",0.8067997946870266,0.8149036238709985,0.8195881022261501,0.8177787415578321,0.8260295171280081,0.817019955894003,0.0062813037058308385,94
0.5958439826965332,0.013357254558529355,0.044863224029541016,0.002453885390277471,entropy,27,0.33684210526315794,57,52,5,0.05263157894736842,277,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 27), ('model__max_features', 0.33684210526315794), ('model__max_leaf_nodes', 57), ('model__min_samples_leaf', 52), ('model__min_samples_split', 5), ('model__min_weight_fraction_leaf', 0.05263157894736842), ('model__n_estimators', 277)])",0.8471224804669203,0.8578662427816816,0.8591114190358078,0.8580685362787422,0.8633538697284565,0.8571045096583217,0.005370897094335915,86
0.8345680236816406,0.015176853393897296,0.04197325706481934,0.0006131589778587587,gini,27,,26,12,28,0.07894736842105263,209,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 27), ('model__max_features', None), ('model__max_leaf_nodes', 26), ('model__min_samples_leaf', 12), ('model__min_samples_split', 28), ('model__min_weight_fraction_leaf', 0.07894736842105263), ('model__n_estimators', 209)])",0.8364727037129451,0.8414477232604259,0.8483966397414403,0.8458939938924228,0.8522281200712348,0.8448878361356937,0.005474534769575711,89
0.9217586517333984,0.013207398661500431,0.06061134338378906,0.005257089023476211,entropy,3,1.0,48,32,7,0.39473684210526316,488,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 3), ('model__max_features', 1.0), ('model__max_leaf_nodes', 48), ('model__min_samples_leaf', 32), ('model__min_samples_split', 7), ('model__min_weight_fraction_leaf', 0.39473684210526316), ('model__n_estimators', 488)])",0.7984813146093884,0.8151146366139246,0.814298071106359,0.8197246377338681,0.8229117795744092,0.8141060879275898,0.008417789217405124,97
0.6845372200012207,0.026463032869192247,0.041956329345703126,0.002473345425201584,entropy,13,0.7631578947368421,43,55,44,0.21052631578947367,319,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 13), ('model__max_features', 0.7631578947368421), ('model__max_leaf_nodes', 43), ('model__min_samples_leaf', 55), ('model__min_samples_split', 44), ('model__min_weight_fraction_leaf', 0.21052631578947367), ('model__n_estimators', 319)])",0.8053007249924887,0.813063780723804,0.8204642934643589,0.8176822120146396,0.8248504019387133,0.816272282626801,0.00669050892017741,95
0.07251253128051757,0.007848823661922097,0.006699800491333008,0.00025176536851979653,entropy,30,0.1473684210526316,12,49,23,0.23684210526315788,44,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 30), ('model__max_features', 0.1473684210526316), ('model__max_leaf_nodes', 12), ('model__min_samples_leaf', 49), ('model__min_samples_split', 23), ('model__min_weight_fraction_leaf', 0.23684210526315788), ('model__n_estimators', 44)])",0.7574813264333784,0.7727547380091857,0.7605159617736947,0.7800538746988945,0.7805387954810231,0.7702689392792352,0.009654405371820982,99
0.26061210632324217,0.009503670187962974,0.018449115753173827,0.0004076551785255416,entropy,23,0.43157894736842106,52,36,37,0.3157894736842105,158,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 23), ('model__max_features', 0.43157894736842106), ('model__max_leaf_nodes', 52), ('model__min_samples_leaf', 36), ('model__min_samples_split', 37), ('model__min_weight_fraction_leaf', 0.3157894736842105), ('model__n_estimators', 158)])",0.800282199225741,0.8155880509789808,0.8129824204093459,0.8206311365209601,0.8214036759419889,0.8141774966154033,0.007620555045252517,96
0.023809194564819336,0.0014456919341269544,0.002560997009277344,0.00023266636738908177,entropy,27,0.7157894736842105,50,20,5,0.2894736842105263,3,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 27), ('model__max_features', 0.7157894736842105), ('model__max_leaf_nodes', 50), ('model__min_samples_leaf', 20), ('model__min_samples_split', 5), ('model__min_weight_fraction_leaf', 0.2894736842105263), ('model__n_estimators', 3)])",0.7506303854105305,0.7227886789237987,0.7275684738451915,0.7348277379536585,0.7266301521317724,0.7324890856529903,0.009871306547333985,100
0.15671319961547853,0.00844546806596078,0.008441019058227538,0.00017765716227151576,entropy,21,0.8105263157894737,25,23,14,0.0,25,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 21), ('model__max_features', 0.8105263157894737), ('model__max_leaf_nodes', 25), ('model__min_samples_leaf', 23), ('model__min_samples_split', 14), ('model__min_weight_fraction_leaf', 0.0), ('model__n_estimators', 25)])",0.8885716286697192,0.8910872583168883,0.8954685062136537,0.8918696363215364,0.8938029548647859,0.8921599968773165,0.0023561412793759937,62
0.04346308708190918,0.008641888769106685,0.004117202758789062,0.0015927508906729826,gini,25,0.5736842105263158,16,35,18,0.15789473684210525,9,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 25), ('model__max_features', 0.5736842105263158), ('model__max_leaf_nodes', 16), ('model__min_samples_leaf', 35), ('model__min_samples_split', 18), ('model__min_weight_fraction_leaf', 0.15789473684210525), ('model__n_estimators', 9)])",0.7923986297511596,0.7992974730920857,0.8108718027051305,0.7971647591095399,0.8094638655217687,0.8018393060359369,0.007171590839241645,98
