,f1,accuracy,roc_auc,criterion,splitter,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,min_impurity_decrease
0,0.9136003521126761,0.9139072847682119,0.9139072847682119,gini,best,,2,1,,,0.0
1,0.8703116471824888,0.8706401766004415,0.8982475427490998,entropy,random,30,5,1,sqrt,balanced,0.0
2,0.8717465315937004,0.8721854304635761,0.9003417978743622,gini,random,,2,2,,balanced,0.0
3,0.7644106562101315,0.7644591611479029,0.8275990819116121,log_loss,best,10,5,4,,,0.01
4,0.6841642984118088,0.6986754966887417,0.6915530020613131,gini,random,10,10,1,,,0.05
5,0.6841642984118088,0.6986754966887417,0.6915530020613131,entropy,random,20,2,2,,,0.05
6,0.7943195756733884,0.7944812362030905,0.8767545283101618,entropy,random,40,10,4,log2,balanced,0.0
7,0.6841642984118088,0.6986754966887417,0.6915530020613131,entropy,random,10,5,1,log2,,0.1
