param_model__criterion,param_model__max_depth,param_model__max_leaf_nodes,mean_test_score
log_loss,17,42,0.8417832327216732
log_loss,25,26,0.8359832711780696
entropy,28,97,0.8316464637401353
log_loss,6,31,0.8406601771223384
gini,27,75,0.835914018023135
gini,24,52,0.8445321718799162
entropy,6,32,0.8398488180959692
gini,19,77,0.8319747783331458
log_loss,4,58,0.836786892037027
entropy,21,95,0.8298803150701903
log_loss,1,10,0.729040249168596
gini,30,34,0.8335988252256982
entropy,1,48,0.729040249168596
log_loss,14,38,0.8385341958950105
log_loss,11,10,0.8444617179107974
log_loss,9,100,0.8268616307208225
gini,12,99,0.82627540713255
gini,16,100,0.8205798434510936
gini,5,100,0.8510799586841771
log_loss,23,10,0.8444617179107974
log_loss,5,98,0.8501096934340546
entropy,18,11,0.845406778895329
gini,10,10,0.8481452098778395
gini,5,10,0.8506259403770713
gini,7,100,0.8401074980964829
gini,22,98,0.8234411120984932
entropy,26,100,0.8401236742351724
gini,29,10,0.8481452098778395
entropy,13,10,0.8444617179107974
gini,5,99,0.8519722041548551
log_loss,20,11,0.845406778895329
gini,8,11,0.8497032355407244
gini,2,100,0.729040249168596
log_loss,8,100,0.8381350650200774
log_loss,29,100,0.8250853803794451
entropy,28,10,0.8444617179107974
entropy,16,10,0.8444617179107974
gini,9,10,0.8481452098778395
gini,21,10,0.8481452098778395
gini,5,56,0.8522797740971904
gini,15,11,0.8497032355407244
entropy,25,100,0.8339679145482684
gini,12,10,0.8481452098778395
gini,7,10,0.8481452098778395
gini,26,10,0.8481452098778395
entropy,18,100,0.826887027057429
log_loss,22,10,0.8444617179107974
log_loss,19,11,0.845406778895329
entropy,24,10,0.8444617179107974
gini,17,10,0.8481452098778395
gini,5,74,0.8481613431750666
entropy,5,10,0.8472309486800281
entropy,27,10,0.8444617179107974
gini,14,10,0.8481452098778395
entropy,24,100,0.8345835838510937
log_loss,8,10,0.8444617179107974
log_loss,15,10,0.8444617179107974
entropy,29,11,0.845406778895329
gini,23,10,0.8481452098778395
gini,11,10,0.8481452098778395
gini,4,10,0.8343733928952413
gini,13,10,0.8481452098778395
gini,14,100,0.8200501469603546
gini,18,10,0.8481452098778395
gini,10,100,0.8194578171561272
gini,6,99,0.8494039983735476
gini,20,10,0.8481452098778395
gini,28,11,0.8497032355407244
log_loss,30,10,0.8444617179107974
entropy,21,10,0.8444617179107974
entropy,9,10,0.8444617179107974
gini,16,10,0.8481452098778395
gini,22,40,0.8346665853708106
gini,11,45,0.8397871995452825
gini,24,10,0.8481452098778395
entropy,12,10,0.8444617179107974
gini,6,10,0.8481452098778395
gini,8,51,0.8352256049339168
gini,5,35,0.851113793190606
gini,5,44,0.8501918000278585
entropy,5,100,0.8509681043983038
gini,16,42,0.8341735899776805
gini,13,48,0.8430282959214759
gini,20,40,0.8337481662817726
gini,5,30,0.8510799586841771
gini,18,41,0.8338341403172601
gini,30,99,0.8205675537239456
log_loss,5,100,0.8501096934340546
gini,20,100,0.8268832677242279
entropy,6,100,0.8371091316849573
log_loss,17,10,0.8444617179107974
gini,27,10,0.8481452098778395
entropy,10,10,0.8444617179107974
gini,25,10,0.8481452098778395
gini,30,10,0.8481452098778395
gini,27,100,0.8279923190237485
entropy,26,10,0.8444617179107974
log_loss,22,77,0.8282989397335123
gini,14,11,0.8497032355407244
gini,19,10,0.8481452098778395
gini,26,50,0.8400123032026017
log_loss,12,56,0.8305644038020528
gini,25,100,0.8365739624360312
log_loss,5,11,0.84817600966456
entropy,7,10,0.8444617179107974
log_loss,28,10,0.8444617179107974
log_loss,19,100,0.8326113339706609
log_loss,13,10,0.8444617179107974
entropy,27,51,0.8343951475337891
entropy,13,100,0.8245538763976826
entropy,4,100,0.836786892037027
entropy,15,100,0.8311006764713834
entropy,30,100,0.8308946128938011
gini,6,57,0.8411058670383816
entropy,20,51,0.8347763347763347
log_loss,16,100,0.8315399345214821
entropy,5,58,0.8501096934340546
log_loss,9,47,0.8384367302083214
gini,28,40,0.8319880139422393
entropy,23,43,0.8370976988261651
log_loss,5,79,0.8509681043983038
entropy,30,47,0.8375601446537407
gini,1,10,0.729040249168596
entropy,15,61,0.8263869239853342
entropy,25,70,0.8243762928260004
gini,10,34,0.8386796293940393
entropy,11,99,0.8282662573957523
gini,23,73,0.8318899386034155
gini,14,34,0.8375203938531491
log_loss,7,65,0.8382868385854605
gini,22,11,0.8497032355407244
entropy,14,10,0.8444617179107974
gini,12,31,0.8391134879128803
entropy,11,56,0.8310657896053314
log_loss,11,46,0.8381073151963063
gini,24,11,0.8497032355407244
entropy,23,85,0.8340778080866883
entropy,25,97,0.8342408686224735
entropy,27,30,0.8297353289793084
gini,17,50,0.8364679086254933
entropy,28,42,0.8406126121891964
log_loss,20,98,0.8286220994435798
log_loss,4,15,0.836786892037027
entropy,10,27,0.8333265719256255
entropy,30,11,0.845406778895329
entropy,16,67,0.8324544168910704
gini,24,33,0.8350883535369806
log_loss,23,80,0.8250825107860422
gini,28,52,0.841452238607679
log_loss,23,49,0.8370454371897671
gini,12,20,0.8572646136326844
entropy,19,10,0.8444617179107974
gini,8,10,0.8481452098778395
gini,29,11,0.8497032355407244
log_loss,25,17,0.8435718598652558
log_loss,1,23,0.729040249168596
log_loss,21,16,0.8435718598652558
log_loss,11,90,0.8276293034965814
entropy,17,11,0.845406778895329
entropy,16,85,0.8407749796056441
log_loss,2,34,0.729040249168596
log_loss,29,10,0.8444617179107974
gini,9,11,0.8497032355407244
log_loss,6,48,0.8380013021202748
gini,6,96,0.8398216193223812
entropy,25,97,0.8271836658201511
entropy,12,17,0.8435718598652558
entropy,28,24,0.8518538289905015
gini,15,10,0.8481452098778395
gini,29,31,0.8397545135539058
log_loss,20,69,0.8289267676767678
gini,5,60,0.8531104155369686
log_loss,9,23,0.8497711646019177
log_loss,17,19,0.8450552939402808
gini,9,25,0.8536216143562239
log_loss,9,39,0.8408829812966158
gini,25,63,0.8351645669729322
log_loss,29,49,0.8394822208465047
log_loss,28,97,0.8273126395008961
entropy,2,28,0.729040249168596
gini,15,97,0.822605038985645
entropy,28,83,0.8314941104130176
entropy,29,40,0.8408485584957528
gini,7,11,0.8497032355407244
gini,11,11,0.8497032355407244
gini,26,11,0.8497032355407244
log_loss,21,17,0.8435718598652558
entropy,13,86,0.8275670302598798
log_loss,20,47,0.8390469644463753
gini,3,79,0.8065781651267141
gini,4,100,0.8306791457930565
log_loss,16,68,0.8361742801145786
entropy,26,61,0.8293790940907353
gini,10,26,0.8485791333129518
gini,26,99,0.8283354911145693
log_loss,18,23,0.8497711646019177
log_loss,12,65,0.8285570330105945
gini,13,11,0.8497032355407244
entropy,23,62,0.8276986643804853
log_loss,16,10,0.8444617179107974
