param_model__booster,param_model__lambda,param_model__learning_rate,param_model__max_depth,mean_test_score
dart,732.7883510998372,0.05885429514916823,10,0.8018184911064168
gblinear,413.62779511479744,0.033028659922896914,4,0.6891529954930393
dart,627.331379260974,0.1004651259397377,9,0.8179703944809716
gblinear,923.5986115436488,0.27474141339404823,8,0.6806061471720054
gblinear,52.39996956743232,0.06356266782800817,7,0.6804228233040671
gblinear,845.2799906959564,0.225491394382665,5,0.6818820642373961
gblinear,890.2397214198869,0.2796817018962797,5,0.6818820642373961
gblinear,848.6906408327264,0.19586980155497505,7,0.6818820642373961
dart,995.2783743089085,0.27390819432402885,10,0.8284420747160736
dart,1019.2708929665681,0.2751436793199685,8,0.8296623997942666
dart,0.0009765625,0.21948965848909116,3,0.889441176828581
gbtree,1024.0,0.0001,3,0.7785774104219999
dart,0.0009765625,0.3,3,0.8843465464454932
gbtree,0.0009765625,0.0001,3,0.8107746004599322
gbtree,0.0009765625,0.2456118257365782,3,0.891442491649285
dart,0.0009765625,0.2499372268070442,3,0.8977934382419948
gbtree,1.9396170758660873,0.18157758144974293,9,0.887192963858267
gbtree,277.9239120644229,0.2545762161937239,9,0.8670361763896934
gbtree,0.9225328404839119,0.2998421766629778,8,0.8946681493187617
gbtree,0.0009765625,0.2529588808568839,10,0.8900606968124165
dart,0.0009765625,0.25244663757569813,10,0.8860755046783343
gbtree,0.2815552536448084,0.29773974159496375,7,0.8921085695934259
gbtree,1.0418741948854482,0.14633869442908715,3,0.8880004484001205
gblinear,1.2807681610165358,0.29798593876422236,3,0.6850792097981211
gbtree,0.0009765625,0.22966442826689237,3,0.8907048085789523
dart,1.5506216832526605,0.1560372089839113,10,0.8890906709244085
gbtree,0.0009765625,0.21110023118629043,3,0.8881205037668227
gbtree,0.6201582015826257,0.2993670982361155,4,0.8925938262556888
gbtree,0.0009765625,0.3,3,0.8843465464454932
dart,0.0009765625,0.2153750080277427,10,0.8852734354016691
gbtree,0.0009765625,0.24475221644677303,3,0.8932093119396429
