param_model__criterion,param_model__max_depth,param_model__max_leaf_nodes,mean_test_score
log_loss,1,85,0.5650831639656456
gini,13,44,0.587655067564868
gini,22,90,0.5809939781020719
gini,22,32,0.6156485209979368
log_loss,8,81,0.5587108288552353
log_loss,5,37,0.6078850143570059
log_loss,24,89,0.5628039017259796
entropy,6,25,0.5821716494717556
gini,15,90,0.5648783890914857
log_loss,7,84,0.5777755390719337
log_loss,4,22,0.5836257279063592
gini,28,33,0.6143094717967884
entropy,28,100,0.5713900299190084
entropy,30,35,0.5867143590698986
entropy,29,57,0.5501583525238722
log_loss,1,33,0.5650831639656456
gini,29,23,0.6010658843795331
gini,2,10,0.5460903587606911
log_loss,30,34,0.5847483118906813
gini,29,29,0.6022311549097898
gini,3,37,0.5120536412564949
gini,28,93,0.5792400920335924
gini,23,10,0.6330524416609065
gini,24,14,0.6344822910494986
gini,25,32,0.6027941168351213
gini,21,10,0.6330524416609065
log_loss,21,10,0.6204120151755779
gini,19,10,0.6330524416609065
log_loss,20,10,0.6204120151755779
gini,20,10,0.6330524416609065
gini,20,16,0.6404118404118404
gini,20,19,0.6358020605374846
log_loss,15,31,0.5736842239692841
gini,30,44,0.5694221481696127
entropy,25,10,0.6204120151755779
log_loss,8,27,0.5766590904351816
entropy,21,18,0.5848569493490821
log_loss,30,10,0.6204120151755779
gini,16,17,0.6447524228584717
entropy,8,47,0.5360678088326446
log_loss,8,47,0.5328504310629947
gini,15,10,0.6330524416609065
gini,1,100,0.5650831639656456
gini,18,10,0.6330524416609065
gini,30,10,0.6330524416609065
gini,7,19,0.6229395386340443
gini,24,12,0.6254154687052308
gini,14,10,0.6330524416609065
gini,12,27,0.6018372313968414
gini,18,17,0.6470280233641607
gini,21,17,0.6470280233641607
log_loss,22,17,0.586006994272712
gini,30,37,0.5987860791826309
gini,30,16,0.6404118404118404
gini,17,10,0.6330524416609065
gini,1,67,0.5650831639656456
gini,30,18,0.6318314782891962
entropy,1,10,0.5650831639656456
gini,30,74,0.5666726377885812
gini,1,56,0.5650831639656456
entropy,1,67,0.5650831639656456
gini,30,14,0.6344822910494986
gini,16,18,0.6341070787948853
gini,1,16,0.5650831639656456
gini,1,22,0.5650831639656456
gini,9,31,0.6000865108239458
