param_model__criterion,param_model__max_depth,param_model__max_leaf_nodes,mean_test_score
entropy,2,17,0.8648002281347171
log_loss,17,77,0.795962831267347
log_loss,14,90,0.8063096871066641
entropy,13,60,0.7884778356176847
gini,6,43,0.810833794515786
entropy,12,61,0.7929984672869084
entropy,14,22,0.813111696214618
gini,26,86,0.7781330790421699
log_loss,26,34,0.8117837448309515
gini,16,23,0.8198910686396781
gini,1,10,0.8648002281347171
log_loss,4,10,0.8114150321844853
entropy,4,10,0.8114150321844853
entropy,1,29,0.8648002281347171
gini,2,43,0.8648002281347171
log_loss,1,43,0.8648002281347171
log_loss,30,10,0.8094644317953357
entropy,2,100,0.8648002281347171
log_loss,2,100,0.8648002281347171
entropy,22,10,0.8094644317953357
gini,9,10,0.8394485466914038
entropy,8,100,0.7969073701673395
gini,2,53,0.8648002281347171
gini,20,98,0.7762084997148793
gini,3,100,0.7962835794654932
log_loss,10,10,0.8094644317953357
gini,2,52,0.8648002281347171
log_loss,24,10,0.8094644317953357
log_loss,2,55,0.8648002281347171
log_loss,28,10,0.8094644317953357
gini,15,10,0.8357271726456024
gini,2,100,0.8648002281347171
gini,23,99,0.7841709340536058
gini,29,99,0.7772478058156989
log_loss,2,98,0.8648002281347171
gini,11,10,0.8394485466914038
gini,10,100,0.7782947300303646
gini,2,51,0.8648002281347171
log_loss,5,100,0.8074454583574994
entropy,2,56,0.8648002281347171
entropy,18,10,0.8094644317953357
log_loss,27,11,0.811235003037531
log_loss,25,12,0.7999565292486368
entropy,2,72,0.8648002281347171
log_loss,11,12,0.8011859145559832
entropy,15,10,0.8094644317953357
gini,2,95,0.8648002281347171
gini,14,10,0.8357271726456024
log_loss,2,93,0.8648002281347171
log_loss,2,51,0.8648002281347171
gini,12,10,0.8357271726456024
gini,8,11,0.8304876498828111
log_loss,2,96,0.8648002281347171
log_loss,2,99,0.8648002281347171
log_loss,2,94,0.8648002281347171
gini,18,100,0.777308839851479
log_loss,2,10,0.8648002281347171
log_loss,2,13,0.8648002281347171
gini,2,98,0.8648002281347171
gini,2,99,0.8648002281347171
log_loss,21,96,0.7926258860768444
log_loss,3,11,0.8065786237685344
log_loss,9,13,0.7993909216414815
log_loss,7,11,0.811235003037531
gini,13,10,0.8394485466914038
log_loss,19,10,0.8094644317953357
gini,5,10,0.8315989296792445
log_loss,2,95,0.8648002281347171
gini,7,100,0.7870939442277443
gini,2,96,0.8648002281347171
gini,30,11,0.8304876498828111
gini,2,93,0.8648002281347171
entropy,6,11,0.8051430490145426
log_loss,2,97,0.8648002281347171
log_loss,23,99,0.79827758287185
gini,22,11,0.8378740135191748
gini,21,11,0.8378740135191748
gini,4,11,0.8220109957244516
gini,27,10,0.8394485466914038
gini,28,10,0.8394485466914038
entropy,16,11,0.811235003037531
gini,24,10,0.8357271726456024
gini,25,10,0.8394485466914038
log_loss,2,89,0.8648002281347171
gini,17,10,0.8394485466914038
entropy,29,11,0.811235003037531
entropy,20,16,0.804698408175437
gini,19,10,0.8357271726456024
entropy,26,99,0.7907548126807347
log_loss,16,100,0.788848360483945
gini,2,92,0.8648002281347171
gini,2,94,0.8648002281347171
entropy,28,100,0.7934839132497984
log_loss,29,100,0.7927524294937139
gini,2,91,0.8648002281347171
entropy,30,100,0.790406735893397
entropy,24,100,0.7894632223400575
entropy,19,100,0.7936532605311808
entropy,10,99,0.795370827710048
gini,1,99,0.8648002281347171
entropy,7,99,0.7990087172097049
log_loss,22,100,0.7887923215469549
entropy,2,97,0.8648002281347171
log_loss,18,98,0.7864799276972889
entropy,3,100,0.8065786237685344
gini,2,84,0.8648002281347171
gini,2,90,0.8648002281347171
gini,2,97,0.8648002281347171
entropy,5,12,0.800681920081364
log_loss,15,97,0.7928787823954798
log_loss,6,100,0.8067122429255571
entropy,27,100,0.7897561639132604
entropy,17,14,0.8046813856531732
log_loss,20,100,0.7881357834029836
log_loss,8,12,0.8011859145559832
entropy,21,10,0.8094644317953357
entropy,11,99,0.8069566271438612
gini,2,89,0.8648002281347171
entropy,9,98,0.7949315944433333
entropy,23,10,0.8094644317953357
log_loss,12,10,0.8094644317953357
entropy,25,99,0.7959555802633858
log_loss,13,10,0.8094644317953357
gini,2,87,0.8648002281347171
entropy,1,98,0.8648002281347171
log_loss,2,83,0.8648002281347171
log_loss,24,76,0.7903851788516583
gini,2,67,0.8648002281347171
gini,2,65,0.8648002281347171
gini,5,100,0.8188266104825797
gini,2,72,0.8648002281347171
gini,2,68,0.8648002281347171
gini,2,73,0.8648002281347171
gini,2,85,0.8648002281347171
entropy,28,87,0.7862428799270905
gini,2,64,0.8648002281347171
gini,2,70,0.8648002281347171
gini,9,46,0.8079873795376503
gini,2,82,0.8648002281347171
gini,2,69,0.8648002281347171
log_loss,11,10,0.8094644317953357
gini,1,63,0.8648002281347171
entropy,1,10,0.8648002281347171
gini,2,10,0.8648002281347171
log_loss,1,82,0.8648002281347171
gini,2,23,0.8648002281347171
gini,2,16,0.8648002281347171
gini,2,17,0.8648002281347171
gini,2,14,0.8648002281347171
gini,2,28,0.8648002281347171
gini,2,15,0.8648002281347171
entropy,2,14,0.8648002281347171
gini,2,18,0.8648002281347171
gini,9,43,0.8018602550737389
gini,1,34,0.8648002281347171
log_loss,2,91,0.8648002281347171
gini,22,44,0.8115557761373646
entropy,3,97,0.8065786237685344
entropy,2,93,0.8648002281347171
gini,29,76,0.7848987872842635
gini,8,49,0.7961922760107358
entropy,30,20,0.8138504790559716
entropy,26,69,0.8030741955373534
log_loss,2,99,0.8648002281347171
entropy,2,11,0.8648002281347171
gini,21,67,0.7840659480352408
gini,19,60,0.8014106183028774
log_loss,23,23,0.8187127374512351
entropy,5,96,0.8026292739317948
entropy,2,94,0.8648002281347171
gini,17,98,0.7714232599866253
entropy,2,99,0.8648002281347171
entropy,4,48,0.8093834972441915
gini,2,23,0.8648002281347171
gini,11,21,0.8265463251047309
gini,10,46,0.806733168661615
entropy,23,27,0.8132430724757471
gini,23,61,0.7948484673114515
gini,17,45,0.8122600160760542
entropy,9,39,0.7886830830912379
log_loss,9,99,0.789567023542037
entropy,2,95,0.8648002281347171
entropy,2,98,0.8648002281347171
