model__booster,model__lambda,model__learning_rate,model__max_depth,credit_f1,college_f1,diabetes_f1,penguins_f1,mean_f1
dart,970.2164789732345,0.06292191013074469,8,0.8341248531333629,0.7980164422619798,0.0,0.9866648143002686,0.6547015274239029
dart,110.24141681693118,0.17861561926187206,6,0.849342094860015,0.8805754870123466,0.6414191694831113,0.9899435028248588,0.8403200635450829
gblinear,428.859783404514,0.10072235478199877,7,0.0,0.6818820642373961,0.0,0.7105726011334768,0.34811366634271823
dart,448.65779689798705,0.22086463190460706,7,0.8456683146021732,0.8473283670061236,0.6002594627594627,0.9866648143002686,0.8199802396670071
gbtree,592.7521831940849,0.19370652876867814,8,0.8530932470328378,0.8317552077692092,0.5661374327931117,0.9866648143002686,0.8094126754738569
dart,839.5357702104656,0.12406028044485425,6,0.8496673521541227,0.8165503336505034,0.5138310308711033,0.9866648143002686,0.7916783827439995
gblinear,843.5306355147138,0.01644235234670639,9,0.0,0.6986769489228644,0.0,0.7105726011334768,0.3523123875140853
gbtree,821.4236324851628,0.22102199314343166,6,0.853097514971861,0.8284370451162616,0.5597910081161313,0.9866648143002686,0.8069975956261307
gblinear,553.9203153682888,0.03754725231418293,8,0.0,0.6826197639949823,0.0,0.7105726011334768,0.34829809128211475
dart,412.93542646705794,0.06518534809706802,8,0.8478061774783029,0.8215532316045101,0.5178532787835113,0.9866648143002686,0.7934693755416483
dart,1018.0693935065641,0.07678421668025051,6,0.8341248531333629,0.8018184911064168,0.0,0.9866648143002686,0.6556520396350121
gblinear,613.3830316169553,0.2152996436666539,9,0.0,0.6818820642373961,0.0,0.7105726011334768,0.34811366634271823
gblinear,360.2541795471549,0.0761902292414188,5,0.0,0.682551572056689,0.0,0.7105726011334768,0.34828104329754145
gbtree,741.4492375920688,0.12193233881751679,5,0.8496673521541227,0.8179029418116756,0.5327819695631476,0.9866648143002686,0.7967542694573037
gbtree,461.31224004554997,0.11224253023010587,8,0.8496673521541227,0.8301536795590714,0.5528733100322185,0.9866648143002686,0.8048397890114204
gblinear,84.43853515368949,0.11961187564338496,7,0.0,0.6818820642373961,0.0,0.7105726011334768,0.34811366634271823
gbtree,783.1059836669783,0.0852578150673092,4,0.8494158418756792,0.8066715509191488,0.0,0.9866648143002686,0.6606880517737742
gblinear,482.5619644514626,0.10054181335078706,8,0.0,0.6818820642373961,0.0,0.7105726011334768,0.34811366634271823
gbtree,193.6466628702011,0.0994312222363263,9,0.8452128903389994,0.8424257311828303,0.5876515226564967,0.9866648143002686,0.8154887396196487
dart,565.3957587071538,0.13880826209311112,3,0.8571424826026053,0.8306639439278047,0.5814662149444757,0.9866648143002686,0.8139843639437886
gbtree,904.8882307496996,0.14401129527630765,7,0.8496673521541227,0.8175098681651821,0.5337506034262576,0.9866648143002686,0.7968981595114578
dart,257.4224731762439,0.28397624861721027,7,0.844354303340614,0.8718080990240644,0.6277731315862676,0.9899435028248588,0.8334697591939512
dart,565.1003317507158,0.16506292011276988,7,0.853097514971861,0.8306432178022289,0.5585301999587713,0.9866648143002686,0.8072339367582825
gbtree,394.73694655484985,0.12235221066027613,9,0.8530932470328378,0.8292438788872717,0.5598628595133825,0.9866648143002686,0.8072161999334402
gblinear,0.8739120872684225,0.13048355070715736,7,0.7212782797460218,0.6843331552787524,0.0,0.7911810812461522,0.5491981290677316
gblinear,535.3294842795467,0.2044556063955096,5,0.0,0.6818820642373961,0.0,0.7105726011334768,0.34811366634271823
gbtree,644.1054538068809,0.2339404244751988,3,0.8567201515293075,0.8348051395798921,0.5875335044555055,0.9866648143002686,0.8164309024662434
gbtree,493.41167841293475,0.11299348306051622,3,0.8571424826026053,0.8235406461493419,0.5791112289628166,0.9866648143002686,0.8116147930037582
gblinear,864.6945697721402,0.18125996701213168,9,0.0,0.6818820642373961,0.0,0.7105726011334768,0.34811366634271823
dart,119.84280494997324,0.21323510063283305,6,0.8476468164662464,0.8855887807018272,0.638804889948463,0.9899435028248588,0.8404959974853489
gblinear,502.13759685783145,0.011082559130803226,8,0.0,0.7033131942034017,0.0,0.7105726011334768,0.3534714488342196
gblinear,883.7441134322261,0.16763998546725065,10,0.0,0.6806061471720054,0.0,0.7105726011334768,0.3477946870763705
gblinear,718.8409292324101,0.23914149411393326,6,0.0,0.6818820642373961,0.0,0.7105726011334768,0.34811366634271823
dart,871.3168355357284,0.27222116369985394,3,0.8604659709273008,0.8306481567763486,0.5857858355217845,0.9866648143002686,0.8158911943814257
gbtree,802.0558080120954,0.18249889625028778,6,0.8496673521541227,0.8321727503543949,0.5542391855360251,0.9866648143002686,0.8056860255862028
gblinear,574.7467119266997,0.2005413204480826,6,0.0,0.6818820642373961,0.0,0.7105726011334768,0.34811366634271823
dart,804.8709759859504,0.2252291414562512,3,0.8587435599630722,0.8286971676583411,0.5792607857689409,0.9866648143002686,0.8133415819226558
gbtree,43.75905825504674,0.245160248933723,4,0.8438680621844743,0.8955355044866782,0.6389539566603032,0.9899435028248588,0.8420752565390787
dart,563.2431507347675,0.17013903139751535,10,0.8549223324901092,0.8289073217370081,0.5607400239274302,0.9866648143002686,0.807808623113704
dart,64.28384614971458,0.17251726749010715,9,0.8518941134156801,0.8894022766235119,0.6373776627902841,0.9899435028248588,0.8421543889135837
gblinear,308.65720402888314,0.012038667413988546,4,0.0,0.7056602990696547,0.0,0.7105726011334768,0.3540582250507829
gbtree,127.32071615985672,0.00358175332461621,4,0.0,0.7903769664346287,0.0,0.7105726011334768,0.3752373918920264
gblinear,308.7836096189211,0.05419528945100327,5,0.0,0.6764436011719633,0.0,0.7105726011334768,0.34675405057636
gbtree,797.9365449731516,0.12032454226849484,5,0.8496673521541227,0.8165503336505034,0.5216644201157241,0.9866648143002686,0.7936367300551547
gbtree,536.3436969270451,0.0765957081679645,9,0.8478061774783029,0.8167694905405162,0.4978520187822514,0.9866648143002686,0.7872731252753348
dart,495.1086405269956,0.1870449853408225,5,0.8496156830232258,0.841008970826415,0.5925231152842182,0.9866648143002686,0.8174531458585319
dart,363.26244681336345,0.06749369026621165,7,0.8496673521541227,0.8186961709710235,0.5458755224707338,0.9866648143002686,0.8002259649740372
dart,976.5330351385603,0.1849696402505027,8,0.8496673521541227,0.8203848484978353,0.5454731735623146,0.9866648143002686,0.8005475471286353
gblinear,262.53691878803863,0.07116145682818528,5,0.0,0.6818055175373202,0.0,0.7105726011334768,0.34809452966769927
