param_model__metric,param_model__n_neighbors,param_model__weights,mean_test_score
minkowski,17,distance,0.6365729791733196
chebyshev,11,uniform,0.6120836599689612
manhattan,31,uniform,0.622812836474796
minkowski,1,uniform,0.5744739149896587
euclidean,4,uniform,0.5744506069848697
minkowski,24,uniform,0.6072875444438174
manhattan,31,distance,0.6264481550195836
manhattan,6,uniform,0.5762175283518918
manhattan,8,distance,0.620685311796893
euclidean,20,uniform,0.6010638356295315
euclidean,2,uniform,0.4819860622480562
euclidean,30,uniform,0.6020190244929655
chebyshev,22,uniform,0.5952434676174765
manhattan,13,distance,0.6302991264701748
manhattan,27,distance,0.6207270022849706
manhattan,11,uniform,0.6400280692581622
euclidean,18,distance,0.6421267351432831
minkowski,29,distance,0.6236063813757531
manhattan,12,uniform,0.6136370005189413
manhattan,31,uniform,0.622812836474796
manhattan,20,uniform,0.5989471037366673
manhattan,14,uniform,0.6100489325530563
manhattan,22,distance,0.6443427119225695
euclidean,14,distance,0.6402271939703716
chebyshev,24,uniform,0.5960730068913687
minkowski,2,uniform,0.4819860622480562
chebyshev,24,uniform,0.5960730068913687
manhattan,4,distance,0.6000331343813994
manhattan,16,distance,0.6486785889613578
manhattan,25,uniform,0.6209588381481318
euclidean,7,distance,0.6297636662184631
chebyshev,9,distance,0.6083064170439695
euclidean,23,distance,0.644978042253584
minkowski,11,distance,0.6426448955575169
euclidean,20,uniform,0.6010638356295315
euclidean,26,uniform,0.6260797458708443
euclidean,14,distance,0.6402271939703716
euclidean,25,distance,0.6294204380746977
