param_model__metric,param_model__n_neighbors,param_model__weights,mean_test_score
euclidean,6,uniform,0.8094260104446518
manhattan,20,uniform,0.7903921884695336
chebyshev,7,distance,0.8238930208969503
euclidean,2,distance,0.8332911319260761
manhattan,13,uniform,0.8327286847257908
manhattan,17,uniform,0.81207591391199
chebyshev,19,uniform,0.6582760691576794
manhattan,14,distance,0.8202695384057146
manhattan,17,uniform,0.81207591391199
manhattan,12,distance,0.8241324636048406
manhattan,1,distance,0.8319526665443535
chebyshev,31,distance,0.7666770118548494
euclidean,1,distance,0.8332911319260761
minkowski,20,uniform,0.7959512045802696
minkowski,31,distance,0.8157793779708837
chebyshev,1,distance,0.834868626246948
euclidean,4,distance,0.8488430936437437
euclidean,6,distance,0.8436682338795507
minkowski,4,distance,0.8488430936437437
chebyshev,1,uniform,0.834868626246948
minkowski,5,distance,0.8422646906507832
minkowski,31,uniform,0.7861413934524438
euclidean,8,distance,0.828150238693536
chebyshev,3,uniform,0.8306882798965163
minkowski,26,distance,0.8220608042640549
minkowski,1,uniform,0.8332911319260761
chebyshev,8,uniform,0.7700454968846344
chebyshev,3,distance,0.8384798652220292
minkowski,1,distance,0.8332911319260761
minkowski,21,distance,0.8251821442219297
manhattan,4,uniform,0.8155356212873974
manhattan,31,distance,0.815058311620005
chebyshev,31,uniform,0.5575054798582084
chebyshev,17,distance,0.7893221783173443
chebyshev,24,distance,0.7594657491085652
chebyshev,11,distance,0.8111385182724062
manhattan,4,distance,0.8522583786302302
euclidean,26,uniform,0.7813685973867969
minkowski,10,uniform,0.8017912203631875
euclidean,18,distance,0.8238550004773437
euclidean,21,distance,0.8251821442219297
euclidean,8,distance,0.828150238693536
chebyshev,4,distance,0.8359489572359499
euclidean,1,uniform,0.8332911319260761
manhattan,5,distance,0.8473086206450317
euclidean,28,distance,0.8191027237996007
chebyshev,13,uniform,0.7137645261500536
euclidean,14,uniform,0.8128968867041599
manhattan,22,distance,0.8207207206473998
euclidean,13,distance,0.823598336006997
euclidean,24,distance,0.8194089196960077
euclidean,31,distance,0.8157793779708837
minkowski,14,uniform,0.8128968867041599
manhattan,1,uniform,0.8319526665443535
chebyshev,14,distance,0.7969632455157912
euclidean,3,distance,0.8457875613836364
chebyshev,20,distance,0.7792710584617073
manhattan,6,distance,0.8451903226329179
manhattan,31,uniform,0.7846312021312022
chebyshev,28,distance,0.7614193659468901
chebyshev,5,uniform,0.8080905522649479
minkowski,23,uniform,0.8001858145957084
chebyshev,24,uniform,0.5755027971130574
manhattan,19,distance,0.8235412333969654
chebyshev,9,distance,0.821661402342232
manhattan,8,uniform,0.7961522762153613
euclidean,10,distance,0.8248297702995406
minkowski,16,distance,0.8248970373555359
minkowski,29,uniform,0.7880583044393469
euclidean,2,uniform,0.8034798848159298
euclidean,12,uniform,0.8048960984979221
manhattan,15,uniform,0.8239546068710345
manhattan,25,distance,0.81494655966649
chebyshev,15,uniform,0.7031936332014915
manhattan,17,distance,0.8227272596388533
manhattan,9,distance,0.8270952000828551
manhattan,11,uniform,0.8192907914830588
manhattan,29,distance,0.811979452593587
manhattan,27,distance,0.8152814972101347
euclidean,13,distance,0.823598336006997
manhattan,24,uniform,0.7945889143946411
chebyshev,2,uniform,0.7963089307834958
minkowski,8,distance,0.828150238693536
minkowski,30,distance,0.8125039170469274
chebyshev,9,distance,0.821661402342232
chebyshev,11,uniform,0.7622710930351072
manhattan,21,distance,0.8223464400768963
manhattan,13,distance,0.8168984958564305
chebyshev,11,distance,0.8111385182724062
chebyshev,7,uniform,0.8007772498176611
chebyshev,5,distance,0.8298946826563698
chebyshev,6,distance,0.8306906376390375
minkowski,18,uniform,0.8040058943899162
minkowski,14,distance,0.8254587301298141
minkowski,15,distance,0.8227246811060092
minkowski,13,distance,0.823598336006997
euclidean,15,distance,0.8227246811060092
chebyshev,30,distance,0.7537003942041929
chebyshev,23,uniform,0.5991407481607155
