param_model__criterion,param_model__max_depth,param_model__max_leaf_nodes,mean_test_score
gini,9,53,0.9967213114754099
log_loss,7,61,0.9967213114754099
gini,14,46,0.9967213114754099
log_loss,16,96,0.9899435028248588
log_loss,1,43,0.9865536723163842
log_loss,29,70,0.9933314809669354
entropy,22,67,0.9967213114754099
gini,7,45,0.9933314809669354
gini,28,64,0.9899435028248588
entropy,17,41,0.9933314809669354
gini,17,54,0.9899435028248588
log_loss,10,22,0.9933314809669354
gini,24,34,0.9933314809669354
entropy,13,38,0.9933314809669354
entropy,30,48,0.9899435028248588
entropy,1,100,0.9865536723163842
gini,8,52,0.9933314809669354
log_loss,8,62,0.9933314809669354
gini,22,11,0.9967213114754099
entropy,21,35,0.9933314809669354
entropy,23,33,0.9933314809669354
log_loss,6,82,0.9933314809669354
log_loss,14,43,0.9899435028248588
gini,10,54,0.9899435028248588
gini,20,11,0.9899435028248588
gini,13,100,0.9933314809669354
gini,22,14,0.9933314809669354
gini,15,46,0.9933314809669354
log_loss,22,13,0.9933314809669354
gini,23,11,0.9967213114754099
gini,23,99,0.9933314809669354
log_loss,25,100,0.9899435028248588
log_loss,7,11,0.9899435028248588
gini,23,10,0.9933314809669354
entropy,23,91,0.9933314809669354
gini,4,99,0.9933314809669354
entropy,21,92,0.9899435028248588
entropy,23,60,0.9967213114754099
gini,14,11,0.9933314809669354
gini,13,62,0.9899435028248588
entropy,23,63,0.9899435028248588
gini,23,12,0.9967213114754099
gini,13,46,0.9933314809669354
entropy,21,67,0.9933314809669354
gini,1,84,0.9865536723163842
gini,22,10,0.9899435028248588
entropy,26,11,0.9933314809669354
entropy,5,11,0.9899435028248588
entropy,9,100,0.9933314809669354
gini,8,100,0.9899435028248588
log_loss,19,100,0.9933314809669354
log_loss,3,11,0.9933314809669354
entropy,11,100,0.9899435028248588
log_loss,27,98,0.9933314809669354
entropy,18,10,0.9933314809669354
log_loss,12,10,0.9933314809669354
gini,2,10,0.9899435028248588
gini,26,100,0.9933314809669354
log_loss,4,10,0.9967213114754099
entropy,3,100,0.9899435028248588
log_loss,23,10,0.9933314809669354
log_loss,18,100,0.9933314809669354
entropy,27,11,0.9933314809669354
log_loss,9,10,0.9933314809669354
entropy,19,11,0.9967213114754099
entropy,19,10,0.9899435028248588
gini,22,12,0.9967213114754099
gini,30,99,0.9933314809669354
gini,6,10,0.9933314809669354
entropy,15,99,0.9933314809669354
entropy,29,10,0.9933314809669354
entropy,22,100,0.9967213114754099
entropy,24,100,0.9899435028248588
entropy,12,99,0.9933314809669354
log_loss,5,99,0.9899435028248588
log_loss,28,11,0.9933314809669354
entropy,22,99,0.9899435028248588
log_loss,11,11,0.9933314809669354
gini,25,12,0.9933314809669354
log_loss,22,97,0.9933314809669354
entropy,16,10,0.9933314809669354
gini,22,13,0.9967213114754099
log_loss,20,100,0.9899435028248588
entropy,4,10,0.9899435028248588
gini,27,98,0.9967213114754099
log_loss,26,11,0.9899435028248588
log_loss,15,11,0.9899435028248588
log_loss,30,11,0.9899435028248588
gini,18,97,0.9933314809669354
entropy,6,99,0.9967213114754099
log_loss,24,12,0.9967213114754099
entropy,28,100,0.9933314809669354
entropy,12,11,0.9899435028248588
entropy,10,99,0.9899435028248588
gini,29,99,0.9933314809669354
log_loss,17,99,0.9967213114754099
entropy,25,10,0.9933314809669354
gini,3,99,0.9933314809669354
gini,16,10,0.9899435028248588
entropy,6,12,0.9933314809669354
entropy,18,12,0.9933314809669354
log_loss,2,100,0.9933314809669354
gini,26,97,0.9933314809669354
entropy,24,59,0.9933314809669354
gini,27,11,0.9933314809669354
log_loss,6,60,0.9933314809669354
entropy,23,68,0.9933314809669354
entropy,7,98,0.9933314809669354
gini,24,13,0.9933314809669354
entropy,21,60,0.9933314809669354
gini,9,100,0.9933314809669354
entropy,23,66,0.9967213114754099
entropy,25,66,0.9933333333333334
gini,11,11,0.9933314809669354
gini,5,100,0.9933314809669354
log_loss,15,99,0.9933314809669354
gini,28,97,0.9899435028248588
log_loss,18,98,0.9933314809669354
entropy,22,65,0.9933314809669354
log_loss,8,60,0.9967213114754099
log_loss,10,60,0.9933314809669354
entropy,20,11,0.9933314809669354
log_loss,30,99,0.9933314809669354
log_loss,4,99,0.9933314809669354
entropy,2,93,0.9967213114754099
entropy,14,99,0.9933333333333334
gini,19,98,0.9933314809669354
log_loss,17,10,0.9933314809669354
log_loss,29,10,0.9933314809669354
entropy,2,16,0.9899435028248588
entropy,3,10,0.9933314809669354
entropy,9,10,0.9933314809669354
gini,12,100,0.9967213114754099
gini,11,100,0.9933314809669354
log_loss,27,99,0.9967213114754099
gini,27,100,0.9933314809669354
log_loss,8,10,0.9933314809669354
log_loss,27,100,0.9933314809669354
gini,7,100,0.9933314809669354
log_loss,12,100,0.9899435028248588
gini,5,10,0.9899435028248588
entropy,29,99,0.9933333333333334
gini,27,97,0.9899435028248588
entropy,14,98,0.9899435028248588
entropy,17,97,0.9933314809669354
log_loss,19,10,0.9933333333333334
entropy,16,99,0.9899435028248588
entropy,20,99,0.9933314809669354
gini,4,98,0.9967213114754099
log_loss,9,100,0.9933333333333334
gini,6,99,0.9899435028248588
gini,3,10,0.9967213114754099
entropy,26,100,0.9933314809669354
gini,21,11,0.9933314809669354
gini,21,13,0.9899435028248588
gini,25,98,0.9899435028248588
entropy,4,11,0.9933314809669354
log_loss,13,11,0.9933314809669354
log_loss,11,10,0.9967213114754099
entropy,15,10,0.9899435028248588
gini,15,69,0.9967213114754099
entropy,8,11,0.9933314809669354
entropy,7,10,0.9933314809669354
gini,3,42,0.9967213114754099
entropy,27,99,0.9899435028248588
entropy,8,99,0.9967213114754099
gini,29,43,0.9899435028248588
log_loss,29,25,0.9933314809669354
entropy,28,98,0.9967213114754099
gini,4,43,0.9899435028248588
