param_model__booster,param_model__lambda,param_model__learning_rate,param_model__max_depth,mean_test_score
dart,873.1250640819442,0.15401862657467225,6,0.9866648143002686
gbtree,612.8654435940585,0.2895820607760949,5,0.9866648143002686
dart,728.0345381350492,0.22027889624136185,4,0.9866648143002686
gblinear,673.0952194622673,0.16643868792850436,4,0.7105726011334768
dart,548.1292565014365,0.1736889484603817,8,0.9866648143002686
gblinear,376.87918545645306,0.06944211716475136,4,0.7105726011334768
gblinear,701.5330679595664,0.29458642282465763,10,0.7105726011334768
gblinear,766.1766236720547,0.17899332443729796,5,0.7105726011334768
gblinear,594.8322390191333,0.2282088996115411,9,0.7105726011334768
gbtree,958.764847610379,0.2170799291954169,5,0.9866648143002686
gbtree,57.86113407866537,0.0016732195027657178,3,0.7105726011334768
gbtree,0.0009765625,0.258636914652254,10,0.9899435028248588
dart,0.0009765625,0.0001,10,0.7105726011334768
dart,1024.0,0.2639494420855697,3,0.9866648143002686
dart,376.98573268230535,0.11731977724241961,10,0.9866648143002686
gbtree,0.0009765625,0.1359733835181239,10,0.9899435028248588
dart,0.0009765625,0.3,10,0.9899435028248588
dart,1024.0,0.23921547626156892,10,0.9866648143002686
gblinear,535.5932001319158,0.00011577499437998176,6,0.7105726011334768
dart,3.381112535501336,0.2818929711177231,9,0.9899435028248588
dart,0.0009765625,0.13528748078193387,10,0.9899435028248588
gbtree,28.1591859282667,0.12706604443064232,3,0.9899435028248588
gbtree,64.02373104081352,0.24043721430712828,3,0.9899435028248588
dart,7.072550944197134,0.08629450923542545,3,0.9899435028248588
dart,0.0009765625,0.09909648442547045,3,0.9899435028248588
gbtree,0.0009765625,0.19587453094460608,3,0.9899435028248588
gbtree,1001.4000047138605,0.09276390770382897,9,0.9866648143002686
gbtree,0.0009765625,0.15895041763493123,3,0.9899435028248588
dart,67.37056001923558,0.07055582313559693,10,0.9899435028248588
gbtree,87.29460613011501,0.08395067883019722,10,0.9899435028248588
dart,0.0009765625,0.08098709703133268,10,0.9899435028248588
dart,37.0031875662314,0.20254264594900723,10,0.9899435028248588
gbtree,0.0009765625,0.0759319953330515,3,0.9899435028248588
dart,30.565170922600284,0.05367855575957753,7,0.9899435028248588
gbtree,8.495878034173144,0.2282162813742541,10,0.9899435028248588
gbtree,957.0137735303384,0.060986131405335216,9,0.9866648143002686
gbtree,73.16617629915334,0.27304691098059136,9,0.9899435028248588
gbtree,1.7060440425863885,0.2993510140260846,5,0.9899435028248588
dart,0.0009765625,0.060628984078002476,3,0.9899435028248588
dart,0.0009765625,0.14361292780025436,3,0.9899435028248588
gbtree,92.74056618704432,0.18403745296491228,10,0.9899435028248588
dart,29.63868548199614,0.2938782522688041,3,0.9899435028248588
dart,0.0009765625,0.058547829600427204,10,0.9899435028248588
dart,2.978261523990993,0.25079926482562476,6,0.9899435028248588
gbtree,0.0009765625,0.20918751211861916,10,0.9899435028248588
dart,0.0009765625,0.27263138032190914,3,0.9899435028248588
gbtree,0.0009765625,0.15041231218427303,10,0.9899435028248588
dart,959.3726873181371,0.04416522666715221,9,0.9866648143002686
gbtree,25.63360771145361,0.10774141429979545,8,0.9899435028248588
dart,1024.0,0.05307072399185306,10,0.9866648143002686
dart,83.09974151066614,0.18848595075824567,3,0.9899435028248588
dart,951.3554208757309,0.299914170286051,3,0.9866648143002686
gblinear,775.1571227821184,0.11185419943576101,10,0.7105726011334768
gbtree,114.52199299937438,0.047364451186753996,9,0.9866648143002686
dart,0.0009765625,0.15860599114038706,10,0.9899435028248588
dart,0.0009765625,0.19203160113608633,10,0.9899435028248588
gbtree,0.0009765625,0.09541627984840845,10,0.9899435028248588
dart,0.0009765625,0.26667599403142134,10,0.9899435028248588
dart,27.611529468368325,0.03397243820087248,9,0.9899435028248588
dart,0.0009765625,0.03859941702849729,10,0.9899435028248588
dart,74.65819625565092,0.23270570186678655,3,0.9899435028248588
gblinear,837.3495652467035,0.03319524400366878,10,0.7105726011334768
gblinear,440.2239504922665,0.26383182489575335,3,0.7105726011334768
dart,0.0009765625,0.03676337811612777,3,0.9899435028248588
gbtree,990.3571818642514,0.1629246139600619,10,0.9866648143002686
gbtree,0.0009765625,0.10188554554882163,3,0.9899435028248588
gbtree,0.0009765625,0.26556909394167694,3,0.9899435028248588
gbtree,984.3229079154803,0.19821810832391284,10,0.9866648143002686
gbtree,0.0009765625,0.2333484801001106,3,0.9899435028248588
gbtree,0.0009765625,0.06780514884296693,10,0.9899435028248588
gbtree,902.9444365041628,0.034779158626599,9,0.7105726011334768
gblinear,0.0009765625,0.3,9,1.0
gblinear,0.0009765625,0.16415779940767727,4,1.0
gbtree,358.49373457670094,0.28550835420983195,4,0.9899435028248588
gblinear,0.0009765625,0.0001,7,0.7105726011334768
gblinear,0.0009765625,0.2285116378634291,3,1.0
dart,983.1697892604286,0.04758093823171662,9,0.9866648143002686
gbtree,943.3206132991294,0.0716508329358065,8,0.9866648143002686
dart,278.9022647627184,0.1953354141444838,3,0.9899435028248588
dart,949.0889783709565,0.10370050070396138,4,0.9866648143002686
dart,449.72261408193776,0.0001,5,0.7105726011334768
dart,0.0009765625,0.19684759201064544,7,0.9899435028248588
gblinear,156.34047841647407,0.3,3,0.7105726011334768
gbtree,409.07755396333306,0.18782187746862788,9,0.9866648143002686
gblinear,1024.0,0.3,8,0.7105726011334768
dart,335.2169846452822,0.14638323218932714,10,0.9866648143002686
gblinear,1024.0,0.0001,8,0.7105726011334768
dart,787.6497824413667,0.3,7,0.9866648143002686
dart,1024.0,0.011355767712566482,6,0.7105726011334768
gblinear,141.16988819478127,0.13068843051463042,5,0.7105726011334768
dart,838.6056019308157,0.239538915416547,10,0.9866648143002686
dart,224.67896284868743,0.3,7,0.9899435028248588
dart,485.2014097574079,0.3,8,0.9866648143002686
dart,1024.0,0.07199687815312983,10,0.983491889921633
dart,1024.0,0.14141610812984245,10,0.9866648143002686
gblinear,0.0009765625,0.18632877906926373,6,1.0
dart,244.87170215707812,0.08681582550596639,3,0.9866648143002686
dart,535.5393429585764,0.2333179362120854,7,0.9866648143002686
dart,690.0347841172177,0.14502072639393065,9,0.9866648143002686
gbtree,221.74532154940817,0.24523646368820912,8,0.9899435028248588
dart,555.2351786292015,0.10632088682236866,3,0.9866648143002686
dart,706.6062548658916,0.057324934370829875,10,0.9866648143002686
dart,674.1380504065924,0.07512739257416925,10,0.9866648143002686
gbtree,1024.0,0.06736449086498066,10,0.9866648143002686
gblinear,0.0009765625,0.2662920683250049,10,1.0
dart,204.35961714734452,0.14190702425334026,5,0.9866648143002686
dart,879.3395319680982,0.058174214134728695,10,0.9866648143002686
gbtree,1024.0,0.12023799583833857,10,0.9866648143002686
dart,261.47951599146484,0.04701971612150877,3,0.9866648143002686
gblinear,0.0009765625,0.1733773940862639,7,1.0
gbtree,1024.0,0.27457739669429315,10,0.9866648143002686
dart,400.7802168579285,0.2703449340041617,10,0.9866648143002686
gbtree,548.514508305652,0.12894351129297235,10,0.9866648143002686
dart,1024.0,0.1898532450258245,6,0.9866648143002686
gbtree,672.9163228656997,0.25147769746924453,10,0.9866648143002686
gblinear,0.0009765625,0.2034541503807163,3,1.0
gbtree,479.27434691490083,0.09184198412242445,10,0.9866648143002686
gbtree,1024.0,0.3,3,0.9866648143002686
gbtree,710.1641364764273,0.17120276380542634,3,0.9866648143002686
gbtree,560.9335301987865,0.21707009838256391,9,0.9866648143002686
gbtree,321.888022296344,0.15248909116081374,3,0.9866648143002686
gbtree,722.3223428969046,0.2732777455431158,3,0.9866648143002686
gbtree,782.9508916094076,0.11173655418416775,10,0.9866648143002686
gblinear,0.0009765625,0.2603229053774559,4,1.0
gbtree,1024.0,0.2453838181763841,8,0.9866648143002686
dart,708.8325389875553,0.27295471725002357,9,0.9866648143002686
gbtree,274.53627171026375,0.21466594327475616,3,0.9899435028248588
gbtree,275.79774027351937,0.3,10,0.9899435028248588
dart,781.2664234688833,0.18969341630344239,10,0.9866648143002686
gbtree,303.05641599962127,0.1145120804573363,3,0.9866648143002686
gblinear,0.0009765625,0.26244431830282267,10,1.0
gbtree,818.9874011569995,0.3,10,0.9866648143002686
gbtree,795.3470593546435,0.1435589066439332,10,0.9866648143002686
dart,252.1575830875009,0.2479361739613291,3,0.9899435028248588
gbtree,345.44374997339156,0.06862925321395806,3,0.9866648143002686
gblinear,0.0009765625,0.26496495021859195,5,1.0
dart,1024.0,0.2133942455208223,10,0.9866648143002686
dart,452.98918672774664,0.07189178146345339,10,0.9866648143002686
dart,324.4925631496276,0.21937389641572072,3,0.9866648143002686
dart,820.4932234826543,0.12369432806246153,10,0.9866648143002686
gbtree,752.9825185269756,0.1988208543470681,3,0.9866648143002686
gbtree,648.2745724261059,0.0736874502189971,10,0.9866648143002686
gbtree,444.1512407709341,0.260834409378322,3,0.9866648143002686
dart,267.0723014946822,0.1706818716850235,10,0.9866648143002686
gbtree,38.09904824856562,0.04409930518499941,4,0.9899435028248588
dart,1024.0,0.11718806129102831,10,0.9866648143002686
dart,1024.0,0.16671295502081374,10,0.9866648143002686
dart,537.9394926005032,0.20081667853332405,10,0.9866648143002686
gblinear,0.0009765625,0.2747994376361722,10,1.0
dart,909.1481191667566,0.28627795206437284,5,0.9866648143002686
gbtree,798.8986042939606,0.23278813325292722,3,0.9866648143002686
dart,183.02946698375203,0.27379026194989853,10,0.9899435028248588
gbtree,551.7144989136319,0.15481950044936704,10,0.9866648143002686
gbtree,445.07128815667926,0.23586237390682943,3,0.9866648143002686
gbtree,486.97359038495233,0.3,10,0.9866648143002686
gblinear,0.0009765625,0.2721106133769274,10,1.0
gbtree,142.65313604803026,0.11384940565170383,3,0.9899435028248588
gbtree,1024.0,0.14395480909627878,3,0.9866648143002686
dart,144.70858683784493,0.1139588995890998,3,0.9899435028248588
dart,610.3032024671521,0.25357557745716525,3,0.9866648143002686
dart,579.2975501602633,0.041197160067266855,10,0.9866648143002686
gblinear,1024.0,0.25281582859073287,10,0.7105726011334768
