param_model__metric,param_model__n_neighbors,param_model__weights,mean_test_score
manhattan,31,uniform,0.832568499891423
chebyshev,31,uniform,0.6164584538855895
manhattan,22,uniform,0.8304712627357071
euclidean,23,uniform,0.8331232465281115
chebyshev,10,distance,0.6755650027423844
chebyshev,30,uniform,0.6164584538855895
manhattan,2,uniform,0.7326154198965258
chebyshev,12,uniform,0.6186750985315236
manhattan,25,distance,0.8360567540671247
minkowski,28,uniform,0.8269645492475762
euclidean,31,distance,0.8394049747895771
euclidean,28,distance,0.8365272009336657
euclidean,15,distance,0.8283243404678945
minkowski,31,distance,0.8394049747895771
euclidean,20,distance,0.8307159075451759
manhattan,1,distance,0.7762646727695721
chebyshev,31,distance,0.6266771790709768
minkowski,16,distance,0.8230766356201897
manhattan,31,distance,0.8397047239477853
minkowski,16,uniform,0.8300468265933507
chebyshev,1,distance,0.708756213307537
euclidean,9,distance,0.8278443906967821
euclidean,12,uniform,0.8379398247058456
euclidean,1,uniform,0.7804743845369604
manhattan,15,distance,0.8325792374004365
euclidean,16,uniform,0.8300468265933507
euclidean,31,uniform,0.8308574631383461
manhattan,20,distance,0.8386738655031337
euclidean,1,distance,0.7804743845369604
manhattan,16,uniform,0.8354523566168564
euclidean,9,uniform,0.8406942560323273
euclidean,10,uniform,0.833388132034167
manhattan,10,distance,0.8246890732696848
manhattan,20,uniform,0.8327344169647801
chebyshev,21,distance,0.6419379731387281
manhattan,1,distance,0.7762646727695721
euclidean,16,distance,0.8230766356201897
euclidean,20,distance,0.8307159075451759
euclidean,29,distance,0.8384127440711332
minkowski,28,uniform,0.8269645492475762
manhattan,16,uniform,0.8354523566168564
euclidean,28,distance,0.8365272009336657
chebyshev,15,uniform,0.6149089806309916
euclidean,7,uniform,0.8385346219550132
manhattan,28,distance,0.8406191653900994
manhattan,27,uniform,0.8376545107487555
manhattan,12,uniform,0.838710399564335
minkowski,24,distance,0.8327032091324774
chebyshev,10,distance,0.6755650027423844
euclidean,3,uniform,0.8399606801013754
chebyshev,9,uniform,0.6237907235059778
manhattan,14,distance,0.8282629347964627
euclidean,5,uniform,0.829706276768572
euclidean,13,distance,0.8298224098632213
minkowski,24,distance,0.8327032091324774
chebyshev,15,uniform,0.6149089806309916
manhattan,21,distance,0.8385847365951072
minkowski,4,distance,0.8174165290645015
minkowski,28,uniform,0.8269645492475762
chebyshev,27,distance,0.6325048517628551
manhattan,21,distance,0.8385847365951072
manhattan,13,uniform,0.8407746378925907
manhattan,24,distance,0.8391042171145877
minkowski,7,uniform,0.8385346219550132
euclidean,24,uniform,0.8338356732301545
euclidean,2,uniform,0.7446870589761678
euclidean,11,distance,0.8310298401104642
euclidean,30,uniform,0.8282920193166872
manhattan,29,uniform,0.8334283115823682
chebyshev,9,distance,0.6810110104351227
euclidean,26,distance,0.8388211780642395
minkowski,18,uniform,0.83241417312057
manhattan,19,uniform,0.8372453423632951
chebyshev,30,distance,0.6272396901694911
euclidean,14,uniform,0.8351716534356106
chebyshev,22,distance,0.6399208738730247
manhattan,13,uniform,0.8407746378925907
manhattan,6,distance,0.8300942385153449
euclidean,18,distance,0.8257122255729901
chebyshev,30,uniform,0.6164584538855895
manhattan,6,distance,0.8300942385153449
chebyshev,5,distance,0.7025179826426611
chebyshev,28,distance,0.6298444618500533
chebyshev,30,distance,0.6272396901694911
manhattan,26,uniform,0.8345775715852692
euclidean,19,distance,0.8287752682757695
minkowski,12,distance,0.8294875691752601
minkowski,18,uniform,0.83241417312057
euclidean,8,distance,0.8267027817032243
manhattan,10,distance,0.8246890732696848
euclidean,23,distance,0.829449780264401
manhattan,26,uniform,0.8345775715852692
chebyshev,20,distance,0.644019011583928
minkowski,12,uniform,0.8379398247058456
euclidean,30,distance,0.8367252354571587
minkowski,30,distance,0.8367252354571587
euclidean,5,uniform,0.829706276768572
manhattan,1,distance,0.7762646727695721
chebyshev,3,distance,0.7177645783297075
manhattan,14,uniform,0.8372114690899852
manhattan,21,distance,0.8385847365951072
chebyshev,7,distance,0.6878254027418976
chebyshev,12,distance,0.6687267784757639
chebyshev,10,distance,0.6755650027423844
minkowski,13,distance,0.8298224098632213
minkowski,27,uniform,0.8410735652234574
manhattan,16,distance,0.8376845661267376
chebyshev,17,distance,0.6504468983571263
chebyshev,16,distance,0.6511743234441085
chebyshev,14,distance,0.6597982836690204
euclidean,6,uniform,0.8260968234260263
chebyshev,24,uniform,0.6158391959798994
manhattan,11,uniform,0.8419580503889638
euclidean,29,distance,0.8384127440711332
manhattan,2,uniform,0.7326154198965258
minkowski,17,uniform,0.8354724345806313
chebyshev,14,distance,0.6597982836690204
minkowski,2,distance,0.7804743845369604
manhattan,4,distance,0.8260406363186756
minkowski,16,distance,0.8230766356201897
minkowski,5,uniform,0.829706276768572
minkowski,2,distance,0.7804743845369604
euclidean,4,uniform,0.8101875261403908
manhattan,16,distance,0.8376845661267376
