param_model__metric,param_model__n_neighbors,param_model__weights,mean_test_score
manhattan,29,uniform,0.9818181818181818
chebyshev,3,uniform,0.932463768115942
minkowski,6,uniform,0.9894736842105264
chebyshev,17,uniform,0.951048951048951
euclidean,8,uniform,0.9894736842105264
minkowski,14,distance,0.993103448275862
chebyshev,11,uniform,0.96
minkowski,30,uniform,0.9894736842105264
minkowski,24,distance,0.993103448275862
minkowski,18,distance,0.9966101694915255
manhattan,1,distance,0.9894736842105264
euclidean,1,distance,0.9857142857142858
minkowski,1,distance,0.9857142857142858
euclidean,31,uniform,0.9894736842105264
manhattan,31,uniform,0.9818181818181818
euclidean,2,distance,0.9857142857142858
minkowski,31,uniform,0.9894736842105264
manhattan,30,distance,0.9857142857142858
minkowski,1,uniform,0.9857142857142858
minkowski,31,distance,0.9894736842105264
euclidean,26,distance,0.993103448275862
euclidean,7,distance,0.9894736842105264
chebyshev,14,distance,0.96
euclidean,17,distance,0.9966101694915255
manhattan,16,distance,0.993103448275862
chebyshev,31,distance,0.9735849056603774
euclidean,18,uniform,0.993103448275862
manhattan,8,uniform,0.993103448275862
euclidean,19,distance,0.993103448275862
manhattan,21,distance,0.9894736842105264
chebyshev,26,distance,0.9735849056603774
manhattan,11,distance,0.993103448275862
minkowski,17,distance,0.9966101694915255
manhattan,5,distance,0.9894736842105264
manhattan,13,uniform,0.993103448275862
minkowski,22,uniform,0.993103448275862
minkowski,11,uniform,0.993103448275862
manhattan,24,uniform,0.9857142857142858
minkowski,16,distance,0.993103448275862
manhattan,18,uniform,0.9894736842105264
manhattan,3,uniform,0.9894736842105264
euclidean,15,uniform,0.993103448275862
minkowski,28,distance,0.993103448275862
euclidean,12,distance,0.993103448275862
euclidean,21,distance,0.993103448275862
manhattan,9,distance,0.993103448275862
chebyshev,22,distance,0.9692307692307693
chebyshev,29,uniform,0.9632985234277649
euclidean,26,uniform,0.9857142857142858
chebyshev,7,distance,0.96
manhattan,1,uniform,0.9894736842105264
chebyshev,1,distance,0.928960943257185
manhattan,11,uniform,0.993103448275862
minkowski,20,uniform,0.993103448275862
minkowski,10,distance,0.993103448275862
minkowski,16,uniform,0.993103448275862
manhattan,14,distance,0.993103448275862
manhattan,25,distance,0.9894736842105264
chebyshev,24,uniform,0.9589443869981569
manhattan,6,uniform,0.9894736842105264
minkowski,23,distance,0.993103448275862
minkowski,13,uniform,0.993103448275862
manhattan,18,distance,0.993103448275862
euclidean,29,distance,0.9894736842105264
manhattan,15,uniform,0.993103448275862
euclidean,31,distance,0.9894736842105264
minkowski,20,distance,0.993103448275862
manhattan,21,uniform,0.9894736842105264
manhattan,8,distance,0.993103448275862
chebyshev,31,uniform,0.9632985234277649
euclidean,10,uniform,0.993103448275862
euclidean,4,uniform,0.9894736842105264
minkowski,5,distance,0.9894736842105264
manhattan,12,distance,0.993103448275862
euclidean,23,uniform,0.993103448275862
manhattan,3,distance,0.9894736842105264
manhattan,10,uniform,0.993103448275862
euclidean,15,distance,0.993103448275862
minkowski,9,distance,0.993103448275862
manhattan,27,distance,0.9894736842105264
euclidean,20,uniform,0.993103448275862
chebyshev,18,distance,0.96
euclidean,13,uniform,0.993103448275862
minkowski,26,distance,0.993103448275862
chebyshev,10,distance,0.96
manhattan,23,distance,0.9894736842105264
chebyshev,7,uniform,0.96
chebyshev,29,distance,0.9701950751519028
minkowski,28,uniform,0.9894736842105264
manhattan,16,uniform,0.993103448275862
minkowski,17,uniform,1.0
chebyshev,7,distance,0.96
chebyshev,15,uniform,0.9377777777777778
chebyshev,21,uniform,0.9578093306288032
manhattan,7,distance,0.993103448275862
manhattan,19,distance,0.9894736842105264
