n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,score,dataset
350,6,4,2,0.2,0.8132690426275332,diabetes
350,6,4,2,0.2,0.9999784296807593,banknotes
350,6,4,2,0.2,0.6373571428571428,credit
350,6,4,2,0.2,0.9766895781018434,spambase
10,14,8,9,log2,0.811607966457023,diabetes
10,14,8,9,log2,0.9996022884275941,banknotes
10,14,8,9,log2,0.6396666666666666,credit
10,14,8,9,log2,0.9657871258790415,spambase
110,11,5,4,0.4,0.812317959468903,diabetes
110,11,5,4,0.4,0.9998921484037965,banknotes
110,11,5,4,0.4,0.632095238095238,credit
110,11,5,4,0.4,0.9746441174501408,spambase
250,4,7,6,sqrt,0.8108106219426974,diabetes
250,4,7,6,sqrt,0.9999030040546562,banknotes
250,4,7,6,sqrt,0.6453095238095238,credit
250,4,7,6,sqrt,0.9754952786790895,spambase
270,6,8,9,0.4,0.8051572327044024,diabetes
270,6,8,9,0.4,1.0,banknotes
270,6,8,9,0.4,0.6263095238095239,credit
270,6,8,9,0.4,0.9763664456211908,spambase
190,9,4,2,sqrt,0.8171621243885395,diabetes
190,9,4,2,sqrt,0.9999353595335172,banknotes
190,9,4,2,sqrt,0.6232857142857144,credit
190,9,4,2,sqrt,0.9766089548443523,spambase
90,13,9,7,0.2,0.8149028651292802,diabetes
90,13,9,7,0.2,0.9999137187230371,banknotes
90,13,9,7,0.2,0.6240476190476191,credit
90,13,9,7,0.2,0.9747173111942695,spambase
380,8,3,4,log2,0.8103039832285115,diabetes
380,8,3,4,log2,0.9999352890422777,banknotes
380,8,3,4,log2,0.6259761904761905,credit
380,8,3,4,log2,0.9772782231898292,spambase
50,9,5,7,0.4,0.8147693920335431,diabetes
50,9,5,7,0.4,0.9997845082813107,banknotes
50,9,5,7,0.4,0.6404047619047619,credit
50,9,5,7,0.4,0.9712589678582976,spambase
310,13,7,4,sqrt,0.810881900768693,diabetes
310,13,7,4,sqrt,0.9999353595335172,banknotes
310,13,7,4,sqrt,0.6250714285714285,credit
310,13,7,4,sqrt,0.9747644224690146,spambase
220,10,2,8,0.2,0.8087372466806428,diabetes
220,10,2,8,0.2,0.9999892148403797,banknotes
220,10,2,8,0.2,0.6287142857142858,credit
220,10,2,8,0.2,0.9747932645125076,spambase
150,5,10,3,log2,0.8173962264150945,diabetes
150,5,10,3,log2,0.9999030040546562,banknotes
150,5,10,3,log2,0.6513571428571427,credit
150,5,10,3,log2,0.9756355782828038,spambase
170,4,9,5,0.2,0.8231970649895178,diabetes
170,4,9,5,0.2,0.9999352890422777,banknotes
170,4,9,5,0.2,0.6508095238095238,credit
170,4,9,5,0.2,0.9753233837381077,spambase
290,12,3,6,log2,0.8082103424178895,diabetes
290,12,3,6,log2,0.9999460742018982,banknotes
290,12,3,6,log2,0.6219047619047618,credit
290,12,3,6,log2,0.9764656233742379,spambase
380,14,6,1,0.4,0.8166638714185884,diabetes
380,14,6,1,0.4,0.9999677150123784,banknotes
380,14,6,1,0.4,0.6209523809523809,credit
380,14,6,1,0.4,0.9740358012353564,spambase
70,7,6,10,sqrt,0.8147183787561145,diabetes
70,7,6,10,sqrt,0.999870648575795,banknotes
70,7,6,10,sqrt,0.6409404761904762,credit
70,7,6,10,sqrt,0.9736201918223685,spambase
230,7,9,3,0.4,0.8146254367575123,diabetes
230,7,9,3,0.4,0.9999892148403797,banknotes
230,7,9,3,0.4,0.6314761904761904,credit
230,7,9,3,0.4,0.975873817336328,spambase
130,14,3,7,sqrt,0.8110545073375262,diabetes
130,14,3,7,sqrt,0.9999353595335172,banknotes
130,14,3,7,sqrt,0.623547619047619,credit
130,14,3,7,sqrt,0.9749553184336671,spambase
