,model__alpha,model__booster,model__colsample_bytree,model__eta,model__gamma,model__lambda,model__max_depth,model__min_child_weight,model__sampling_method,model__subsample,Score
0,0.0023030983260368195,dart,0.33763240436984127,0.08147643758727242,2.247962126288176,1.004914370956337,23,1,uniform,0.9804885122385522,0.7682291666666666
0,0.0002745163792294916,gblinear,0.31848469074316144,0.21663924116159267,1.5810865298188426,0.001057717991302537,16,44,uniform,0.9192080952657856,0.76953125
0,0.008846260433792948,gblinear,0.0,1.0,1000.0,1e-06,100,100,uniform,0.2972204222541526,0.7734375
0,0.0013055494706004183,gblinear,0.41832122121414816,0.13279129027496742,0.25473398842537964,2.2456633353517184e-05,31,46,uniform,0.04141784728612586,0.7708333333333334
0,2.0625404546810257e-06,gblinear,0.6225764835924452,0.1385624813895087,92.0979993375458,0.01868483816574447,100,10,uniform,0.3932618058073857,0.76953125
0,7.384993589021152e-05,gblinear,0.8964341830110162,0.07193977652818655,1000.0,0.004826516461900955,88,100,uniform,0.16196268980196923,0.7721354166666666
0,0.010342581500158229,gblinear,0.09802017122937946,0.5158465176604071,0.10100186295200923,3.324467412077297e-05,40,47,uniform,0.24655569348934273,0.7721354166666666
0,0.000909190486790153,gblinear,0.5412684592962439,0.22017698052555343,3.1771756584857445e-05,2.2804497540994167e-05,56,75,uniform,0.447823509453869,0.7721354166666666
0,0.006828232791955602,gblinear,0.30730988629558037,0.003906961674399273,0.004227111854933895,1.1944205280222775e-06,41,77,uniform,0.6362074103552801,0.73828125
0,0.00012218056862748754,gblinear,0.713563026492416,0.6390028274905165,1.3234176978978382e-06,0.00932863979961854,37,80,uniform,0.6036641309806684,0.7721354166666666
0,0.0005538470633819792,dart,0.01421542619103244,1.0,2.099008665728237e-06,2.2521206406476635,1,20,uniform,1.0,0.7552083333333334
0,3.057374151860206e-06,gblinear,0.08019915228902702,1.0,0.12068042280472073,0.018924548888523254,8,75,uniform,1.0,0.76953125
0,0.001497245482126132,dart,0.008598508280216912,0.7059887028734946,5.0514399571087595e-06,1.9644978865687266,32,34,uniform,0.9885860068479548,0.7643229166666666
0,1e-06,gblinear,0.20399686298212394,0.06551195882274102,1.1518458656414698,6.742486869591536e-05,97,4,uniform,0.4220794885349614,0.7708333333333334
0,0.03805654913292549,gblinear,0.9133617112818534,0.030404824570958878,0.00010268109634297433,0.05276601713367383,39,24,uniform,0.5493017265933513,0.7643229166666666
0,0.0007729970110532491,gblinear,0.285219168341323,0.014850447883428106,0.0003139576147564203,0.06405783084478293,59,43,uniform,0.20221647078588495,0.7591145833333334
0,0.003563074348846151,gblinear,0.04771161308889628,0.2141847140507891,30.901299915574526,7.079453834495748e-05,50,88,uniform,0.862310721587149,0.7734375
0,0.00032700922084467015,gblinear,0.0,0.35528176129383426,1000.0,3.649517061960996e-05,45,92,uniform,0.2522786027272265,0.7708333333333334
0,0.011765562273128962,dart,0.8168603626775712,0.27771490167822105,0.011928257375907506,5.72549333315854e-06,86,23,uniform,0.8905258309007672,0.7565104166666666
0,16.076052240384684,gbtree,0.04110049540562922,0.9526528742039153,1.243275818720493e-06,111.06070898310284,22,14,uniform,0.9748866706429555,0.7408854166666666
0,1e-06,gblinear,0.32568673046513474,0.9655475714984327,5.368809347370001e-05,0.006571171753368808,81,50,uniform,0.8635155523590917,0.7734375
0,1e-06,gblinear,0.0,0.5255269581295219,0.00014808817220194752,0.00285389335456825,100,70,uniform,0.8061307193304944,0.7708333333333334
0,0.046310316076274026,gbtree,0.6947821298649285,0.030902489679999923,2.992067849672012e-06,0.06516085702731278,25,9,uniform,0.46867165701804264,0.7591145833333334
0,0.00012657314910309743,gbtree,0.4894199257891657,0.3710073393798452,1.0654658486468957e-05,0.8282592314390123,34,29,uniform,0.8860589993981631,0.7721354166666666
0,1e-06,gblinear,0.33792961912116454,0.060652488950505026,1.3696665156470546e-05,6.396631986660483e-05,60,86,uniform,0.6559886891452978,0.76953125
0,1e-06,gblinear,0.5268507905249346,0.07883099472385277,6.37209647401485e-05,0.06560897142021016,53,20,uniform,0.8592042217905562,0.7630208333333334
0,0.004415473271356909,dart,0.9642940745926046,0.027105100231822627,14.10911552147096,4.276587194163829,65,31,uniform,0.8095099172785889,0.7317708333333334
0,1e-06,gblinear,0.7057828690333152,0.4713676951199307,1000.0,1e-06,1,1,uniform,0.0,0.76953125
0,0.005026885062441756,gblinear,0.39584217720092296,0.3025769991884102,98.84365043033621,1.609810339740438e-05,39,72,uniform,0.31731992481789906,0.7747395833333334
0,0.015413240448974304,gblinear,0.7499059384092096,1.0,1.8670635638222464e-06,1e-06,91,18,uniform,0.5773845368316348,0.76953125
0,0.6511983185928288,gbtree,0.7465210268247169,0.07745064061533492,2.8207686989777687,6.771207030036438e-05,84,4,uniform,0.593671783582322,0.7565104166666666
0,2.1504215065273037e-05,dart,0.30184825630361584,0.1907171915710377,5.3507824358014394e-05,8.037333395463119,92,1,uniform,0.2888825810160198,0.7578125
0,0.024552476536628776,gblinear,0.7408556635722762,1.0,0.7939319435970948,0.00039521095151702994,11,29,uniform,0.5332463134133052,0.7669270833333334
0,0.0018956678487254915,dart,0.4673439515047492,0.06892040864691665,2.840848840105921,8.332068299962033e-06,78,12,uniform,0.673570282797979,0.7591145833333334
0,0.0016015251507135837,gblinear,0.6967508818289032,0.19027114316250443,68.47371904400947,0.006816406301730157,29,4,uniform,0.48316043510638074,0.7734375
0,0.0027058444094944386,gblinear,1.0,0.25813850899700946,1e-06,6.252877121465645e-05,1,81,uniform,0.0,0.7734375
0,0.01425610162273046,dart,0.5255282545600678,5.77104552932967e-05,6.294886081022133e-05,5.325772672032473e-06,20,53,uniform,0.8790159169412161,0.6510416666666666
0,1.2507631100807044e-06,gblinear,0.12451436258901234,1.0,362.77663791663645,0.0002487227155112282,32,61,uniform,0.7093088277255076,0.76953125
0,0.004902532775973952,gblinear,0.1812049989827076,0.17550224274990864,0.15802725482557758,0.0004208366684259424,83,24,uniform,0.5997336253523972,0.7747395833333334
0,1e-06,gblinear,0.0,0.7892073273399317,1.2159599005418973e-05,4.305044456865722e-06,41,23,uniform,0.18861481046174156,0.76953125
0,0.006204197465720226,gblinear,0.838612133726531,0.9357022784694953,0.167810082972133,4.185267606214486e-06,87,37,uniform,0.5656053163908366,0.7760416666666666
0,1e-06,gblinear,0.887942310301606,1.0,1000.0,1e-06,1,100,uniform,1.0,0.76953125
0,0.0006430227214038744,gblinear,0.8460157538925094,1.0,1.2272655995450207e-06,0.00022749927215227745,11,53,uniform,0.4867795633110151,0.7721354166666666
0,1e-06,gblinear,0.5764359694469026,1.0,1e-06,0.0006776602077536635,30,100,uniform,0.0,0.7682291666666666
0,0.00493657138541395,gblinear,0.0,1.0,3.572231432466502e-06,1e-06,2,100,uniform,0.22845348356677325,0.7747395833333334
0,0.005753537761004686,gblinear,0.8842985218472952,0.4099442844375876,5.731866056791314,7.064863925089608e-06,1,100,uniform,0.3003106581469872,0.7747395833333334
0,1.7761566034950269e-06,gblinear,0.9603707094088755,0.10638788286132822,0.00046130958388782136,0.004553653716979422,77,43,uniform,0.9084545219638273,0.7721354166666666
0,1.1308150041551045e-06,gblinear,0.05692328336749543,0.18356490834772465,3.387665985084153e-05,2.7165293094513857e-05,98,51,uniform,0.9945839715436288,0.76953125
0,3.5122148330707013e-06,gblinear,0.9931780313951728,0.5685599167434984,7.927618301652215e-05,0.0025148286981538643,86,5,uniform,0.5298584016097543,0.7708333333333334
0,4.224177038945022e-05,gblinear,0.29145928863192044,0.1525556594776697,232.44464954751535,0.0035084523349760994,44,1,uniform,0.6124687142803906,0.7721354166666666
