,model__alpha,model__booster,model__colsample_bytree,model__eta,model__gamma,model__lambda,model__max_depth,model__min_child_weight,model__sampling_method,model__subsample,Score
0,0.028334362995851323,dart,0.5133074382452588,0.15685865854892064,0.000129207933102563,1e-06,61,1,uniform,0.9088632064320938,0.9963562121168689
0,1.596299181657233e-06,gbtree,0.7345042806277948,0.1680699789973713,4.89826986215948e-06,1e-06,100,1,uniform,0.7696329647675338,0.9970840141547145
0,1e-06,gbtree,0.7542290451852502,1.0,1e-06,10.856866799224658,35,1,uniform,1.0,0.9978134087571945
0,1e-06,gbtree,0.0,0.8464166618535094,1.971960028536816e-05,1e-06,13,5,uniform,1.0,0.9868804525431664
0,1.695238158344809e-05,gblinear,0.6351448242684997,1.0,1e-06,0.004576841697289228,1,100,uniform,0.6246778749035345,0.9788634821744241
0,0.00019871540397007443,gblinear,1.0,0.3964116477148067,0.07826265894543659,1e-06,100,93,uniform,1.0,0.9861510579406865
0,0.004319892866910021,dart,0.6663548872335009,0.12400411078703365,0.07988880672492009,0.025881907512610058,30,1,uniform,0.6110673385531329,0.9956268175143888
0,1e-06,gblinear,0.0982154987257858,1.0,5.64398430073074,1e-06,1,100,uniform,1.0,0.9890686363506064
0,1.797441115505713e-05,gbtree,0.052005378337370144,0.34412800863282766,0.004097743137891928,5.307365298499389e-05,27,16,uniform,0.8376537841587524,0.9613739373612478
0,1.29891497555777e-06,gblinear,0.9371094509624439,1.0,1000.0,4.407621330381308e-05,1,8,uniform,1.0,0.989796438388452
0,1e-06,dart,0.8350193819214927,0.16897895036015748,1e-06,1e-06,8,1,uniform,1.0,0.9963562121168689
0,0.03552471297880322,gbtree,1.0,1.0,2.221815850136333e-05,7.603676763200248,17,1,uniform,0.6704878930601441,0.9963593972461373
0,1.421087345629215,dart,0.704016410453601,1.0,0.003240620381646876,384.02782193129775,5,29,uniform,0.3051586593621546,0.8593335435518651
0,1e-06,dart,0.5477555403670444,0.14800290621644907,0.0015066458994581952,10.508486682323575,70,53,uniform,0.7373924881299965,0.8717348443586582
0,1.035714882048927e-05,gblinear,0.0,1.0,1e-06,1e-06,1,56,uniform,0.5819644556924934,0.9890686363506064
0,2.9218815236904914e-05,gblinear,1.0,0.24412705626283154,2.2022952394645356,0.01039758583238413,15,100,uniform,0.9295775937807325,0.973760905086333
0,0.13703532623846018,dart,0.9454409460301691,0.3558923905802172,0.0007003458544579082,0.00021430795463955974,56,1,uniform,0.26318007189405185,0.9956284100790231
0,0.7672674390897897,dart,0.5956334678005064,0.49930289776219544,0.01844481747246505,5.105000141871721e-06,74,1,uniform,0.25746623171605254,0.9978134087571945
0,0.2187351578415328,dart,0.9029357137090799,1.0,0.004332938253546578,1e-06,100,1,uniform,1.0,0.9912520424641434
