,model__alpha,model__booster,model__colsample_bytree,model__eta,model__gamma,model__lambda,model__max_depth,model__min_child_weight,model__sampling_method,model__subsample,Score
0,2.519676267739766,gbtree,0.5611956158427381,0.1707879542039844,5.2241609352375124e-06,3.2774895218172855e-06,28,1,uniform,0.534479263188113,0.9079948211684737
0,1.0668535606613352e-06,gbtree,0.7025601460445317,0.10285744816002158,0.0005305152299158258,7.422975777906573e-06,100,8,uniform,0.8767516104941482,0.9089928251604897
0,4.680175284057207e-05,gblinear,0.5430548961848072,0.04036153802026385,2.365775764613922,0.0008696204627522651,46,89,uniform,0.14157062121935174,0.8370046693399987
0,4.300061456837918e-06,gbtree,1.0,0.07847180566005718,1e-06,1.8705750436931479,21,6,uniform,0.8803349708754147,0.906999814185443
0,0.0015064849459249718,gblinear,0.0,0.03502543965809169,9.961497825231971,0.0020726452212237287,47,100,uniform,1.0,0.8360066653479827
0,0.00027263791074324156,gblinear,0.232698887216583,0.7922876604860509,0.014463022099446896,0.0035716415469926608,89,9,uniform,0.7800653237487837,0.8300036563509616
0,0.004329867173391551,gbtree,1.0,0.10556063389105123,1e-06,6.2377499303129915e-06,100,1,uniform,0.6658342459135229,0.8910047772323222
0,0.0011245911614054108,gblinear,1.0,0.03946798634262361,3.2718875975880585e-05,5.7658624660556566e-05,69,1,uniform,0.8854087692496416,0.8370046693399987
0,0.004715941659006026,gbtree,0.28573834939865567,0.5582926850865136,0.0004477109959895363,0.24296244343790005,76,11,uniform,0.5121198470368499,0.9010087932243621
0,0.000868450542007452,gbtree,0.5254653779282119,0.43517010403043455,0.0017771902804812254,0.0041404358644428416,1,10,uniform,0.41984835584464253,0.9050068032103961
0,2.08625153472598e-06,dart,0.5260823731869209,0.35631487562219666,0.03484385689232098,0.0007283466769649597,1,26,uniform,1.0,0.8970137802473132
0,9.494311657072855,gbtree,0.6477229587678734,0.7037573185946175,1e-06,0.005916963273601507,8,15,uniform,0.8037645599054477,0.8960067852283421
0,0.031438621352951224,gblinear,0.001777993548209028,0.021041658797769872,11.650225957189472,1.1850804881841185e-05,36,89,uniform,0.9975714056886905,0.8310016603429777
0,8.096689221030281e-05,gblinear,0.6479426907811789,0.0342617976520254,791.8211591940984,1.398556897479631e-05,57,62,uniform,0.1311986993360212,0.8370046693399987
0,3.4164296754230474e-06,gblinear,0.8819516696818687,0.026503286699448767,0.0005347373661434196,2.2867398698288536e-05,35,64,uniform,0.5012793143338586,0.8330066593539648
