Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2013-12-31,NorfolkIsland,16.1,23.7,0.0,6.2,4.5,ESE,26.0,NE,NNE,13.0,9.0,67.0,66.0,1013.0,1012.4,7.0,7.0,22.5,23.4,No,No
2015-11-16,GoldCoast,18.3,26.3,0.0,,,SSE,61.0,SSE,SSE,28.0,48.0,57.0,73.0,1016.1,1014.5,,,24.9,23.1,No,Yes
2014-01-22,Richmond,19.3,21.8,1.4,1.4,,S,30.0,S,SSW,9.0,7.0,100.0,75.0,1017.8,1020.0,,,20.1,21.1,Yes,Yes
2009-04-04,Mildura,8.3,21.7,0.0,6.4,10.8,SSW,35.0,SSW,S,9.0,19.0,72.0,32.0,1025.3,1023.3,0.0,0.0,10.7,19.8,No,No
2009-01-25,MountGinini,7.0,21.3,0.2,,,,,W,WSW,13.0,9.0,63.0,64.0,,,,,14.5,20.0,No,No
2009-11-18,Penrith,17.2,32.4,0.0,,,ENE,33.0,N,NE,11.0,15.0,53.0,32.0,,,,,22.2,30.5,No,No
2016-02-03,Sale,18.0,22.4,0.0,,,SSW,50.0,SW,SW,11.0,13.0,81.0,83.0,1006.2,1008.6,8.0,8.0,19.7,20.2,No,Yes
2013-06-01,Cobar,16.1,16.9,0.0,5.2,,N,43.0,NNE,N,20.0,15.0,67.0,90.0,1018.6,1014.8,8.0,8.0,16.8,15.8,No,Yes
2009-01-22,Richmond,21.2,32.6,1.6,7.6,,NW,48.0,ENE,NNW,13.0,22.0,65.0,48.0,1008.9,1005.7,,,26.0,30.9,Yes,No
2013-01-29,PearceRAAF,17.8,35.5,0.0,,13.0,SSW,44.0,E,SSW,17.0,31.0,28.0,19.0,1021.0,1016.9,0.0,0.0,26.0,32.8,No,No
2014-10-22,NorfolkIsland,13.9,19.1,3.2,4.6,9.2,S,33.0,S,SW,19.0,19.0,57.0,58.0,1020.2,1018.3,7.0,2.0,17.1,17.8,Yes,No
2014-09-30,Sydney,16.6,33.5,0.0,8.0,6.8,NW,52.0,SE,NW,2.0,26.0,42.0,16.0,1013.7,1007.2,4.0,5.0,23.7,32.7,No,No
2013-10-12,MountGinini,1.5,16.7,0.2,,,SW,50.0,WSW,WNW,11.0,17.0,34.0,30.0,,,,,9.2,16.0,No,No
2017-02-27,Hobart,12.0,26.6,0.0,6.6,12.4,NNW,33.0,NNW,ESE,22.0,11.0,69.0,29.0,1026.3,1023.2,1.0,1.0,15.1,25.5,No,No
2010-05-16,WaggaWagga,4.0,18.4,0.0,1.2,7.5,ENE,20.0,E,NNE,11.0,4.0,80.0,45.0,1021.5,1018.9,3.0,5.0,8.9,17.0,No,No
2011-01-27,Melbourne,14.9,25.7,0.2,1.8,13.6,SW,39.0,WSW,SW,6.0,20.0,69.0,43.0,1017.1,1017.1,1.0,3.0,19.7,24.6,No,No
2017-02-25,MountGinini,9.5,11.2,0.0,,,ESE,35.0,ENE,ESE,11.0,9.0,97.0,97.0,,,,,9.9,9.6,No,No
2014-01-06,MelbourneAirport,11.1,19.9,0.4,11.2,5.3,SW,57.0,SW,SW,33.0,37.0,51.0,30.0,1015.4,1017.7,7.0,6.0,14.7,18.3,No,No
2013-05-23,Uluru,9.9,18.5,0.0,,,SE,39.0,SSE,SE,24.0,19.0,69.0,47.0,1023.5,1020.8,,,12.8,17.6,No,No
2011-07-10,Witchcliffe,3.0,14.9,0.0,,,E,26.0,SE,E,9.0,15.0,99.0,61.0,,,,,6.9,13.9,No,No
2016-12-05,SalmonGums,5.1,27.5,0.0,,,SSE,46.0,ESE,SE,11.0,13.0,51.0,28.0,,,,,18.1,25.9,No,No
2011-06-21,Wollongong,11.9,20.6,0.0,,,W,100.0,N,WSW,33.0,39.0,58.0,51.0,1003.3,1002.8,,,14.6,12.4,No,No
2015-06-16,Ballarat,9.1,11.7,6.4,,,NE,31.0,N,N,15.0,17.0,100.0,98.0,1018.1,1015.4,8.0,8.0,9.9,11.3,Yes,No
2013-12-16,Penrith,18.4,28.4,1.4,,,ENE,26.0,N,ESE,6.0,13.0,86.0,55.0,,,,,21.2,27.3,Yes,No
2013-07-12,Katherine,17.0,32.2,0.0,6.2,,ENE,43.0,SE,E,9.0,20.0,82.0,,1015.8,1011.9,1.0,6.0,22.8,30.9,No,No
2010-08-12,Albany,11.5,16.8,5.2,2.4,2.6,,,NW,,2.0,0.0,77.0,84.0,1007.4,1002.8,8.0,8.0,13.5,13.4,Yes,Yes
2010-09-27,Townsville,23.1,29.0,0.0,7.0,11.2,ENE,33.0,E,ENE,17.0,24.0,76.0,71.0,1016.8,1013.3,3.0,2.0,27.3,27.8,No,No
2010-06-24,MelbourneAirport,7.4,16.0,0.0,1.4,7.2,NNE,61.0,N,N,28.0,39.0,69.0,65.0,1026.5,1020.9,2.0,7.0,12.5,15.3,No,Yes
2014-09-06,Tuggeranong,1.4,14.4,0.4,,,ESE,22.0,S,SSE,11.0,11.0,71.0,52.0,1031.1,1028.8,,,9.2,14.4,No,No
2016-04-24,Adelaide,10.3,25.3,0.0,,,E,26.0,N,NE,9.0,9.0,52.0,21.0,1029.3,1025.4,,,17.7,24.7,No,No
2017-05-11,Canberra,-1.7,18.8,0.0,,,WNW,20.0,,WNW,0.0,9.0,76.0,37.0,1026.2,1023.7,,,6.8,17.3,No,No
2013-11-16,Sydney,15.7,21.7,23.0,,5.6,SSE,50.0,SSE,SSE,19.0,33.0,74.0,75.0,1016.0,1014.5,7.0,7.0,18.0,18.8,Yes,Yes
2012-05-17,Woomera,5.9,22.3,0.0,3.8,10.3,N,37.0,NNE,N,17.0,17.0,45.0,19.0,1023.2,1019.6,0.0,0.0,13.4,21.1,No,No
2010-01-03,Mildura,12.5,27.2,0.0,10.8,13.5,S,41.0,S,SSE,20.0,20.0,48.0,21.0,,1017.7,1.0,1.0,16.5,24.5,No,No
2008-08-29,Adelaide,7.7,17.6,0.0,2.8,0.5,N,31.0,NE,NNE,11.0,15.0,44.0,34.0,1020.6,1015.8,,,13.7,17.3,No,
2017-01-14,MountGinini,9.6,17.7,8.2,,,WSW,91.0,W,W,20.0,31.0,99.0,47.0,,,,,11.4,16.6,Yes,No
2012-07-02,NorfolkIsland,15.9,19.3,0.4,2.0,5.5,W,43.0,W,WNW,24.0,20.0,89.0,76.0,1012.5,1009.9,7.0,5.0,16.5,18.2,No,Yes
2015-11-16,PerthAirport,12.9,32.5,0.0,10.8,13.1,ENE,30.0,NE,W,11.0,13.0,37.0,17.0,1012.3,1009.1,0.0,0.0,25.9,31.3,No,No
2012-06-15,Melbourne,11.3,16.6,0.4,1.6,6.6,N,44.0,N,NW,19.0,19.0,68.0,45.0,1012.0,1010.6,7.0,5.0,12.0,15.7,No,
2011-12-17,Brisbane,17.3,27.1,0.0,6.6,10.9,ENE,35.0,SE,ESE,11.0,19.0,52.0,50.0,1019.8,1017.6,5.0,4.0,24.2,24.9,No,No
2014-03-30,PearceRAAF,14.4,22.9,,,4.5,WSW,35.0,NNW,W,7.0,20.0,74.0,49.0,1013.7,1012.9,7.0,7.0,17.7,22.4,,Yes
2015-03-26,Brisbane,23.4,30.7,3.8,6.0,8.3,E,24.0,N,NE,6.0,9.0,72.0,64.0,1018.1,1015.0,6.0,4.0,28.2,28.9,Yes,No
2011-05-21,Canberra,-4.0,19.2,0.0,1.4,,,,NNW,NW,4.0,19.0,85.0,43.0,1026.8,1022.8,3.0,,3.2,18.4,No,No
2014-02-25,MountGinini,10.1,21.4,0.0,,,NNW,33.0,NW,NW,11.0,11.0,64.0,37.0,,,,,14.5,19.2,No,No
2014-03-23,Bendigo,7.5,20.4,0.0,4.6,,SW,35.0,SSW,SW,11.0,7.0,72.0,41.0,1018.1,1017.3,,2.0,12.4,19.2,No,No
2015-09-04,Cairns,16.7,29.7,0.0,6.4,10.6,ESE,41.0,SSE,E,17.0,24.0,63.0,31.0,1018.7,1015.4,1.0,1.0,25.9,28.3,No,No
2014-12-25,SalmonGums,7.3,24.6,0.6,,,SSE,37.0,SSE,S,19.0,22.0,74.0,27.0,,,,,16.9,23.3,No,No
2014-09-20,Albury,2.9,18.9,0.0,,,SSE,26.0,SSE,SSE,7.0,9.0,67.0,47.0,1025.6,1023.6,,,11.5,18.1,No,No
2009-05-28,Ballarat,5.9,11.3,0.8,,,S,41.0,SSW,S,17.0,22.0,93.0,67.0,1025.7,1025.0,6.0,8.0,7.4,10.0,No,No
