datetime,symbol,open,high,low,close,volume
2022-01-03 15:30:00,NASDAQ:MSFT,335.29,337.77,,332.51,315634.0
2022-01-03 16:30:00,NASDAQ:MSFT,332.55,332.55,331.11,331.97,
2022-01-03 17:30:00,NASDAQ:MSFT,331.99,332.95,331.36,332.63,118013.0
2022-01-03 18:30:00,NASDAQ:MSFT,332.63,332.91,331.8,332.33,96218.0
2022-01-03 19:30:00,NASDAQ:MSFT,332.37,334.04,332.17,333.78,100290.0
2022-01-03 20:30:00,NASDAQ:MSFT,333.73,334.29,333.38,,120883.0
2022-01-03 21:30:00,NASDAQ:MSFT,333.62,334.76,333.2,334.72,219384.0
2022-01-04 15:30:00,NASDAQ:MSFT,334.73,334.75,332.46,334.0,203807.0
2022-01-04 16:30:00,NASDAQ:MSFT,333.96,334.34,327.595,,254231.0
2022-01-04 17:30:00,NASDAQ:MSFT,328.34,329.42,326.59,327.81,174176.0
,NASDAQ:MSFT,327.74,328.41,327.14,,90439.0
2022-01-04 19:30:00,NASDAQ:MSFT,327.655,327.68,326.15,326.45,
2022-01-04 20:30:00,NASDAQ:MSFT,,329.68,326.54,329.68,168167.0
2022-01-04 21:30:00,NASDAQ:MSFT,329.69,330.3,328.96,,261773.0
2022-01-05 15:30:00,NASDAQ:MSFT,325.72,325.98,320.92,323.22,423577.0
2022-01-05 16:30:00,NASDAQ:MSFT,323.2,323.2,321.6,322.97,175083.0
2022-01-05 17:30:00,NASDAQ:MSFT,322.99,323.21,321.61,321.66,132445.0
2022-01-05 18:30:00,NASDAQ:MSFT,321.67,321.68,320.15,321.39,205569.0
2022-01-05 19:30:00,NASDAQ:MSFT,321.36,324.0,319.55,320.04,200357.0
2022-01-05 20:30:00,NASDAQ:MSFT,320.07,320.41,317.73,317.93,242965.0
2022-01-05 21:30:00,NASDAQ:MSFT,317.85,319.25,,316.22,402450.0
2022-01-06 15:30:00,NASDAQ:MSFT,313.15,318.61,311.57,317.42,466228.0
2022-01-06 16:30:00,NASDAQ:MSFT,317.43,318.67,315.09,315.64,235733.0
2022-01-06 17:30:00,NASDAQ:MSFT,315.55,316.79,,315.96,152655.0
2022-01-06 18:30:00,NASDAQ:MSFT,315.98,317.74,314.84,314.84,153316.0
2022-01-06 19:30:00,NASDAQ:MSFT,314.88,316.21,314.4,314.78,124932.0
2022-01-06 20:30:00,NASDAQ:MSFT,314.85,316.21,,315.12,144806.0
2022-01-06 21:30:00,NASDAQ:MSFT,315.13,315.35,313.06,313.85,314195.0
2022-01-07 15:30:00,NASDAQ:MSFT,313.91,316.47,,312.84,282809.0
2022-01-07 16:30:00,NASDAQ:MSFT,312.82,313.5,310.1,312.58,191671.0
,NASDAQ:MSFT,312.57,314.39,312.16,313.13,98555.0
2022-01-07 18:30:00,NASDAQ:MSFT,313.08,314.5,312.33,313.9,60832.0
2022-01-07 19:30:00,NASDAQ:MSFT,313.9,314.5,313.34,313.87,82528.0
2022-01-07 20:30:00,NASDAQ:MSFT,313.75,315.67,313.75,314.76,137713.0
2022-01-07 21:30:00,NASDAQ:MSFT,314.74,315.37,313.91,314.0,194065.0
2022-01-10 15:30:00,NASDAQ:MSFT,309.34,310.0,305.24,306.3,397862.0
