f1,accuracy,brier_score,roc_auc,model__iterations,model__learning_rate,model__depth,model__l2_leaf_reg,model__colsample_bylevel
0.667429239135079,0.7277602523659306,0.21025014961785898,0.8335276232177693,56,0.01,1,9.0,0.325
0.808392575702509,0.8179284963196635,0.14958859729121593,0.8683731116541241,9,0.1325,3,3.0,1.0
0.6622887096112643,0.7245005257623555,0.23150489428713153,0.8201440579086268,21,0.01,1,3.0,0.325
0.7979621231684682,0.8063091482649842,0.14566667125342378,0.8491104414624417,9,0.5,1,7.0,1.0
0.7268549404139667,0.7634595162986331,0.1619622589949192,0.8760212434546137,21,0.1325,16,9.0,0.1
0.8692952776795659,0.872397476340694,0.09463704656608579,0.9295193307138854,90,0.1325,13,11.0,0.55
0.6278926704791936,0.7053627760252366,0.21169525105611445,0.7990190189641606,6,0.1325,11,3.0,0.1
0.8377175953858103,0.8450052576235542,0.21795955882614526,0.9041572199257543,18,0.01,11,11.0,1.0
0.8448079011484483,0.8507360672975814,0.22968921775267365,0.9073415484009393,11,0.01,16,3.0,0.775
0.8440651434315498,0.8495793901156677,0.11682446155145698,0.9029484440740004,4,0.5,9,11.0,1.0
0.6660784389331375,0.7263932702418506,0.241395762994362,0.7992410036342995,8,0.01,1,7.0,0.55
0.7817146580933158,0.7992639327024185,0.18608611463971644,0.8539358936256396,4,0.1325,3,13.0,0.55
0.8588355487500722,0.8631966351209254,0.10409571491436143,0.9156311726736526,25,0.255,5,11.0,0.55
0.8211595702407529,0.828286014721346,0.13314852183831768,0.876126819089714,8,0.255,3,5.0,1.0
0.864528542123141,0.8680336487907466,0.09913174094783356,0.9215469789569906,77,0.1325,5,15.0,0.775
0.7689499880500734,0.7911146161934806,0.14957651550578743,0.8626954098005423,11,0.5,7,11.0,0.1
0.8391627036302087,0.846161934805468,0.23356125209948134,0.9021503128845949,9,0.01,11,13.0,0.55
0.8407159968765722,0.8471608832807571,0.17102164322200658,0.8999324970667978,4,0.1325,11,7.0,0.775
0.8553209736073006,0.8593585699263933,0.10652190245846116,0.9115578931072854,18,0.3775,5,9.0,0.325
0.8575404820959519,0.8614090431125131,0.10371304608342154,0.9163745851905107,9,0.5,9,13.0,1.0
0.8606090287527193,0.8647739221871714,0.10210371748896635,0.9182403852272146,18,0.255,7,5.0,1.0
0.6576735462472051,0.7219768664563617,0.2255337846985951,0.8248199400420114,29,0.01,1,3.0,0.325
0.8687637416233117,0.8719768664563617,0.09481790010444276,0.9296600133546055,56,0.1325,13,3.0,0.775
0.8621749295229209,0.8658254468980021,0.10015258752896086,0.9233075489119215,18,0.5,16,9.0,1.0
0.5100599978159196,0.6483701366982124,0.24913543561594642,0.4922514576773074,2,0.01,9,11.0,0.1
0.7719383973094495,0.7930599369085174,0.1481393003683824,0.8670410278254574,13,0.3775,5,15.0,0.1
0.8737860293517083,0.8763932702418507,0.09193918293355192,0.9305439387666894,77,0.255,5,3.0,0.55
0.8791775720862934,0.8809674027339642,0.08689296438224131,0.9369363358369016,124,0.5,7,5.0,0.55
0.8275957754757973,0.832912723449001,0.12955338517395765,0.8801401178732111,90,0.1325,1,11.0,0.775
0.8152124356503476,0.8229232386961094,0.24623215639020749,0.8799180786420205,2,0.01,11,9.0,0.325
0.7786175129537599,0.7947423764458464,0.19387270416415486,0.835994188932749,3,0.1325,3,3.0,0.775
0.8337600524697256,0.8411146161934806,0.1386582551213881,0.8958460016012335,124,0.01,5,5.0,0.775
0.8575496020184633,0.8620925341745531,0.10374178570077376,0.919186134373249,40,0.1325,9,13.0,0.325
0.8612569428058493,0.8652996845425868,0.10049662207724279,0.9226980049666561,40,0.1325,9,13.0,0.55
0.8664045560723816,0.8694006309148264,0.09579474934303654,0.9265575992050865,25,0.5,16,3.0,0.325
0.8385353317772318,0.8452681388012618,0.22967240934266006,0.9047443635281145,9,0.01,11,1.0,1.0
0.8325416196695521,0.8411146161934806,0.12618140873185704,0.8946469133673316,40,0.1325,7,1.0,0.1
0.7253048181685365,0.7631966351209254,0.16010163283949275,0.8859163691108984,200,0.01,7,3.0,0.1
0.8287812036835361,0.8363301787592008,0.22154699435617484,0.8907932965952352,15,0.01,7,9.0,0.775
0.8404559114690483,0.8455310199789695,0.11727693985816386,0.8971050039322757,8,0.5,5,15.0,0.325
0.8618551722680811,0.8648790746582544,0.09934156833454737,0.9202130218655475,105,0.3775,13,7.0,0.1
0.8452879520883371,0.8508937960042061,0.1206121119635036,0.905941329943338,5,0.3775,11,13.0,0.775
0.7874128112497023,0.8024710830704521,0.2115054253311986,0.85914794115205,25,0.01,3,1.0,0.775
0.8650143950464295,0.8681913774973712,0.1001126493751074,0.9189616883934433,77,0.255,3,7.0,0.325
0.8544581078982053,0.8590956887486856,0.10993089089688853,0.9125155305002584,8,0.5,16,5.0,0.775
0.6308551835017605,0.7070452155625657,0.1923826352306293,0.7959947908017729,7,0.255,16,7.0,0.1
0.8618901501429296,0.8650893796004206,0.10162723378017252,0.9156861884008151,25,0.5,3,1.0,1.0
0.8070060200449564,0.8206624605678233,0.15957904341623727,0.8801054473560053,124,0.01,3,7.0,0.325
0.8622943309676124,0.8661409043112513,0.10079507465982829,0.9223163928461683,21,0.3775,16,7.0,0.775
