f1,accuracy,brier_score,roc_auc,model__iterations,model__learning_rate,model__depth,model__l2_leaf_reg,model__colsample_bylevel
0.5762329631570694,0.5771556256572029,0.2480621495620287,0.6046663758664574,56,0.01,1,9.0,0.325
0.583074477686678,0.5832018927444795,0.24184452636003473,0.6199719482840023,9,0.1325,3,3.0,1.0
0.5667477184099935,0.5700578338590957,0.24925143936878866,0.599228937163935,21,0.01,1,3.0,0.325
0.5755623881132376,0.5758412197686645,0.24242513461597326,0.602727177988525,9,0.5,1,7.0,1.0
0.5948355943056013,0.594900105152471,0.2400555595659584,0.621175783750792,21,0.1325,16,9.0,0.1
0.6240609765781387,0.6240799158780231,0.23006534259604344,0.6638860278792262,90,0.1325,13,11.0,0.55
0.5729880240831131,0.5734752891692955,0.24520713947080575,0.5837754768073012,6,0.1325,11,3.0,0.1
0.6023666563270916,0.6023922187171399,0.24692905102930493,0.6307678369440105,18,0.01,11,11.0,1.0
0.5696599136368677,0.5696635120925342,0.24828318423419188,0.6072631913277406,11,0.01,16,3.0,0.775
0.5738653703261418,0.573869610935857,0.24035829173528822,0.6121649163368904,4,0.5,9,11.0,1.0
0.5577733065057009,0.562565720294427,0.24961912250535348,0.5860217494783841,8,0.01,1,7.0,0.55
0.5759571584767732,0.5759726603575184,0.24573925377599037,0.6105173133930635,4,0.1325,3,13.0,0.55
0.6009401672721528,0.6009463722397477,0.23397717704743384,0.6422286684778102,25,0.255,5,11.0,0.55
0.5879981211251989,0.5881966351209253,0.2396178795935823,0.6222976243392035,8,0.255,3,5.0,1.0
0.6109280865330345,0.6109358569926393,0.23023648467810573,0.6594601703226777,77,0.1325,5,15.0,0.775
0.5816621180912614,0.5817560462670873,0.23954868363884727,0.6162004603046658,11,0.5,7,11.0,0.1
0.5853048776853392,0.5853049421661409,0.24844108295995304,0.6236612686186769,9,0.01,11,13.0,0.55
0.5797843720950966,0.5797844374342797,0.2430041556997452,0.6041426867064499,4,0.1325,11,7.0,0.775
0.5949942580158195,0.5950315457413249,0.2358087200314923,0.633980909740259,18,0.3775,5,9.0,0.325
0.5845264313183755,0.5846477392218717,0.24206524947880706,0.6149139043411054,9,0.5,9,13.0,1.0
0.6068554864881587,0.6068611987381703,0.2321895003298783,0.6499112395939413,18,0.255,7,5.0,1.0
0.5736111222173454,0.5753154574132492,0.24897837613638588,0.6052893019799845,29,0.01,1,3.0,0.325
0.6129982282682954,0.6130389064143007,0.23719781027851827,0.6438682896193171,56,0.1325,13,3.0,0.775
0.5737379862377429,0.5737381703470031,0.2480649922920829,0.6065138002943384,18,0.5,16,9.0,1.0
0.5436793960539189,0.544689800210305,0.24995656556826512,0.5389623214702328,2,0.01,9,11.0,0.1
0.5750516878929781,0.5750525762355415,0.2393806125853664,0.6177165535531253,13,0.3775,5,15.0,0.1
0.6226231096163246,0.6226340694006309,0.22796337493991317,0.6677024350923981,77,0.255,5,3.0,0.55
0.6135422083924372,0.613564668769716,0.25001533507122525,0.6662944589844548,124,0.5,7,5.0,0.55
0.5837652452660818,0.5839905362776026,0.2390472518826258,0.6226950904521336,90,0.1325,1,11.0,0.775
0.5628703152386108,0.5629600420609885,0.2495560420680671,0.5961478923619059,2,0.01,11,9.0,0.325
0.5804787914011531,0.581230283911672,0.24587919839257208,0.6014560327774958,3,0.1325,3,3.0,0.775
0.5918766261100351,0.5918769716088328,0.23921248211567397,0.6384835791866661,124,0.01,5,5.0,0.775
0.6081736482590471,0.6081756046267087,0.2308974398154196,0.6589299851503925,40,0.1325,9,13.0,0.325
0.6118551297086189,0.6118559411146162,0.23064442519665548,0.6570694995914423,40,0.1325,9,13.0,0.55
0.5759528505695333,0.5759726603575184,0.27098915614696334,0.5924307221022533,25,0.5,16,3.0,0.325
0.5844668424196899,0.5845162986330179,0.24721866471890555,0.6276419074614027,9,0.01,11,1.0,1.0
0.5943294876374129,0.5943743427970557,0.23514739534761414,0.6405524208840989,40,0.1325,7,1.0,0.1
0.5940378158404878,0.5942429022082019,0.24065044355642062,0.6383615370836611,200,0.01,7,3.0,0.1
0.5867050904510777,0.5867507886435331,0.24699049380371815,0.6293453830214695,15,0.01,7,9.0,0.775
0.5856936522043203,0.5856992639327024,0.2386471923735691,0.6202054246401763,8,0.5,5,15.0,0.325
0.5902976389209829,0.5902996845425867,0.24739486525471308,0.6413676704249553,105,0.3775,13,7.0,0.1
0.5649311698363556,0.564931650893796,0.2398841876337455,0.6141208379911123,5,0.3775,11,13.0,0.775
0.5817559306535295,0.5817560462670873,0.24698004673647447,0.6161867772149743,25,0.01,3,1.0,0.775
0.6069756639885124,0.6069926393270242,0.23130909907866692,0.6551158584521688,77,0.255,3,7.0,0.325
