f1,accuracy,brier_score,roc_auc,model__iterations,model__learning_rate,model__depth,model__l2_leaf_reg,model__colsample_bylevel
0.6005496433779259,0.7052001953125,0.20915098801851056,0.8349126829473053,56,0.01,1,9.0,0.325
0.7795059967423662,0.7930908203125,0.1468398977730342,0.859525281810672,9,0.1325,3,3.0,1.0
0.56480934361902,0.6903076171875,0.231306570149707,0.8309844614914148,21,0.01,1,3.0,0.325
0.7728230607247359,0.7899169921875,0.14552321964443038,0.8499822873100638,9,0.5,1,7.0,1.0
0.7405024359164726,0.7698974609375,0.16033937913487453,0.8460526040090615,21,0.1325,16,9.0,0.1
0.8011754285944988,0.80859375,0.1328457956612126,0.8758012216430762,90,0.1325,13,11.0,0.55
0.7674653440103241,0.7835693359375,0.16126008104727843,0.8451333122688415,6,0.1325,11,3.0,0.1
0.7870324517562306,0.7972412109375,0.2098828856608713,0.8659987148293119,18,0.01,11,11.0,1.0
0.7573579207985306,0.7698974609375,0.2343548635587468,0.8392932758535836,11,0.01,16,3.0,0.775
0.7922471002239915,0.799072265625,0.13414778940461652,0.869239242577673,4,0.5,9,11.0,1.0
0.6526780995817275,0.7227783203125,0.24125020995232827,0.7325312467652325,8,0.01,1,7.0,0.55
0.7572313110467066,0.7750244140625,0.18150764716692203,0.8322370887229301,4,0.1325,3,13.0,0.55
0.8096650225624418,0.81591796875,0.1269075798256276,0.8836637903819919,25,0.255,5,11.0,0.55
0.7848240804784341,0.7969970703125,0.13679094043026796,0.8696140666254704,8,0.255,3,5.0,1.0
0.8150052646259378,0.8203125,0.12374387013954513,0.8892141378242886,77,0.1325,5,15.0,0.775
0.7924806985223549,0.8016357421875,0.1341794714049654,0.8691501048316974,11,0.5,7,11.0,0.1
0.7838564987783339,0.7952880859375,0.2295852192087628,0.8552569377254678,9,0.01,11,13.0,0.55
0.7741435608993534,0.784423828125,0.1666279367283261,0.8493746818311517,4,0.1325,11,7.0,0.775
0.8041127711461804,0.8101806640625,0.12842715920175463,0.8803641971299525,18,0.3775,5,9.0,0.325
0.7955455714423629,0.801025390625,0.13257562147891327,0.8712801523827345,9,0.5,9,13.0,1.0
0.801664772838773,0.8076171875,0.12804591376660734,0.8814870333990537,18,0.255,7,5.0,1.0
0.5742397690245485,0.69384765625,0.22372525216670644,0.827430681219126,29,0.01,1,3.0,0.325
0.7939115514761711,0.8023681640625,0.13738850890825596,0.8685677335838796,56,0.1325,13,3.0,0.775
0.7681125492984509,0.7786865234375,0.1551442515325962,0.8271333349622465,18,0.5,16,9.0,1.0
0.7153146796802232,0.7470703125,0.2467206908885065,0.7763464341803891,2,0.01,9,11.0,0.1
