mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__max_leaf_nodes,param_model__min_samples_leaf,param_model__min_samples_split,param_model__min_weight_fraction_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.37076525688171386,0.01490876438823885,0.01765580177307129,0.002773765697905976,gini,21,0.8578947368421053,19,41,26,0.18421052631578946,209,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 21), ('model__max_features', 0.8578947368421053), ('model__max_leaf_nodes', 19), ('model__min_samples_leaf', 41), ('model__min_samples_split', 26), ('model__min_weight_fraction_leaf', 0.18421052631578946), ('model__n_estimators', 209)])",0.778749399085377,0.774741946329772,0.7816525100018611,0.7529830788355376,0.7924224399502761,0.7761098748405647,0.012965396986575766,91
0.4704932689666748,0.010484425267534184,0.026893806457519532,0.0021986606831237215,entropy,27,0.33684210526315794,57,52,5,0.05263157894736842,277,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 27), ('model__max_features', 0.33684210526315794), ('model__max_leaf_nodes', 57), ('model__min_samples_leaf', 52), ('model__min_samples_split', 5), ('model__min_weight_fraction_leaf', 0.05263157894736842), ('model__n_estimators', 277)])",0.7864914392778342,0.7874104562246999,0.7965625061049653,0.7652639555651064,0.8108478678633598,0.7893152450071931,0.01487442949101107,78
0.6288864612579346,0.012889014574235146,0.02160191535949707,0.0003221532450057261,gini,27,,26,12,28,0.07894736842105263,209,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 27), ('model__max_features', None), ('model__max_leaf_nodes', 26), ('model__min_samples_leaf', 12), ('model__min_samples_split', 28), ('model__min_weight_fraction_leaf', 0.07894736842105263), ('model__n_estimators', 209)])",0.7870820818558708,0.7864593668932487,0.795042819584009,0.7613454675195283,0.8059135135913236,0.7871686498887961,0.014701835175813287,84
0.6803748130798339,0.017419165022266363,0.030872106552124023,0.0009889954994752885,entropy,3,1.0,48,32,7,0.39473684210526316,488,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 3), ('model__max_features', 1.0), ('model__max_leaf_nodes', 48), ('model__min_samples_leaf', 32), ('model__min_samples_split', 7), ('model__min_weight_fraction_leaf', 0.39473684210526316), ('model__n_estimators', 488)])",0.7648847065687672,0.7621428402509232,0.7634630550634454,0.7456170204890347,0.7763402905089509,0.7624895825762242,0.009831886487210392,96
0.5453607559204101,0.07782624187831857,0.024457168579101563,0.002518305174794803,entropy,13,0.7631578947368421,43,55,44,0.21052631578947367,319,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 13), ('model__max_features', 0.7631578947368421), ('model__max_leaf_nodes', 43), ('model__min_samples_leaf', 55), ('model__min_samples_split', 44), ('model__min_weight_fraction_leaf', 0.21052631578947367), ('model__n_estimators', 319)])",0.7770329403933781,0.7732263726275462,0.7814221921529475,0.7517821357662027,0.7927576346768198,0.7752442551233789,0.01343597900278711,92
0.04404439926147461,0.002001497588287648,0.004398345947265625,0.0002974034922998311,entropy,30,0.1473684210526316,12,49,23,0.23684210526315788,44,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 30), ('model__max_features', 0.1473684210526316), ('model__max_leaf_nodes', 12), ('model__min_samples_leaf', 49), ('model__min_samples_split', 23), ('model__min_weight_fraction_leaf', 0.23684210526315788), ('model__n_estimators', 44)])",0.7530256308062733,0.7439230532743691,0.7458308870630259,0.7296330645949028,0.7795102455455603,0.7503845762568263,0.016421890155712018,99
0.1738130569458008,0.009583584237658385,0.010857009887695312,0.0001771186318667978,entropy,23,0.43157894736842106,52,36,37,0.3157894736842105,158,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 23), ('model__max_features', 0.43157894736842106), ('model__max_leaf_nodes', 52), ('model__min_samples_leaf', 36), ('model__min_samples_split', 37), ('model__min_weight_fraction_leaf', 0.3157894736842105), ('model__n_estimators', 158)])",0.7631199692660419,0.7552425586256604,0.7654418349752048,0.7417627952361221,0.7806001425091691,0.7612334601224396,0.012738409745161512,97
0.017304468154907226,0.001296776342543073,0.0023437976837158204,0.0002594517644481085,entropy,27,0.7157894736842105,50,20,5,0.2894736842105263,3,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 27), ('model__max_features', 0.7157894736842105), ('model__max_leaf_nodes', 50), ('model__min_samples_leaf', 20), ('model__min_samples_split', 5), ('model__min_weight_fraction_leaf', 0.2894736842105263), ('model__n_estimators', 3)])",0.6842008759999836,0.6739568092341006,0.6769535117816834,0.6682441040172986,0.6769709912612885,0.6760652584588709,0.005165532568525403,100
0.11584663391113281,0.005144223820600038,0.005232381820678711,0.00019057418492632257,entropy,21,0.8105263157894737,25,23,14,0.0,25,"OrderedDict([('model__criterion', 'entropy'), ('model__max_depth', 21), ('model__max_features', 0.8105263157894737), ('model__max_leaf_nodes', 25), ('model__min_samples_leaf', 23), ('model__min_samples_split', 14), ('model__min_weight_fraction_leaf', 0.0), ('model__n_estimators', 25)])",0.7909469387251981,0.7936686240256474,0.8032396673140929,0.7713267644763507,0.8156053709299802,0.7949574730942539,0.01463616297914856,61
0.029522514343261717,0.0021568952947883385,0.0028419971466064455,7.421360318594485e-05,gini,25,0.5736842105263158,16,35,18,0.15789473684210525,9,"OrderedDict([('model__criterion', 'gini'), ('model__max_depth', 25), ('model__max_features', 0.5736842105263158), ('model__max_leaf_nodes', 16), ('model__min_samples_leaf', 35), ('model__min_samples_split', 18), ('model__min_weight_fraction_leaf', 0.15789473684210525), ('model__n_estimators', 9)])",0.7489060272250276,0.7510418283946948,0.762003518516424,0.7472760287444901,0.7637437549418088,0.7545942315644891,0.006886837308534406,98
