f1,accuracy,brier_score,roc_auc,model__iterations,model__learning_rate,model__depth,model__l2_leaf_reg,model__colsample_bylevel
0.713526977364851,0.7141120453854726,0.22626427939140079,0.7668367397290015,56,0.01,1,9.0,0.325
0.7193495877437907,0.7198865363185087,0.1941105115144114,0.790109013707823,9,0.1325,3,3.0,1.0
0.7132010578782828,0.7141120453854726,0.2405972123569691,0.7621310491896035,21,0.01,1,3.0,0.325
0.7211527937152202,0.7214061391956236,0.18857167156160487,0.7864307314128565,9,0.5,1,7.0,1.0
0.7293467962028997,0.7297133015905177,0.1866358583697038,0.7954402244174915,21,0.1325,16,9.0,0.1
0.7305868747537652,0.7309289838922095,0.18442035560553566,0.7969247451371276,90,0.1325,13,11.0,0.55
0.7145878794830021,0.7152264208286901,0.21600350699641688,0.7742029470010232,6,0.1325,11,3.0,0.1
0.728400520049162,0.7285989261473002,0.2289054599798775,0.7958974808133242,18,0.01,11,11.0,1.0
0.7200185590670567,0.720291763752406,0.2366944040719533,0.7897239026668904,11,0.01,16,3.0,0.775
0.7252790771609721,0.7255597203930706,0.18531055558880588,0.7921529333491235,4,0.5,9,11.0,1.0
0.70768968115625,0.7083375544524364,0.2457920686460033,0.7476675606193687,8,0.01,1,7.0,0.55
0.7168728320710775,0.7171512511397021,0.2116860292671026,0.7752017972808048,4,0.1325,3,13.0,0.55
0.7366491118787201,0.7369060885421943,0.18015034890226453,0.8038127658419603,25,0.255,5,11.0,0.55
0.7258125133448331,0.7261675615439165,0.18563327077487277,0.7957279628734123,8,0.255,3,5.0,1.0
0.7359762736957116,0.7361969405328741,0.17844546817152102,0.8073396230759868,77,0.1325,5,15.0,0.775
0.7259245935036468,0.7261675615439165,0.18436307056391113,0.7941367764082016,11,0.5,7,11.0,0.1
0.7258496962190257,0.7262688684023908,0.23871497529447075,0.7932474497264687,9,0.01,11,13.0,0.55
0.7246588110449378,0.7248505723837504,0.20306621489132018,0.79294209127364,4,0.1325,11,7.0,0.775
0.7318891046658798,0.7321446661939013,0.18062236054675226,0.8025590321296634,18,0.3775,5,9.0,0.325
0.726722207489978,0.7268767095532368,0.1843506584472364,0.7947906900624039,9,0.5,9,13.0,1.0
0.7354824747029768,0.7356904062405025,0.18049465371515203,0.8026503806083812,18,0.255,7,5.0,1.0
0.7104117989762538,0.7109715327727687,0.23626569664125766,0.7673946788842945,29,0.01,1,3.0,0.325
0.7240160160877247,0.7242427312329045,0.1869064571557661,0.7920525384309198,56,0.1325,13,3.0,0.775
0.7046949711536796,0.7047918144058353,0.19745499920966894,0.7724260412451849,18,0.5,16,9.0,1.0
0.6121943776350383,0.6120960389018336,0.2495973335395322,0.6422303626470869,2,0.01,9,11.0,0.1
0.7330926694797978,0.7332590416371189,0.18431945838085864,0.7943944354528318,13,0.3775,5,15.0,0.1
0.7306527003469803,0.7308276770337352,0.18266670633660545,0.7987218203410015,77,0.255,5,3.0,0.55
0.7111891393633974,0.711376760206666,0.20768424074479797,0.7679587038261505,124,0.5,7,5.0,0.55
0.7321062836416481,0.7322459730523756,0.18143379272704838,0.8011684915802321,90,0.1325,1,11.0,0.775
0.7102923510761799,0.7111741464897173,0.24735001378398316,0.778081546250333,2,0.01,11,9.0,0.325
0.7086767711945834,0.7090467024617566,0.21755400116384604,0.7707391270021415,3,0.1325,3,3.0,0.775
0.7258976924063848,0.7262688684023908,0.18977717836043034,0.798539493465181,124,0.01,5,5.0,0.775
0.7342695634178412,0.7344747239388106,0.1796365875067809,0.8047249142233055,40,0.1325,9,13.0,0.325
0.7341625767933608,0.7343734170803363,0.179698063468336,0.8042740725754719,40,0.1325,9,13.0,0.55
0.7012494080168318,0.7013473812177085,0.20791567899178295,0.7660156108649383,25,0.5,16,3.0,0.325
0.7252916611780718,0.7255597203930706,0.23786429598512865,0.7905560311789649,9,0.01,11,1.0,1.0
0.7334318464092099,0.7336642690710161,0.1810343598533016,0.802420950566965,40,0.1325,7,1.0,0.1
0.7311062632367364,0.7315368250430554,0.18893402437110354,0.8009308786230989,200,0.01,7,3.0,0.1
0.7216255851118992,0.7221152872049438,0.2327483174547082,0.7914818108998082,15,0.01,7,9.0,0.775
0.7300819445912047,0.7304224495998379,0.18363251610589645,0.7960346371719842,8,0.5,5,15.0,0.325
0.715387622748569,0.7156316482625874,0.19722962763443463,0.7794191856888617,105,0.3775,13,7.0,0.1
0.7265756635209369,0.7267754026947625,0.18616989825815633,0.7909922957231723,5,0.3775,11,13.0,0.775
0.7144442505382419,0.7149225002532672,0.22760198173521418,0.7869131739186216,25,0.01,3,1.0,0.775
0.7342806133067764,0.7344747239388106,0.17940117878826442,0.8053136318329402,77,0.255,3,7.0,0.325
0.6957967604907886,0.6958768108600952,0.19836071622430856,0.7671275827584733,8,0.5,16,5.0,0.775
0.7167702935338656,0.7172525579981764,0.19871436512331941,0.7712804536049239,7,0.255,16,7.0,0.1
0.7334354068134397,0.7335629622125418,0.18117972062992596,0.8010509906673642,25,0.5,3,1.0,1.0
0.7249823409666918,0.725357106676122,0.19538393210066446,0.7929471284956264,124,0.01,3,7.0,0.325
0.7130023414405013,0.7132002836592037,0.1972538756413806,0.7724589785089494,21,0.3775,16,7.0,0.775
0.7192456566057902,0.7193800020261372,0.20802226126783727,0.7787921646320402,3,0.1325,13,1.0,0.775
0.7330454307452382,0.7332590416371189,0.18299522290363834,0.7974075988446875,11,0.3775,9,13.0,1.0
0.7302647885692453,0.7304224495998379,0.18550679989531607,0.7934803133028716,65,0.3775,5,7.0,0.55
0.6663925111947878,0.6703474825245669,0.24846226158500484,0.7302399239112198,8,0.01,1,11.0,0.1
0.650453049659676,0.6518083274237666,0.23076566051467645,0.6625109585278317,3,0.5,16,5.0,0.1
0.7197619766680049,0.7201904568939317,0.21840631911719963,0.7924064598157157,34,0.01,5,3.0,1.0
0.718159108551158,0.718366933441394,0.2054187007264269,0.7763631956300763,4,0.1325,13,3.0,1.0
0.7209149265557334,0.7213048323371493,0.18886471832802823,0.7853475436449585,9,0.5,1,3.0,0.775
0.709629072732812,0.7097558504710769,0.20867558592335927,0.7682486833318529,65,0.5,11,9.0,0.325
0.7296133655591647,0.729814608448992,0.18307333270501858,0.7983609907660525,65,0.255,7,9.0,0.775
0.7128708019014832,0.7135042042346267,0.2036707134240483,0.7662167707829611,6,0.255,16,11.0,0.1
0.7135781674846646,0.7143146591024212,0.20347228337464057,0.7666510615585536,2,0.3775,3,3.0,1.0
0.7282679280063068,0.7283963124303515,0.1843311514690216,0.7946769105257792,8,0.5,9,5.0,0.55
0.7234046472397342,0.7238375037990072,0.2053901825945035,0.789864903762332,4,0.1325,11,9.0,0.325
0.7113478197937247,0.711376760206666,0.20053581147912153,0.770127012010382,25,0.5,9,1.0,1.0
0.7179215674801466,0.7190760814507142,0.24091208675268427,0.7832271404698227,13,0.01,5,9.0,0.1
0.7287228455198659,0.7290041535811974,0.1848062875722949,0.7936730847042801,5,0.5,5,9.0,0.55
0.7344019186603846,0.7346773376557593,0.1820229415882036,0.8000512357436338,47,0.1325,11,7.0,0.55
0.7223859869171578,0.722520514638841,0.18872697149884218,0.7872501537894713,34,0.3775,9,1.0,0.1
0.7170971307920457,0.7171512511397021,0.1918425675152669,0.7827870517489235,56,0.3775,9,1.0,0.1
0.7308587209241426,0.7311315976091581,0.1822543062748685,0.8011065234697535,15,0.1325,9,5.0,0.775
0.7305908794992276,0.7307263701752609,0.1848488915461369,0.7931405166997273,40,0.3775,1,3.0,0.1
0.7325649713724948,0.732651200486273,0.18032861668963474,0.8030270620125204,200,0.1325,1,11.0,1.0
0.7347523483354519,0.7350825650896565,0.18133710452989965,0.8010034146197041,40,0.1325,13,5.0,0.1
0.7183510570209484,0.7188734677337656,0.19314206442444604,0.7806224443808452,13,0.255,1,11.0,0.325
0.7329644927687803,0.7331577347786445,0.17938700910801275,0.8052875410790593,65,0.1325,3,11.0,1.0
0.7297833265571678,0.7299159153074664,0.182213532974511,0.7997895469214145,21,0.5,5,7.0,0.325
0.7237177359592762,0.7239388106574816,0.19769749976506856,0.7858283002233648,105,0.1325,13,1.0,0.325
0.7195466169319736,0.7198865363185087,0.19655225915429148,0.7831677423705619,77,0.255,13,7.0,0.55
0.722940213555847,0.7232296626481612,0.23987802642525063,0.7883078264860011,7,0.01,13,1.0,0.775
0.7213000157188391,0.7215074460540979,0.19451980420388137,0.7892049660018355,9,0.1325,16,11.0,0.55
0.7305875573953663,0.7307263701752609,0.1829425046359545,0.7983345916108254,124,0.1325,7,1.0,0.325
0.7311285016313382,0.7313342113261068,0.183266192334094,0.7970164020171915,18,0.255,9,3.0,0.55
0.7136762925306005,0.7138081248100496,0.20560959805146142,0.7739696927829152,145,0.5,13,11.0,0.1
0.7091220716639764,0.7098571573295512,0.21171409039538192,0.7541965404770599,5,0.255,5,9.0,0.1
0.719589937905117,0.7197852294600344,0.18864131218209676,0.7837931597403835,5,0.5,13,11.0,0.55
0.7328464242400704,0.7330564279201702,0.18096779414093356,0.8018893077664506,21,0.5,3,13.0,1.0
0.6836033430723787,0.6843278289940229,0.22477360203227117,0.7310900219417278,8,0.255,1,13.0,0.1
0.7198767804587265,0.7200891500354574,0.18558007068438612,0.7936938503949182,34,0.5,7,11.0,0.775
0.7159026490867879,0.7160368756964847,0.19330310993024902,0.781055357630425,4,0.255,11,3.0,0.55
0.725772105115624,0.7259649478269679,0.18726263944733795,0.7900468194363575,34,0.255,13,11.0,0.775
0.7244447687201608,0.7246479586668018,0.18731596214070467,0.7911487168859195,200,0.255,5,7.0,0.775
0.7313424092016964,0.7315368250430554,0.18435063836499957,0.7955973857434693,65,0.3775,5,9.0,0.775
0.7263740331584639,0.7267754026947625,0.212396197953815,0.7980840463572455,40,0.01,9,9.0,0.325
0.7215917870879238,0.7217100597710465,0.192619926662736,0.7808449867921984,21,0.5,11,15.0,0.775
0.7293396505918505,0.7296119947320434,0.18521283493923738,0.7951582839068775,25,0.1325,16,5.0,0.1
0.7096115894306926,0.7097558504710769,0.1961847417484409,0.7755156881708758,13,0.5,11,3.0,0.325
0.7324914005247369,0.732651200486273,0.1824330677525324,0.7993631717803722,65,0.255,7,7.0,0.325
0.7190316332007843,0.7196839226015601,0.2473460390634991,0.7818211592929961,2,0.01,7,15.0,1.0
0.7292805299206496,0.729510687873569,0.2002550859268847,0.7969663998789422,90,0.01,16,13.0,1.0
0.7217845745120348,0.7219126734879951,0.18839551961072706,0.7851773472220852,8,0.3775,16,13.0,0.325
