,AUC,Accuracy
Baseline,0.8638297872340426,0.8771929824561403
FeatureFlex,0.772340425531915,0.8596491228070176
Boruta,0.7340425531914894,0.8771929824561403
SelectKBest,0.7563829787234042,0.8771929824561403
ReliefF,0.7382978723404255,0.8596491228070176
