dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__max_samples,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,2.7890055179595947,0.04044638412116303,0.07964181900024414,0.005836533985695313,0.49816568848070625,0.738105348394507,103,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 103, 'model__n_estimators': 478}",0.8961582019339663,0.8769734103822439,0.8778252073835313,0.8495513546476174,0.8771960391439441,0.8755408426982607,0.014903283117803087,88
0,2.7355457305908204,0.45773667124207656,0.07152495384216309,0.010783847768614447,0.49816568848070625,0.738105348394507,180,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 180, 'model__n_estimators': 478}",0.8747277637424863,0.8623379891783063,0.8683683247669657,0.8299503441066296,0.852629439265906,0.8576027722120587,0.015626743468594686,138
0,4.1711030960083,0.0895228285748415,0.09612531661987304,0.005731836655695786,0.49816568848070625,0.738105348394507,93,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 93, 'model__n_estimators': 478}",0.901423856123743,0.8791416209309755,0.8777187327583704,0.8514098208322443,0.8785898887824142,0.8776567838855496,0.01585469050949872,77
0,6.583501291275025,0.11477263704745923,0.10668253898620605,0.0035794243615511648,0.49816568848070625,0.738105348394507,15,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 15, 'model__n_estimators': 478}",0.9248192351250109,0.9195245424010997,0.9038921315252006,0.8939609528511001,0.9162431880438675,0.9116880099892557,0.011221534981656806,13
0,4.008151626586914,0.04447888247531787,0.0983349323272705,0.007820148083617976,0.49816568848070625,0.738105348394507,107,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 107, 'model__n_estimators': 478}",0.8947837113182526,0.8770605259846482,0.8785898887824142,0.8490189815218128,0.875957061687526,0.8750820338589309,0.01472700881234918,91
0,4.456572532653809,0.016010794413184308,0.10570788383483887,0.00697326326754916,0.49816568848070625,0.738105348394507,72,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 72, 'model__n_estimators': 478}",0.9122455498446438,0.8867690758970487,0.883100541084686,0.858204837819787,0.8904182516866549,0.8861476512665641,0.017261577045525594,59
0,3.3909005641937258,0.06410677009086167,0.08986554145812989,0.005119894814154522,0.49816568848070625,0.738105348394507,189,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 189, 'model__n_estimators': 478}",0.871001151861854,0.8602956122774922,0.8644868407042813,0.8293986119580684,0.8505483443195787,0.855146112224255,0.014486007599806438,141
0,6.044148778915405,0.14798922092576972,0.10771660804748535,0.008713731507153084,0.49816568848070625,0.738105348394507,21,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 21, 'model__n_estimators': 478}",0.9250128253525762,0.9072993195303501,0.8978811549592977,0.8829359893912555,0.912468178606344,0.9051194935679646,0.014135068913054643,21
0,4.178461742401123,0.15353684931418912,0.09168734550476074,0.012039765473628802,0.49816568848070625,0.738105348394507,103,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 103, 'model__n_estimators': 478}",0.8971842301400625,0.8780962337021228,0.8788318765668709,0.8498223809662089,0.8746696866742167,0.8757208816098963,0.015151457116037596,85
0,3.7998987674713134,0.053527134527817176,0.09775991439819336,0.007544312026167166,0.49816568848070625,0.738105348394507,122,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 122, 'model__n_estimators': 478}",0.8922960768940383,0.8743309037759774,0.8785318117141446,0.8452826901298023,0.8715238454762803,0.8723930655980485,0.015318598375696102,98
0,3.316887044906616,0.10080116760620828,0.08876304626464844,0.0018480695585327157,0.49816568848070625,0.738105348394507,211,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 211, 'model__n_estimators': 478}",0.8681360164938874,0.8568497062268297,0.8578466958987911,0.8233973149035437,0.8480897484294992,0.8508638963905103,0.015132908092793428,167
0,3.2932004928588867,0.044860954134750504,0.08366012573242188,0.004422063676150339,0.49816568848070625,0.738105348394507,215,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 215, 'model__n_estimators': 478}",0.8666840897871475,0.8570820144999081,0.8578757344329259,0.8251686654857663,0.8486608396008168,0.8510942687613129,0.014162926095853711,166
0,4.424829626083374,0.04823675792300489,0.1038705825805664,0.004762940130106955,0.49816568848070625,0.738105348394507,75,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 75, 'model__n_estimators': 478}",0.9095352866587295,0.8836329142104907,0.880293482784989,0.8558333575321119,0.8880080533534667,0.8834606189079576,0.01716912034072411,63
0,3.3602917194366455,0.05217821082626858,0.08881587982177734,0.005285478697307876,0.49816568848070625,0.738105348394507,203,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 203, 'model__n_estimators': 478}",0.8682424911190483,0.8584274665814869,0.8604020869026532,0.827056170204528,0.8496675087841566,0.8527591447183746,0.014145526256371733,154
0,4.146479225158691,0.05172120682421929,0.10169258117675781,0.005402121661632317,0.49816568848070625,0.738105348394507,88,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 88, 'model__n_estimators': 478}",0.9020046268064389,0.8806225861718501,0.8768959742912178,0.853403800176167,0.8810194461383589,0.8787892867168065,0.015461527558818836,68
0,3.917473316192627,0.12992384678902358,0.09194612503051758,0.007614662948817804,0.49816568848070625,0.738105348394507,117,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 117, 'model__n_estimators': 478}",0.8941351840559089,0.8759473821761478,0.8781639902817706,0.8472960284964814,0.8736726970022554,0.8738430564025128,0.01509730316461246,94
0,4.086230802536011,0.008917142216239172,0.09640626907348633,0.005013794797945602,0.49816568848070625,0.738105348394507,100,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 100, 'model__n_estimators': 478}",0.8984135280851022,0.8774670654625354,0.8788802741237622,0.851071037934005,0.8763442421426566,0.8764352295496124,0.015056155085926596,82
0,4.021822738647461,0.06018495228565637,0.09003410339355469,0.0060858639405673995,0.49816568848070625,0.738105348394507,104,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 104, 'model__n_estimators': 478}",0.8961291633998315,0.8759861002216608,0.8779413615200705,0.8492706488176477,0.8767023840636525,0.8752059316045726,0.01497164741671319,90
0,3.653035545349121,0.058818554805477936,0.0864741325378418,0.003810260479573742,0.49816568848070625,0.738105348394507,152,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 152, 'model__n_estimators': 478}",0.8832070157098469,0.8689297364269052,0.8767604611319221,0.8393491496549255,0.861050614164997,0.8658593954177192,0.015199458312440989,120
0,3.7805503368377686,0.05573796229342777,0.09478559494018554,0.004059784339009423,0.49816568848070625,0.738105348394507,131,478,"{'model__max_features': 0.49816568848070625, 'model__max_samples': 0.738105348394507, 'model__min_samples_leaf': 131, 'model__n_estimators': 478}",0.8887340167068367,0.873546863354338,0.8784446961117401,0.8450503818567239,0.8684360813466137,0.8708424078752506,0.01453435616705676,104
