dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__max_samples,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.2895895004272462,0.006800510300779735,0.04362688064575195,0.0062318840102149956,0.3745407443072436,0.9753571532049581,107,171,"{'model__max_features': 0.3745407443072436, 'model__max_samples': 0.9753571532049581, 'model__min_samples_leaf': 107, 'model__n_estimators': 171}",0.8992556455750114,0.880370918876015,0.8786963634075753,0.8529875811869018,0.8822390645720205,0.8787099147235049,0.014825515275206456,319
0,2.0105662822723387,0.07278375508958493,0.06418070793151856,0.010853814138660912,0.5986588855385524,0.5780093202212182,211,314,"{'model__max_features': 0.5986588855385524, 'model__max_samples': 0.5780093202212182, 'model__min_samples_leaf': 211, 'model__n_estimators': 314}",0.8582725943994347,0.8541346032852262,0.8549089641954873,0.8194190357270765,0.8449584264986304,0.846338724821171,0.014164863934767086,899
0,1.6721368789672852,0.01801162298804845,0.07580337524414063,0.002931634925792955,0.05808455408458729,0.9330880728874675,100,459,"{'model__max_features': 0.05808455408458729, 'model__max_samples': 0.9330880728874675, 'model__min_samples_leaf': 100, 'model__n_estimators': 459}",0.8471024382689162,0.8620863218824714,0.8597051620834181,0.8347900997957624,0.8588340060593742,0.8525036056179884,0.010263583521610527,794
0,8.32750825881958,0.26617189624248333,0.1056246280670166,0.010530005285377802,0.7080728697234677,0.5102922471479012,2,443,"{'model__max_features': 0.7080728697234677, 'model__max_samples': 0.5102922471479012, 'model__min_samples_leaf': 2, 'model__n_estimators': 443}",0.9320111120790623,0.9410711347291189,0.910503237796556,0.9137216753298294,0.9281296280163778,0.9250873575901888,0.011441592551683744,5
0,3.0106760978698732,0.07134733477648397,0.06525564193725586,0.007642714854332486,0.832442808357781,0.6061695553391381,192,376,"{'model__max_features': 0.832442808357781, 'model__max_samples': 0.6061695553391381, 'model__min_samples_leaf': 192, 'model__n_estimators': 376}",0.862618695008276,0.8529633824084561,0.8525616826862581,0.81939967670432,0.8401235105651867,0.8455333894744994,0.014891253128056498,917
0,3.431809997558594,0.047028185905571174,0.07918486595153809,0.004063979689900349,0.617481892146207,0.8058265802441404,236,444,"{'model__max_features': 0.617481892146207, 'model__max_samples': 0.8058265802441404, 'model__min_samples_leaf': 236, 'model__n_estimators': 444}",0.8598793932882268,0.8544685464277763,0.8588049675252394,0.8208806419451946,0.8435306985703361,0.8475128495513546,0.014518657374440651,870
0,1.6537353992462158,0.03406072724663989,0.06212077140808105,0.002083638815057717,0.2912298489689017,0.8059264473611898,170,287,"{'model__max_features': 0.2912298489689017, 'model__max_samples': 0.8059264473611898, 'model__min_samples_leaf': 170, 'model__n_estimators': 287}",0.8843588775638606,0.8713012167145804,0.8770702054960265,0.8432306337176099,0.865135367966625,0.8682192602917403,0.014016181948207777,504
0,0.9355473041534423,0.02708228511112305,0.04081850051879883,0.005160074840074261,0.36636247693184837,0.728034992108518,175,150,"{'model__max_features': 0.36636247693184837, 'model__max_samples': 0.728034992108518, 'model__min_samples_leaf': 175, 'model__n_estimators': 150}",0.8774573859511573,0.865754856694834,0.8708172411456668,0.8369099127876024,0.8588436855707524,0.8619566164300025,0.01393010306561929,637
0,1.51559157371521,0.03904898900681315,0.04398789405822754,0.0033512594401976263,0.3824626088051714,0.9916154429033941,249,230,"{'model__max_features': 0.3824626088051714, 'model__max_samples': 0.9916154429033941, 'model__min_samples_leaf': 249, 'model__n_estimators': 230}",0.8696363407575186,0.858282273910813,0.8606247156643533,0.8275401457734414,0.8526536380443516,0.8537474228300954,0.01420096813487419,779
0,3.791061019897461,0.12350742521728691,0.05785360336303711,0.009767709870858473,0.8599405467959138,0.8401537692938899,73,266,"{'model__max_features': 0.8599405467959138, 'model__max_samples': 0.8401537692938899, 'model__min_samples_leaf': 73, 'model__n_estimators': 266}",0.9085770150322812,0.8885501059906495,0.8799934179322627,0.8552719458721724,0.8858495223161136,0.8836484014286958,0.017139950707520217,264
