dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,params_str
0,0.08468666076660156,0.002877970159298885,0.013795900344848632,0.003432792776448452,gini,19,10,58,"{'model__criterion': 'gini', 'model__max_depth': 19, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9037711376329722,0.8475380162809382,0.8655661062229578,0.862328309666928,0.8680576124517234,0.01889003241957431,124,"{'model__criterion': 'gini', 'model__max_depth': 19, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.09147686958312988,0.004591951140971669,0.017905235290527344,0.005922935374136154,gini,23,10,58,"{'model__criterion': 'gini', 'model__max_depth': 23, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9043615878270466,0.8478284016222861,0.8655661062229578,0.862328309666928,0.868233779558808,0.01905099126431402,77,"{'model__criterion': 'gini', 'model__max_depth': 23, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.08082208633422852,0.004575894492625725,0.014815187454223633,0.0024247429601573886,gini,11,10,58,"{'model__criterion': 'gini', 'model__max_depth': 11, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8551073941787419,0.904743928526488,0.8350175683131515,0.8618927316549061,0.8737017355363901,0.8660926716419356,0.023046888622276784,140,"{'model__criterion': 'gini', 'model__max_depth': 11, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.08683366775512695,0.0059342977736170305,0.01797008514404297,0.006638155593414374,gini,11,10,58,"{'model__criterion': 'gini', 'model__max_depth': 11, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8551073941787419,0.904743928526488,0.8350175683131515,0.8618927316549061,0.8729370541375071,0.865939735362159,0.022998374493453187,141,"{'model__criterion': 'gini', 'model__max_depth': 11, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.09511713981628418,0.007545493029937924,0.020177030563354494,0.0025087739451684185,gini,24,10,58,"{'model__criterion': 'gini', 'model__max_depth': 24, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9043615878270466,0.8473202272749272,0.8655661062229578,0.8630929910658109,0.8682850809691127,0.019116686604511258,64,"{'model__criterion': 'gini', 'model__max_depth': 24, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.09985208511352539,0.008753211900314542,0.017826032638549805,0.007153013077206199,gini,21,10,58,"{'model__criterion': 'gini', 'model__max_depth': 21, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9078220131447765,0.8478284016222861,0.8655661062229578,0.8630929910658109,0.8690788009021304,0.020320895035838952,36,"{'model__criterion': 'gini', 'model__max_depth': 21, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.06891789436340331,0.003945587754818425,0.0177093505859375,0.0020719932922063262,gini,4,10,58,"{'model__criterion': 'gini', 'model__max_depth': 4, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8032445722139945,0.789669057505977,0.8254300122929795,0.7740172876073215,0.8327864409404613,0.8050294741121468,0.02185184271628806,175,"{'model__criterion': 'gini', 'model__max_depth': 4, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.07423357963562012,0.010121818929664383,0.017554712295532227,0.003919520430644279,gini,8,10,58,"{'model__criterion': 'gini', 'model__max_depth': 8, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8222744915836648,0.8672987387596676,0.8661710756840995,0.8419142201701658,0.8512259101160573,0.8497768872627309,0.01670980348778475,144,"{'model__criterion': 'gini', 'model__max_depth': 8, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.1064955711364746,0.007447748180485648,0.022724676132202148,0.007124893239277294,gini,24,10,58,"{'model__criterion': 'gini', 'model__max_depth': 24, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9043615878270466,0.8473202272749272,0.8655661062229578,0.862328309666928,0.8681321446893362,0.019160620621105698,109,"{'model__criterion': 'gini', 'model__max_depth': 24, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.07024145126342773,0.017933214828712466,0.014019632339477539,0.004423865807076036,gini,3,10,58,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.7874088915991521,0.7898965260233664,0.802673481042677,0.7608773509113259,0.7999583781010735,0.7881629255355189,0.014817323933515304,179,"{'model__criterion': 'gini', 'model__max_depth': 3, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.10498509407043458,0.008605534569790501,0.02184901237487793,0.004978883891738348,gini,22,10,58,"{'model__criterion': 'gini', 'model__max_depth': 22, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9038388942126202,0.8478284016222861,0.8655661062229578,0.8630929910658109,0.8682821771156991,0.018808234473642733,73,"{'model__criterion': 'gini', 'model__max_depth': 22, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.1057544231414795,0.009438776445214252,0.017684412002563477,0.003551954356335152,gini,21,10,58,"{'model__criterion': 'gini', 'model__max_depth': 21, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9078220131447765,0.8475380162809382,0.8655661062229578,0.8630929910658109,0.8690207238338609,0.020381869114987523,38,"{'model__criterion': 'gini', 'model__max_depth': 21, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.056888389587402347,0.007928300140720193,0.016248178482055665,0.007487194388609695,gini,2,10,58,"{'model__criterion': 'gini', 'model__max_depth': 2, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.7754353360242374,0.7807590672822837,0.6987300481071715,0.7390597322647152,0.6794629807087338,0.7346894328774283,0.04036032142185487,188,"{'model__criterion': 'gini', 'model__max_depth': 2, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.12330327033996583,0.014021235002423792,0.016028833389282227,0.01064984152827526,gini,24,10,58,"{'model__criterion': 'gini', 'model__max_depth': 24, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9043615878270466,0.8478284016222861,0.8655661062229578,0.862328309666928,0.868233779558808,0.01905099126431402,77,"{'model__criterion': 'gini', 'model__max_depth': 24, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.10365858078002929,0.01158552520706808,0.018366670608520506,0.00677451252050737,gini,12,10,58,"{'model__criterion': 'gini', 'model__max_depth': 12, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8584081075587304,0.9045696973216792,0.8364840142869587,0.8636495629700611,0.8723417641877438,0.8670906292650347,0.022164146548938536,136,"{'model__criterion': 'gini', 'model__max_depth': 12, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.1108285903930664,0.012794307444605836,0.020596647262573244,0.00541884709979468,gini,30,10,58,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9043615878270466,0.8478284016222861,0.8655661062229578,0.862328309666928,0.868233779558808,0.01905099126431402,77,"{'model__criterion': 'gini', 'model__max_depth': 30, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.08252778053283691,0.01055311189935061,0.03007979393005371,0.012273817578639082,gini,6,10,58,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8096524087464065,0.818126820958078,0.848007472582784,0.7820367627842145,0.8308989362216994,0.8177444802586364,0.022043399506873725,164,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.060955381393432616,0.012888335632274416,0.025625085830688475,0.009575737077226263,gini,2,10,58,"{'model__criterion': 'gini', 'model__max_depth': 2, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.7754353360242374,0.7807590672822837,0.6987300481071715,0.7390597322647152,0.6794629807087338,0.7346894328774283,0.04036032142185487,188,"{'model__criterion': 'gini', 'model__max_depth': 2, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.11444454193115235,0.018995857008952337,0.01800570487976074,0.006889254929445178,gini,28,10,58,"{'model__criterion': 'gini', 'model__max_depth': 28, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9043615878270466,0.8475380162809382,0.8655661062229578,0.862328309666928,0.8681757024905383,0.019113448903622196,97,"{'model__criterion': 'gini', 'model__max_depth': 28, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.1242903232574463,0.022358720783728227,0.011167335510253906,0.0020292573531519925,gini,21,10,58,"{'model__criterion': 'gini', 'model__max_depth': 21, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9078220131447765,0.8473202272749272,0.8655661062229578,0.862328309666928,0.8688242297528822,0.0204742038291864,42,"{'model__criterion': 'gini', 'model__max_depth': 21, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.05304737091064453,0.005133332515099507,0.018022584915161132,0.0073640713859225125,gini,1,10,58,"{'model__criterion': 'gini', 'model__max_depth': 1, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.6958213549380027,0.7044216007975918,0.6215165858427467,0.653342819254484,0.6001490644752253,0.6550502850616101,0.040598954176250056,194,"{'model__criterion': 'gini', 'model__max_depth': 1, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.09739313125610352,0.012314385843791265,0.02658681869506836,0.011596507310566514,gini,12,10,58,"{'model__criterion': 'gini', 'model__max_depth': 12, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8584081075587304,0.9045696973216792,0.8364840142869587,0.8636495629700611,0.8723417641877438,0.8670906292650347,0.022164146548938536,136,"{'model__criterion': 'gini', 'model__max_depth': 12, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.092799711227417,0.00423746760899296,0.013733768463134765,0.003998680972068488,gini,26,10,58,"{'model__criterion': 'gini', 'model__max_depth': 26, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9043615878270466,0.8475380162809382,0.8655661062229578,0.8630929910658109,0.8683286387703149,0.019069056872441106,56,"{'model__criterion': 'gini', 'model__max_depth': 26, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
0,0.09853115081787109,0.010342495897764713,0.01874680519104004,0.0071007649097351785,gini,22,10,58,"{'model__criterion': 'gini', 'model__max_depth': 22, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}",0.8610844924548209,0.9038388942126202,0.8473202272749272,0.8655661062229578,0.862328309666928,0.8680276059664509,0.018963078245141245,125,"{'model__criterion': 'gini', 'model__max_depth': 22, 'model__min_samples_leaf': 10, 'model__min_samples_split': 58}"
