params,scores
"OrderedDict([('classifier__alpha', 0.2292423859285236), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.08376203841836473), ('classifier__colsample_bytree', 0.802728724186953), ('classifier__eta', 2.3401456766692177e-10), ('classifier__lambda', 1.9270791753897528e-05), ('classifier__max_depth', 1), ('classifier__min_child_weight', 760.133775318165), ('classifier__n_estimators', 480), ('classifier__subsample', 0.5489371768400302)])",0.70125
"OrderedDict([('classifier__alpha', 0.0002960836929299235), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.6407990321410942), ('classifier__colsample_bytree', 0.6629074571019868), ('classifier__eta', 5.778269977753202e-07), ('classifier__lambda', 0.03238765050045282), ('classifier__max_depth', 5), ('classifier__min_child_weight', 2.1071383688124423), ('classifier__n_estimators', 421), ('classifier__subsample', 0.4634204956001422)])",0.70125
"OrderedDict([('classifier__alpha', 1e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.0), ('classifier__colsample_bytree', 0.0), ('classifier__eta', 1.0), ('classifier__lambda', 1e-05), ('classifier__max_depth', 10), ('classifier__min_child_weight', 1.0), ('classifier__n_estimators', 1), ('classifier__subsample', 1.0)])",0.70625
"OrderedDict([('classifier__alpha', 1e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.0), ('classifier__colsample_bytree', 0.0), ('classifier__eta', 1.0), ('classifier__lambda', 1e-05), ('classifier__max_depth', 1), ('classifier__min_child_weight', 10000000.0), ('classifier__n_estimators', 500), ('classifier__subsample', 1.0)])",0.7125
"OrderedDict([('classifier__alpha', 1.6150917113285481), ('classifier__booster', 'gbtree'), ('classifier__colsample_bylevel', 0.005296868879758333), ('classifier__colsample_bytree', 0.9148103397015567), ('classifier__eta', 0.33622650031406337), ('classifier__lambda', 19.95166157287478), ('classifier__max_depth', 1), ('classifier__min_child_weight', 2.077074322215324), ('classifier__n_estimators', 474), ('classifier__subsample', 0.1330633663012966)])",0.70875
"OrderedDict([('classifier__alpha', 2.6005202492996355e-05), ('classifier__booster', 'dart'), ('classifier__colsample_bylevel', 0.5967773995259349), ('classifier__colsample_bytree', 0.25586054638615857), ('classifier__eta', 2.1403170363980118e-09), ('classifier__lambda', 5.682620390861719), ('classifier__max_depth', 6), ('classifier__min_child_weight', 15107.661627500722), ('classifier__n_estimators', 229), ('classifier__subsample', 0.5197034763835698)])",0.70125
"OrderedDict([('classifier__alpha', 0.0012790066662610813), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.682193498079559), ('classifier__colsample_bytree', 0.6615173168535937), ('classifier__eta', 0.045403714956694256), ('classifier__lambda', 0.003593133117862642), ('classifier__max_depth', 2), ('classifier__min_child_weight', 1.042248306139414), ('classifier__n_estimators', 440), ('classifier__subsample', 0.7510177322781982)])",0.7050000000000001
"OrderedDict([('classifier__alpha', 0.00012772136789569881), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.6277992012559653), ('classifier__colsample_bytree', 0.604918392385937), ('classifier__eta', 0.2187637785879981), ('classifier__lambda', 0.00038479727810893994), ('classifier__max_depth', 6), ('classifier__min_child_weight', 7694714.521338657), ('classifier__n_estimators', 319), ('classifier__subsample', 0.16501586128215007)])",0.7150000000000001
"OrderedDict([('classifier__alpha', 0.002626929673003974), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.4955694410640249), ('classifier__colsample_bytree', 0.3837940682129989), ('classifier__eta', 0.7611415371768508), ('classifier__lambda', 0.0017751227090853005), ('classifier__max_depth', 3), ('classifier__min_child_weight', 9502220.69375365), ('classifier__n_estimators', 80), ('classifier__subsample', 0.25601513372215556)])",0.71125
"OrderedDict([('classifier__alpha', 1e-05), ('classifier__booster', 'gblinear'), ('classifier__colsample_bylevel', 0.0), ('classifier__colsample_bytree', 0.0), ('classifier__eta', 1.0), ('classifier__lambda', 1e-05), ('classifier__max_depth', 1), ('classifier__min_child_weight', 10000000.0), ('classifier__n_estimators', 500), ('classifier__subsample', 1.0)])",0.7125
