model__n_estimators,model__min_samples_split,model__min_samples_leaf,model__max_features,model__max_depth,model__criterion,model__bootstrap,Combination_ID,Score,Dataset
32,16,2,0.8,5,entropy,True,1,0.9636656541413536,car
32,2,8,0.1,2,gini,True,2,0.930412291557289,car
64,4,1,0.7,9,entropy,False,3,0.9598924973124329,car
32,4,2,0.9,8,gini,True,4,0.9627025050626266,car
512,8,8,0.5,2,gini,False,5,0.9294455173879347,car
64,8,4,0.2,11,gini,False,6,0.960038625965649,car
256,2,2,0.4,1,log_loss,False,7,0.9052060364009101,car
256,2,2,0.1,6,entropy,True,8,0.9641782607065177,car
32,8,4,0.4,7,gini,False,9,0.9632479249481237,car
64,2,2,0.1,10,log_loss,False,10,0.9580227005675143,car
32,2,2,0.1,7,log_loss,False,11,0.961553538838471,car
512,4,4,1.0,1,gini,True,12,0.9205369196729918,car
32,16,4,0.7,15,entropy,False,13,0.9630285757143927,car
32,16,8,0.7,4,log_loss,False,14,0.9618647028675716,car
32,4,4,0.2,7,log_loss,False,15,0.9628848846221155,car
512,4,4,1.0,10,log_loss,False,16,0.9398257143928598,car
64,8,2,0.7,7,gini,True,17,0.9635925273131828,car
128,4,2,0.2,8,entropy,False,18,0.960492762319058,car
256,8,4,0.9,6,log_loss,True,19,0.9644379546988674,car
128,8,1,1.0,15,log_loss,False,20,0.9165827895697394,car
256,16,4,0.1,3,log_loss,True,21,0.9447444311107778,car
64,8,2,0.1,9,entropy,True,22,0.9625544388609716,car
128,4,2,0.5,4,gini,True,23,0.9555009500237506,car
32,8,2,1.0,14,entropy,False,24,0.9237766256656417,car
32,4,4,0.2,8,log_loss,False,25,0.9639652553813846,car
256,8,1,0.8,15,log_loss,True,26,0.9634504925123127,car
32,16,8,0.3,10,log_loss,False,27,0.9629308232705819,car
64,4,1,0.2,12,entropy,False,28,0.9522946198654966,car
256,2,1,0.6,9,log_loss,False,29,0.9568185454636365,car
64,8,2,0.5,10,log_loss,True,30,0.9621741481037026,car
512,8,2,0.3,15,gini,True,31,0.9627207867696693,car
128,8,4,0.4,12,log_loss,False,32,0.963188235955899,car
32,8,4,0.9,5,gini,True,33,0.9635123378084453,car
64,4,1,0.1,8,gini,False,34,0.9578066014150354,car
128,4,8,0.3,14,gini,True,35,0.9609120853021326,car
128,8,8,1.0,11,gini,True,36,0.9621642416060401,car
