model__n_estimators,model__min_samples_split,model__min_samples_leaf,model__max_features,model__max_depth,model__criterion,model__bootstrap,Combination_ID,Score,Dataset
32,16,2,0.8,5,entropy,True,1,0.9254293283465794,recruit
32,2,8,0.1,2,gini,True,2,0.8992551036309803,recruit
64,4,1,0.7,9,entropy,False,3,0.933124513012311,recruit
32,4,2,0.9,8,gini,True,4,0.9313542153654355,recruit
512,8,8,0.5,2,gini,False,5,0.8958111266947171,recruit
64,8,4,0.2,11,gini,False,6,0.9302664796633943,recruit
256,2,2,0.4,1,log_loss,False,7,0.8930310113760324,recruit
256,2,2,0.1,6,entropy,True,8,0.9239644693782142,recruit
32,8,4,0.4,7,gini,False,9,0.9340501792114696,recruit
64,2,2,0.1,10,log_loss,False,10,0.9232102228455664,recruit
32,2,2,0.1,7,log_loss,False,11,0.9171326164874553,recruit
512,4,4,1.0,1,gini,True,12,0.7821411874707808,recruit
32,16,4,0.7,15,entropy,False,13,0.9336107215209598,recruit
32,16,8,0.7,4,log_loss,False,14,0.9166806919121084,recruit
32,4,4,0.2,7,log_loss,False,15,0.9294654823126071,recruit
512,4,4,1.0,10,log_loss,False,16,0.9071965092722456,recruit
64,8,2,0.7,7,gini,True,17,0.9295808009973507,recruit
128,4,2,0.2,8,entropy,False,18,0.9318809412498053,recruit
256,8,4,0.9,6,log_loss,True,19,0.9325822035218949,recruit
128,8,1,1.0,15,log_loss,False,20,0.9041203054386786,recruit
256,16,4,0.1,3,log_loss,True,21,0.9260028050490883,recruit
64,8,2,0.1,9,entropy,True,22,0.9225432445067788,recruit
128,4,2,0.5,4,gini,True,23,0.915571139161602,recruit
32,8,2,1.0,14,entropy,False,24,0.9049244195106748,recruit
32,4,4,0.2,8,log_loss,False,25,0.9294156147732585,recruit
256,8,1,0.8,15,log_loss,True,26,0.9328159576125916,recruit
32,16,8,0.3,10,log_loss,False,27,0.9329593267882189,recruit
64,4,1,0.2,12,entropy,False,28,0.9314820009350164,recruit
256,2,1,0.6,9,log_loss,False,29,0.9350693470469067,recruit
64,8,2,0.5,10,log_loss,True,30,0.9323920835281284,recruit
512,8,2,0.3,15,gini,True,31,0.930871123577996,recruit
128,8,4,0.4,12,log_loss,False,32,0.9347794919744429,recruit
32,8,4,0.9,5,gini,True,33,0.9230201028517998,recruit
64,4,1,0.1,8,gini,False,34,0.9224933769674303,recruit
128,4,8,0.3,14,gini,True,35,0.9282717780894498,recruit
128,8,8,1.0,11,gini,True,36,0.9242106903537479,recruit
64,2,4,0.8,9,gini,False,37,0.931304347826087,recruit
128,16,4,0.9,15,entropy,True,38,0.9316440704378994,recruit
256,4,8,0.2,11,log_loss,False,39,0.9322674146797568,recruit
256,2,4,0.4,15,entropy,True,40,0.9318123733832008,recruit
32,16,8,0.7,1,entropy,False,41,0.8619043166588748,recruit
512,16,2,0.5,7,entropy,True,42,0.9303443976936263,recruit
32,2,1,1.0,15,log_loss,True,43,0.9335951379149136,recruit
64,2,1,1.0,9,log_loss,False,44,0.8899049400031167,recruit
512,16,2,0.9,12,log_loss,False,45,0.9264578463456443,recruit
128,16,1,0.4,10,entropy,True,46,0.9306810035842293,recruit
128,16,8,0.2,9,log_loss,False,47,0.9312326632382734,recruit
32,16,2,0.3,7,entropy,False,48,0.9319183419043165,recruit
128,16,2,1.0,6,gini,False,49,0.9025214274583138,recruit
128,8,1,0.2,13,gini,True,50,0.9290260246220976,recruit
256,16,8,0.2,13,gini,False,51,0.9319931432133396,recruit
64,8,1,0.1,15,log_loss,False,52,0.9217141966651083,recruit
128,16,1,0.2,8,log_loss,False,53,0.9309646252142745,recruit
32,4,2,0.4,2,gini,False,54,0.8986161757830763,recruit
64,4,4,0.8,11,log_loss,True,55,0.9327068723702666,recruit
512,8,1,0.5,15,gini,True,56,0.9290478416705626,recruit
128,16,8,0.5,6,gini,False,57,0.9292909459248869,recruit
64,16,4,0.3,2,gini,True,58,0.9067757519089916,recruit
64,8,8,0.5,10,entropy,False,59,0.9326601215521272,recruit
128,4,4,0.1,15,entropy,True,60,0.9224123422159888,recruit
32,2,8,0.4,1,log_loss,True,61,0.8987813620071684,recruit
256,4,8,0.6,12,gini,True,62,0.9278915381019167,recruit
32,4,2,0.3,1,entropy,True,63,0.9105937353903694,recruit
