model__n_estimators,model__min_samples_split,model__min_samples_leaf,model__max_features,model__max_depth,model__criterion,model__bootstrap,Combination_ID,Score,Dataset
128,16,8,0.5,6,gini,False,57,0.818879394468287,diabetes
64,16,4,0.3,2,gini,True,58,0.8226908426127154,diabetes
64,8,8,0.5,10,entropy,False,59,0.8143564704893719,diabetes
128,4,4,0.1,15,entropy,True,60,0.834547127936267,diabetes
32,2,8,0.4,1,log_loss,True,61,0.792916551716746,diabetes
256,4,8,0.6,12,gini,True,62,0.8325706543083079,diabetes
32,4,2,0.3,1,entropy,True,63,0.8109009700467302,diabetes
512,2,2,0.7,5,log_loss,False,64,0.8112479536812541,diabetes
512,16,4,0.9,4,gini,False,65,0.8060357407411911,diabetes
64,8,1,0.8,11,gini,True,66,0.8209270762507596,diabetes
512,2,4,0.6,3,gini,False,67,0.8229051118165877,diabetes
512,8,1,0.1,5,entropy,False,68,0.8270231959107219,diabetes
256,4,2,0.6,2,log_loss,False,69,0.8089769823348355,diabetes
512,2,2,0.3,2,entropy,False,70,0.8145196468366157,diabetes
512,8,4,1.0,6,gini,False,71,0.738343126331006,diabetes
256,4,1,0.3,4,gini,True,72,0.8305355746098465,diabetes
128,8,2,0.3,4,log_loss,False,73,0.8294268208915563,diabetes
256,2,4,0.5,10,log_loss,False,74,0.8061067222233179,diabetes
32,16,4,0.4,4,gini,True,75,0.8309636506659679,diabetes
32,8,2,0.3,1,entropy,False,76,0.7810455244317854,diabetes
256,16,4,0.6,7,gini,True,77,0.8292299476675007,diabetes
512,2,8,0.4,5,gini,False,78,0.8297280820036447,diabetes
512,16,2,0.5,12,log_loss,True,79,0.8334850777364693,diabetes
64,4,8,0.5,3,entropy,True,80,0.826984699133538,diabetes
256,16,1,0.4,3,log_loss,False,81,0.8209382942821847,diabetes
64,4,2,0.9,1,entropy,True,82,0.8055195731906072,diabetes
32,2,2,0.4,4,gini,False,83,0.8239833458243329,diabetes
64,2,4,0.5,5,gini,True,84,0.8336544350343881,diabetes
512,8,4,0.6,4,log_loss,True,85,0.834799489359653,diabetes
32,4,2,0.7,6,log_loss,False,86,0.8042949290865197,diabetes
64,8,1,0.4,6,entropy,False,87,0.8209343627922471,diabetes
128,2,2,0.4,14,entropy,True,88,0.8243074385500918,diabetes
128,8,8,0.5,11,gini,True,89,0.828350665964973,diabetes
32,16,4,0.2,9,log_loss,True,90,0.814376994848352,diabetes
64,16,1,0.4,6,entropy,False,91,0.824330271664904,diabetes
128,2,2,0.1,15,log_loss,True,92,0.8306212372571465,diabetes
32,16,4,0.2,5,log_loss,False,93,0.8177982752663229,diabetes
32,4,1,0.8,14,gini,True,94,0.8122776332628727,diabetes
256,16,4,0.7,1,log_loss,True,95,0.8143362973975338,diabetes
128,8,2,0.3,14,log_loss,False,96,0.8221730523280261,diabetes
32,8,2,0.2,11,gini,True,97,0.8247058115167167,diabetes
64,4,8,0.1,5,log_loss,True,98,0.8289134289518522,diabetes
128,8,2,0.3,7,entropy,False,99,0.8274044558627281,diabetes
32,8,2,0.7,9,gini,True,100,0.8144345621288447,diabetes
64,4,4,0.3,1,gini,True,101,0.8090887145583087,diabetes
512,16,4,0.3,15,entropy,True,102,0.8355598130934557,diabetes
64,16,8,0.3,4,entropy,False,103,0.8248480604484515,diabetes
32,16,1,0.6,3,entropy,False,104,0.820407673739956,diabetes
256,4,2,0.9,8,entropy,False,105,0.7692883692476965,diabetes
64,2,8,0.7,8,entropy,True,106,0.8264626320963355,diabetes
32,8,8,0.9,15,log_loss,False,107,0.7943087570027881,diabetes
512,2,4,0.1,11,entropy,False,108,0.8314909191589296,diabetes
512,8,1,0.1,10,log_loss,False,109,0.8320921729184262,diabetes
128,4,8,0.3,13,log_loss,True,110,0.8322273131939572,diabetes
32,2,8,0.8,10,entropy,False,111,0.8012895834911408,diabetes
256,2,8,0.3,4,log_loss,False,112,0.8270010000305333,diabetes
512,16,4,0.9,13,entropy,True,113,0.8291986173404736,diabetes
32,4,8,0.5,10,gini,False,114,0.8160850283248914,diabetes
512,2,4,0.1,6,log_loss,False,115,0.8327311143397665,diabetes
128,16,8,0.2,9,gini,False,116,0.8307022733859327,diabetes
32,2,4,0.4,2,entropy,False,117,0.8116048200817204,diabetes
256,8,4,0.4,4,gini,True,118,0.8325145881694488,diabetes
256,2,4,0.5,12,log_loss,False,119,0.8040656289514739,diabetes
512,16,1,0.5,3,log_loss,True,120,0.8317364608958758,diabetes
32,4,4,0.2,2,entropy,False,121,0.7948611748721021,diabetes
64,2,8,0.7,9,gini,False,122,0.8097422733463026,diabetes
512,8,8,0.3,13,entropy,True,123,0.833725764781374,diabetes
128,4,4,0.6,8,entropy,True,124,0.8317418935274467,diabetes
32,4,2,0.7,3,log_loss,True,125,0.8214108228949198,diabetes
128,4,2,0.7,5,entropy,True,126,0.8325185181582445,diabetes
64,16,4,0.5,13,entropy,True,127,0.8312199450804331,diabetes
128,2,2,0.4,11,gini,False,128,0.8147233945387807,diabetes
64,16,1,0.8,15,entropy,True,129,0.8249886881472227,diabetes
32,2,1,0.7,8,log_loss,True,130,0.8090912011994242,diabetes
128,2,4,0.6,9,log_loss,False,131,0.8055623467203042,diabetes
256,8,1,0.8,2,log_loss,False,132,0.8029484373160631,diabetes
64,16,4,0.5,9,gini,True,133,0.8318837409037947,diabetes
64,16,4,0.8,9,entropy,False,134,0.7950822607601307,diabetes
512,8,2,0.9,12,gini,True,135,0.8203748407701541,diabetes
256,8,4,0.6,13,entropy,False,136,0.8052996949710224,diabetes
512,16,2,0.5,13,entropy,True,137,0.8339575485552517,diabetes
32,8,1,1.0,7,gini,True,138,0.8108347261675978,diabetes
256,4,8,0.7,5,gini,True,139,0.8312428344880565,diabetes
32,4,2,1.0,2,entropy,True,140,0.8107784866468798,diabetes
512,16,2,0.8,8,log_loss,False,141,0.7978425817618557,diabetes
64,4,4,0.5,14,log_loss,True,142,0.8322414742135541,diabetes
128,4,4,0.4,2,log_loss,False,143,0.8112582425060082,diabetes
32,2,4,0.1,12,log_loss,False,144,0.8264521728920062,diabetes
512,2,8,1.0,8,entropy,False,145,0.7772394511249751,diabetes
32,4,4,0.8,4,entropy,False,146,0.8047223146174898,diabetes
64,16,1,0.3,14,gini,False,147,0.8273881519634497,diabetes
256,8,8,0.2,5,gini,False,148,0.8265195133551018,diabetes
256,2,1,0.6,3,log_loss,False,149,0.8192730268296341,diabetes
256,8,1,1.0,6,entropy,False,150,0.74916238923864,diabetes
256,16,2,0.7,7,log_loss,False,151,0.8070228794700657,diabetes
512,2,8,0.6,15,entropy,True,152,0.8318553002744117,diabetes
128,8,4,1.0,9,log_loss,False,153,0.7338689256566511,diabetes
64,16,1,0.5,4,log_loss,True,154,0.8325831408044131,diabetes
512,8,4,0.1,2,gini,True,155,0.8172050000746068,diabetes
256,2,8,0.3,4,gini,False,156,0.8307499016076716,diabetes
128,8,2,0.3,10,gini,True,157,0.8286630295205807,diabetes
32,2,1,0.7,10,entropy,False,158,0.7801595416330073,diabetes
128,16,8,0.4,14,gini,False,159,0.8256230030500497,diabetes
512,16,4,0.6,4,entropy,False,160,0.8205111384258843,diabetes
512,4,8,0.9,3,log_loss,True,161,0.8259621860020765,diabetes
512,8,4,0.7,5,log_loss,False,162,0.8143434075548797,diabetes
128,4,8,0.1,14,log_loss,False,163,0.8320385341255877,diabetes
128,2,2,0.9,6,entropy,False,164,0.7808060510598915,diabetes
256,4,4,0.9,1,entropy,True,165,0.8019978303699747,diabetes
128,2,8,0.7,2,log_loss,True,166,0.820138433480046,diabetes
128,16,2,0.5,2,gini,False,167,0.8110939117808486,diabetes
256,2,2,0.9,10,log_loss,False,168,0.763162371615237,diabetes
256,2,1,0.2,6,entropy,False,169,0.8304226302145045,diabetes
256,8,4,0.2,8,log_loss,False,170,0.8344655108656683,diabetes
256,16,4,0.4,14,log_loss,True,171,0.8317824708869342,diabetes
64,8,2,0.4,14,entropy,True,172,0.8304531484239078,diabetes
512,2,8,0.5,2,log_loss,True,173,0.8238320780336653,diabetes
128,4,2,0.7,8,gini,False,174,0.7904826899905647,diabetes
256,2,8,0.6,5,entropy,False,175,0.8218196535647325,diabetes
256,4,2,0.7,5,entropy,True,176,0.8314404012395467,diabetes
64,8,4,0.3,3,entropy,False,177,0.8168679569999782,diabetes
64,8,1,0.6,4,gini,True,178,0.8354628228313915,diabetes
32,8,1,0.4,11,entropy,False,179,0.8116464955263126,diabetes
512,8,2,0.5,14,log_loss,True,180,0.8285411818542118,diabetes
64,8,4,0.3,15,gini,True,181,0.83073822722919,diabetes
64,8,2,0.7,4,gini,True,182,0.8260064621745483,diabetes
32,8,8,0.1,10,log_loss,False,183,0.8289503044960723,diabetes
32,2,4,0.9,11,gini,True,184,0.8159038217654908,diabetes
32,16,1,0.2,15,log_loss,False,185,0.827545375533547,diabetes
64,8,8,0.9,14,gini,True,186,0.8236441050783531,diabetes
512,2,8,0.9,2,gini,False,187,0.7905260429609321,diabetes
128,2,4,0.3,3,gini,True,188,0.8273750935323823,diabetes
32,16,8,0.2,11,gini,True,189,0.8237290772005018,diabetes
512,2,2,0.3,5,gini,False,190,0.8320038517492939,diabetes
512,8,4,0.1,15,gini,False,191,0.8318704452923492,diabetes
256,16,8,0.4,13,entropy,True,192,0.833038039259237,diabetes
256,8,8,0.9,1,log_loss,False,193,0.7193892527205866,diabetes
64,4,8,0.9,8,log_loss,True,194,0.8288392095072222,diabetes
64,4,1,0.9,6,entropy,True,195,0.8288069544769493,diabetes
256,2,4,0.6,14,gini,False,196,0.8052654749463515,diabetes
64,8,4,0.5,6,entropy,True,197,0.8299718899220045,diabetes
512,4,4,0.6,3,gini,True,198,0.8294924838288766,diabetes
64,16,1,0.6,10,log_loss,True,199,0.8339836181314251,diabetes
128,8,4,0.2,12,entropy,True,200,0.8342295659271833,diabetes
32,16,1,0.4,8,log_loss,True,201,0.831711490905949,diabetes
512,8,8,0.8,2,log_loss,False,202,0.8057276021487102,diabetes
64,16,4,0.8,9,gini,False,203,0.7947926132302877,diabetes
32,2,4,0.3,10,gini,True,204,0.8218047427248898,diabetes
128,2,1,0.4,9,gini,False,205,0.8144568720957976,diabetes
64,8,2,1.0,4,entropy,True,206,0.8304345920616089,diabetes
128,4,4,0.3,5,entropy,False,207,0.827636239636606,diabetes
32,8,4,0.4,9,log_loss,False,208,0.8109982507797006,diabetes
512,16,1,0.7,6,gini,True,209,0.834470943497239,diabetes
32,16,4,0.9,8,gini,True,210,0.8262338536080076,diabetes
32,2,1,0.9,14,entropy,False,211,0.7455922713783059,diabetes
256,2,2,0.3,1,entropy,True,212,0.8256361267807781,diabetes
512,16,1,0.7,7,log_loss,True,213,0.8326570104830425,diabetes
512,8,8,0.1,2,entropy,True,214,0.8175373603379107,diabetes
64,8,8,0.9,11,log_loss,True,215,0.8274251460978589,diabetes
512,16,1,1.0,7,gini,True,216,0.8271302423205872,diabetes
64,8,8,0.7,7,entropy,False,217,0.813366557650759,diabetes
128,4,8,0.6,2,log_loss,False,218,0.806242324850472,diabetes
512,8,2,0.5,1,entropy,False,219,0.7779493755295842,diabetes
128,16,8,0.2,4,gini,True,220,0.8225503867946612,diabetes
32,2,4,1.0,3,gini,False,221,0.7644044177037078,diabetes
32,2,4,0.8,3,gini,True,222,0.8245288194124513,diabetes
128,16,1,0.7,11,log_loss,False,223,0.8015042024610136,diabetes
32,16,1,0.8,14,gini,False,224,0.7930125504747615,diabetes
128,16,8,0.7,12,entropy,True,225,0.826750022659733,diabetes
512,4,8,0.6,4,gini,True,226,0.83350449950692,diabetes
32,16,1,0.5,2,log_loss,False,227,0.8051229370448519,diabetes
256,4,2,0.7,3,entropy,False,228,0.8139216873324333,diabetes
128,4,8,0.1,4,gini,False,229,0.8201010955842026,diabetes
256,4,4,0.2,15,entropy,True,230,0.8357357619042859,diabetes
128,4,8,1.0,5,gini,True,231,0.8285967856414481,diabetes
64,8,8,0.6,14,entropy,False,232,0.8152786383072191,diabetes
512,16,8,1.0,13,entropy,True,233,0.8276758892905643,diabetes
512,8,4,0.8,13,gini,False,234,0.7836363650419781,diabetes
64,8,2,0.9,13,log_loss,False,235,0.770185275103569,diabetes
512,2,8,0.1,11,gini,False,236,0.8310838801016561,diabetes
64,8,1,0.7,13,log_loss,False,237,0.7912961916667244,diabetes
256,16,1,0.1,7,gini,False,238,0.8307816942863218,diabetes
32,4,1,1.0,12,gini,False,239,0.6849424978690543,diabetes
32,8,8,0.8,10,entropy,True,240,0.8261756475917501,diabetes
512,4,8,0.8,7,entropy,True,241,0.8313021370882768,diabetes
256,8,1,0.7,9,gini,True,242,0.8251995505101585,diabetes
256,8,4,0.2,15,gini,False,243,0.8308621524755792,diabetes
64,16,8,0.3,5,gini,True,244,0.8275399429019764,diabetes
32,16,4,0.4,8,gini,True,245,0.8247606061886126,diabetes
256,16,4,0.7,10,entropy,True,246,0.8314076838576505,diabetes
64,4,2,0.5,9,log_loss,True,247,0.8272972315675795,diabetes
128,16,1,0.8,2,entropy,False,248,0.8012189517750145,diabetes
512,2,1,0.6,1,entropy,False,249,0.7779493755295842,diabetes
32,4,4,0.6,8,entropy,False,250,0.7991760075955364,diabetes
32,8,2,0.8,5,gini,False,251,0.8042477024201675,diabetes
32,2,1,0.1,8,gini,True,252,0.8258554863559286,diabetes
512,2,4,1.0,6,gini,False,253,0.7380964287150021,diabetes
512,8,2,0.2,13,gini,False,254,0.8309961368720525,diabetes
32,16,2,0.1,12,entropy,False,255,0.821950748263562,diabetes
64,8,1,0.7,11,entropy,False,256,0.786952741929765,diabetes
512,4,2,0.3,9,entropy,True,257,0.8334990668753495,diabetes
512,2,4,0.4,10,gini,False,258,0.8193944076409551,diabetes
128,8,4,0.3,1,gini,False,259,0.780653572598497,diabetes
32,4,1,0.5,10,gini,False,260,0.7998548298466467,diabetes
128,2,1,0.1,15,gini,False,261,0.8238163002845295,diabetes
32,16,8,0.8,11,log_loss,True,262,0.8257119021587108,diabetes
256,4,1,0.1,5,log_loss,False,263,0.8297121308726499,diabetes
256,4,8,0.3,13,log_loss,True,264,0.8319343744110834,diabetes
64,8,8,0.4,9,entropy,True,265,0.8325903072545701,diabetes
32,2,8,0.3,5,gini,True,266,0.8299309688010829,diabetes
64,2,8,0.4,1,gini,True,267,0.8151627494225634,diabetes
64,16,2,0.6,12,gini,False,268,0.808412604119559,diabetes
32,16,8,0.8,8,log_loss,False,269,0.7985405353125105,diabetes
32,2,1,0.9,8,entropy,False,270,0.7592856695945834,diabetes
64,4,4,0.2,8,log_loss,False,271,0.831600395917099,diabetes
128,8,1,0.2,14,gini,True,272,0.830628172531492,diabetes
128,2,2,0.7,8,gini,True,273,0.8194861994495434,diabetes
64,16,1,1.0,3,entropy,False,274,0.772622543670687,diabetes
64,2,1,0.4,4,log_loss,True,275,0.8307600763456616,diabetes
512,2,2,0.3,14,log_loss,True,276,0.8343270185408705,diabetes
32,4,2,1.0,11,log_loss,True,277,0.8113824582233035,diabetes
256,8,4,0.9,14,entropy,True,278,0.8228726256105031,diabetes
32,4,2,0.7,8,log_loss,False,279,0.7887265036432858,diabetes
32,4,4,0.9,5,entropy,False,280,0.7965835442512385,diabetes
64,8,8,0.8,1,gini,False,281,0.7633321912647788,diabetes
512,8,1,0.1,6,gini,True,282,0.8309940592920322,diabetes
256,8,4,0.9,14,gini,True,283,0.8218774535221781,diabetes
32,8,8,0.6,8,entropy,True,284,0.8282025798439973,diabetes
128,16,1,0.8,15,log_loss,True,285,0.8282774898137784,diabetes
256,16,8,0.2,12,entropy,False,286,0.8295399964627098,diabetes
512,4,1,0.5,14,gini,True,287,0.8223825261349509,diabetes
128,16,4,0.3,12,gini,False,288,0.8274416781706656,diabetes
32,2,1,1.0,8,log_loss,False,289,0.7147293968536012,diabetes
64,8,8,0.7,5,log_loss,True,290,0.8298349002399815,diabetes
256,4,2,0.5,9,entropy,False,291,0.8019837864394251,diabetes
64,2,4,0.3,8,gini,True,292,0.8321225755399239,diabetes
32,8,8,1.0,9,entropy,True,293,0.8281692282297609,diabetes
512,4,1,0.2,3,entropy,False,294,0.8158436537571188,diabetes
256,8,2,0.8,4,entropy,False,295,0.8120883888405972,diabetes
128,8,8,1.0,7,log_loss,True,296,0.8272168859639445,diabetes
128,4,1,0.4,14,gini,True,297,0.8215782182007239,diabetes
64,16,8,0.9,11,gini,True,298,0.8293021991154493,diabetes
64,16,8,0.9,13,log_loss,False,299,0.7908886887566863,diabetes
256,4,4,1.0,3,gini,True,300,0.8217656680081769,diabetes
