model__n_estimators,model__min_samples_split,model__min_samples_leaf,model__max_features,model__max_depth,model__criterion,model__bootstrap,Combination_ID,Score,Dataset
32,16,2,0.8,5,entropy,True,1,0.8283478355624236,diabetes
32,2,8,0.1,2,gini,True,2,0.8137312900333833,diabetes
64,4,1,0.7,9,entropy,False,3,0.7879997034044361,diabetes
32,4,2,0.9,8,gini,True,4,0.8151679463748976,diabetes
512,8,8,0.5,2,gini,False,5,0.8147230492762051,diabetes
64,8,4,0.2,11,gini,False,6,0.8249056870240388,diabetes
256,2,2,0.4,1,log_loss,False,7,0.7872808239394141,diabetes
256,2,2,0.1,6,entropy,True,8,0.8329335357832984,diabetes
32,8,4,0.4,7,gini,False,9,0.8185989421815184,diabetes
64,2,2,0.1,10,log_loss,False,10,0.8284359848508389,diabetes
32,2,2,0.1,7,log_loss,False,11,0.8263065111147679,diabetes
512,4,4,1.0,1,gini,True,12,0.7920879005192237,diabetes
32,16,4,0.7,15,entropy,False,13,0.7991939860183068,diabetes
32,16,8,0.7,4,log_loss,False,14,0.8128695791936726,diabetes
32,4,4,0.2,7,log_loss,False,15,0.8309300115831091,diabetes
512,4,4,1.0,10,log_loss,False,16,0.7298145410065809,diabetes
64,8,2,0.7,7,gini,True,17,0.8206781854668294,diabetes
128,4,2,0.2,8,entropy,False,18,0.8309732474644291,diabetes
256,8,4,0.9,6,log_loss,True,19,0.8286564380076692,diabetes
128,8,1,1.0,15,log_loss,False,20,0.7122396408692774,diabetes
256,16,4,0.1,3,log_loss,True,21,0.8257064755317067,diabetes
64,8,2,0.1,9,entropy,True,22,0.8344500220862968,diabetes
128,4,2,0.5,4,gini,True,23,0.831493115329139,diabetes
32,8,2,1.0,14,entropy,False,24,0.7179790600049243,diabetes
32,4,4,0.2,8,log_loss,False,25,0.8244476676957593,diabetes
256,8,1,0.8,15,log_loss,True,26,0.8233018042551542,diabetes
32,16,8,0.3,10,log_loss,False,27,0.829298037950842,diabetes
64,4,1,0.2,12,entropy,False,28,0.8266886394772088,diabetes
256,2,1,0.6,9,log_loss,False,29,0.7994212633650019,diabetes
64,8,2,0.5,10,log_loss,True,30,0.8197553804143589,diabetes
512,8,2,0.3,15,gini,True,31,0.832447538177259,diabetes
128,8,4,0.4,12,log_loss,False,32,0.810329772145014,diabetes
32,8,4,0.9,5,gini,True,33,0.8287564365575664,diabetes
64,4,1,0.1,8,gini,False,34,0.8294037003081214,diabetes
128,4,8,0.3,14,gini,True,35,0.8292002385734375,diabetes
128,8,8,1.0,11,gini,True,36,0.8282355253994216,diabetes
64,2,4,0.8,9,gini,False,37,0.7839713260331616,diabetes
128,16,4,0.9,15,entropy,True,38,0.8279827016244123,diabetes
256,4,8,0.2,11,log_loss,False,39,0.8319132188220464,diabetes
256,2,4,0.4,15,entropy,True,40,0.8327611701975469,diabetes
32,16,8,0.7,1,entropy,False,41,0.7709420156122931,diabetes
512,16,2,0.5,7,entropy,True,42,0.8368240505586905,diabetes
32,2,1,1.0,15,log_loss,True,43,0.8080624418176269,diabetes
64,2,1,1.0,9,log_loss,False,44,0.7133307096379866,diabetes
512,16,2,0.9,12,log_loss,False,45,0.7900260562160129,diabetes
128,16,1,0.4,10,entropy,True,46,0.8332551433690837,diabetes
128,16,8,0.2,9,log_loss,False,47,0.8314423662339445,diabetes
32,16,2,0.3,7,entropy,False,48,0.8275515016925521,diabetes
128,16,2,1.0,6,gini,False,49,0.7588234860994133,diabetes
128,8,1,0.2,13,gini,True,50,0.8285834960345694,diabetes
256,16,8,0.2,13,gini,False,51,0.8314163559528657,diabetes
64,8,1,0.1,15,log_loss,False,52,0.8220590691426737,diabetes
128,16,1,0.2,8,log_loss,False,53,0.8320641976429494,diabetes
32,4,2,0.4,2,gini,False,54,0.8085252610462783,diabetes
64,4,4,0.8,11,log_loss,True,55,0.8233638246723016,diabetes
512,8,1,0.5,15,gini,True,56,0.8217113326856208,diabetes
