model__n_estimators,model__min_samples_split,model__min_samples_leaf,model__max_features,model__max_depth,model__criterion,model__bootstrap,Combination_ID,Score,Dataset
32,16,2,0.8,5,entropy,True,1,0.9993672824365514,banknote
32,2,8,0.1,2,gini,True,2,0.9753724211197738,banknote
64,4,1,0.7,9,entropy,False,3,0.9998194951797353,banknote
32,4,2,0.9,8,gini,True,4,0.9995383120213422,banknote
512,8,8,0.5,2,gini,False,5,0.9752319879893311,banknote
64,8,4,0.2,11,gini,False,6,0.9998837619942537,banknote
256,2,2,0.4,1,log_loss,False,7,0.9279886223654091,banknote
256,2,2,0.1,6,entropy,True,8,0.9992841285305869,banknote
32,8,4,0.4,7,gini,False,9,0.9992649245416331,banknote
64,2,2,0.1,10,log_loss,False,10,0.999838825927692,banknote
32,2,2,0.1,7,log_loss,False,11,0.9996197863705171,banknote
512,4,4,1.0,1,gini,True,12,0.9057825524091436,banknote
32,16,4,0.7,15,entropy,False,13,0.9997227780604504,banknote
32,16,8,0.7,4,log_loss,False,14,0.9971570649257079,banknote
32,4,4,0.2,7,log_loss,False,15,0.9990714586133124,banknote
512,4,4,1.0,10,log_loss,False,16,0.9927421756104016,banknote
64,8,2,0.7,7,gini,True,17,0.9997548797779587,banknote
128,4,2,0.2,8,entropy,False,18,0.999838825927692,banknote
256,8,4,0.9,6,log_loss,True,19,0.9997353588914976,banknote
128,8,1,1.0,15,log_loss,False,20,0.9906188989307371,banknote
256,16,4,0.1,3,log_loss,True,21,0.989293364191545,banknote
64,8,2,0.1,9,entropy,True,22,0.9997355490300022,banknote
128,4,2,0.5,4,gini,True,23,0.9969855758395312,banknote
32,8,2,1.0,14,entropy,False,24,0.9912170429761189,banknote
32,4,4,0.2,8,log_loss,False,25,0.9995614455393887,banknote
256,8,1,0.8,15,log_loss,True,26,0.9998644629360478,banknote
32,16,8,0.3,10,log_loss,False,27,0.9995228474229768,banknote
64,4,1,0.2,12,entropy,False,28,0.9999547787256816,banknote
256,2,1,0.6,9,log_loss,False,29,0.9998131255398349,banknote
64,8,2,0.5,10,log_loss,True,30,0.9998257380606329,banknote
512,8,2,0.3,15,gini,True,31,0.9997998475342712,banknote
128,8,4,0.4,12,log_loss,False,32,0.9998064706921777,banknote
32,8,4,0.9,5,gini,True,33,0.999309068364426,banknote
64,4,1,0.1,8,gini,False,34,0.9998320760107826,banknote
128,4,8,0.3,14,gini,True,35,0.9993159450403385,banknote
128,8,8,1.0,11,gini,True,36,0.9978463011596167,banknote
64,2,4,0.8,9,gini,False,37,0.9994066411069813,banknote
128,16,4,0.9,15,entropy,True,38,0.9996772081988737,banknote
256,4,8,0.2,11,log_loss,False,39,0.9996456768968788,banknote
256,2,4,0.4,15,entropy,True,40,0.9997740520771617,banknote
32,16,8,0.7,1,entropy,False,41,0.9256653358238941,banknote
512,16,2,0.5,7,entropy,True,42,0.9997224928526935,banknote
32,2,1,1.0,15,log_loss,True,43,0.9996191208857513,banknote
64,2,1,1.0,9,log_loss,False,44,0.9906188989307371,banknote
512,16,2,0.9,12,log_loss,False,45,0.9992141892506844,banknote
