,model__bootstrap,model__criterion,model__max_depth,model__max_features,model__min_samples_leaf,model__min_samples_split,model__n_estimators,Score
0,False,log_loss,11,0.49842851354114404,1,16,32,0.9358952781673681
0,True,log_loss,15,0.6675306458940119,8,16,32,0.9325853202431041
0,True,entropy,10,0.9921560176191884,2,2,223,0.9340034283933302
0,True,log_loss,8,0.9974171562458122,1,8,377,0.9355960729312763
0,False,entropy,7,0.4202836792218523,1,2,32,0.9349197444288609
0,False,entropy,10,0.6458304923448871,5,2,120,0.9362911017609475
0,False,entropy,14,0.4453814985647726,5,12,32,0.938345021037868
0,False,log_loss,12,0.8596795554013253,1,5,250,0.9361851332398318
0,False,log_loss,13,0.546895014483088,1,9,32,0.940564126538881
0,False,entropy,15,0.6729481923371373,2,10,73,0.9365092722455977
0,False,log_loss,9,0.7981171736190956,3,15,354,0.9338133083995638
0,True,log_loss,15,1.0,1,7,399,0.9335047529998443
0,False,entropy,15,0.6797029963963137,2,16,32,0.9332148979273804
0,False,log_loss,8,0.515225417785666,8,2,512,0.9330341280972417
0,False,entropy,14,0.772441375296076,3,9,214,0.9347763752532336
0,False,entropy,10,0.5171224378795175,6,3,447,0.9345239208352814
0,False,log_loss,15,0.6547445467002198,3,15,32,0.9341997818295154
0,False,log_loss,8,0.7759575184789657,1,10,506,0.935561788997974
0,False,entropy,9,0.5343236527409695,4,6,328,0.935527505064672
0,False,log_loss,8,0.5960884066489872,2,9,484,0.936166432912576
0,True,entropy,15,0.9942505923905453,1,2,484,0.9352532335982547
0,False,entropy,11,0.7972356564704726,3,12,87,0.937325853202431
0,False,entropy,9,0.5167899970139094,1,16,189,0.9357456755493222
0,False,log_loss,13,0.5437523222316264,1,2,32,0.9366370578151785
0,True,entropy,15,0.8592023830604767,2,2,512,0.9331400966183576
0,True,log_loss,12,1.0,1,4,273,0.9368676951846657
0,False,log_loss,8,0.633659502341376,3,15,224,0.9344553529686769
0,False,log_loss,9,0.6608643765874009,2,5,46,0.9368770453482936
0,False,entropy,11,0.6479406075979014,4,2,32,0.9382359357955431
0,True,entropy,6,1.0,1,16,47,0.9340595293750974
0,True,log_loss,10,0.5258459516298422,1,2,293,0.9360417640642046
0,True,entropy,13,1.0,2,4,431,0.9353062178588126
0,False,log_loss,15,0.8099972713903778,1,2,310,0.9346111890291414
0,True,entropy,9,1.0,1,2,32,0.934629889356397
0,False,log_loss,13,0.44638346026532094,1,7,512,0.9353155680224403
0,True,log_loss,11,1.0,3,2,419,0.9349633785257909
0,False,log_loss,11,0.6818415569780856,7,3,373,0.9340595293750974
0,False,entropy,15,0.883852291718064,4,2,512,0.935203366058906
0,True,entropy,15,0.7535122714218033,1,2,32,0.9337790244662615
0,False,entropy,10,0.5592017429304799,1,2,512,0.9352282998285802
0,True,entropy,8,0.9106824724919614,3,2,467,0.9379336138382421
0,False,entropy,12,0.789935782048833,1,2,51,0.9344927536231884
0,False,entropy,8,0.4763312051812726,2,9,294,0.935190899174069
0,False,entropy,15,0.7517010148159589,2,7,212,0.9362505843852267
0,True,log_loss,10,1.0,1,2,512,0.9359763129188093
0,False,entropy,12,0.8867656988513607,2,2,33,0.9367741935483872
0,False,log_loss,12,0.5414040313716749,6,11,483,0.9346361227988157
0,True,entropy,15,1.0,1,2,369,0.9363534361851332
0,False,log_loss,7,0.4650006105603709,6,6,240,0.9334611189029142
0,False,gini,13,0.6116346827787632,6,10,505,0.9340377123266324
