dataset,model__bootstrap,model__criterion,model__max_depth,model__max_features,model__min_samples_leaf,model__min_samples_split,model__n_estimators,Score
0,False,log_loss,5,0.9561015159339964,7,3,98,0.9651117840446012
0,False,log_loss,11,0.8510225618846498,5,8,50,0.964171104277607
0,False,entropy,5,0.7869087541184252,5,16,316,0.9640854771369284
0,False,log_loss,13,0.7135355002908946,4,9,505,0.9640400385009624
0,False,entropy,14,0.9234577859703118,7,5,127,0.9639877246931172
0,False,log_loss,13,0.7523489081971078,7,12,474,0.9646235843396084
0,False,log_loss,14,0.7728576652634103,6,10,357,0.9650243131078275
0,True,entropy,8,0.5311830378989743,6,6,36,0.9638243768594214
0,True,entropy,8,1.0,3,2,502,0.9637510625265632
0,False,log_loss,14,0.7740787581852334,7,11,377,0.9643797657441436
0,True,log_loss,10,0.9157388082599665,1,10,45,0.9644062039050976
0,True,log_loss,9,0.8324961114836122,6,5,509,0.9640575389384736
0,False,entropy,5,0.861637999135287,1,15,471,0.9642161054026352
0,True,log_loss,7,0.1,1,2,242,0.9655306382659568
0,False,entropy,5,0.9837552131626116,5,14,118,0.9640895084877122
0,True,entropy,6,1.0,1,2,512,0.9654058538963474
0,False,log_loss,6,0.7046081750428272,8,15,296,0.9643125453136328
0,True,log_loss,8,0.4822711473020575,1,7,512,0.9639430048251206
0,True,gini,15,0.9395969084460348,2,6,421,0.9641935423385584
0,False,entropy,11,0.8861126686636361,4,15,512,0.9647413060326508
0,True,log_loss,6,1.0,1,2,512,0.9656805170129252
0,False,log_loss,10,0.8568968113910913,5,10,446,0.9644564239105978
0,False,log_loss,6,0.9914927911112572,7,6,109,0.9643852033800844
0,False,entropy,7,0.7980759499617609,6,10,106,0.9645560201505038
0,True,entropy,6,0.1,1,2,512,0.9645568014200356
0,False,entropy,6,0.7658753129767586,6,4,500,0.9644494549863746
0,False,log_loss,6,0.7897223184253735,4,14,408,0.9647836508412712
0,False,log_loss,5,0.7581581741542479,4,12,496,0.9646015525388134
0,True,entropy,6,0.9581438468193128,3,4,399,0.9642845758643966
0,True,entropy,13,0.6402342229247068,3,4,491,0.9638751593789844
0,True,log_loss,6,0.8021713188379326,4,7,393,0.96438607840196
0,False,log_loss,6,0.7632931620230018,2,11,224,0.9646857421435536
0,False,entropy,6,0.797159865066872,1,9,298,0.9642046363659093
0,True,entropy,11,0.4736094549870251,4,3,211,0.9641477286932174
0,True,gini,6,0.371136815559123,2,4,232,0.964589208480212
0,False,entropy,7,0.9103913980310714,3,7,349,0.9649982187054676
0,True,entropy,13,0.9555730869217056,2,2,392,0.9643375771894296
0,False,entropy,6,0.6764347935732932,6,6,483,0.9645004562614066
0,False,log_loss,12,0.8864227338899662,8,16,501,0.9644496424910622
0,False,entropy,12,0.9213419568835496,7,7,98,0.9645861459036476
0,True,entropy,8,0.9106824724919614,3,2,467,0.9644488299707492
0,True,entropy,7,1.0,1,4,512,0.964827245681142
0,True,entropy,8,0.3465065531105981,3,2,437,0.9645299569989252
0,True,log_loss,7,0.8826816389921609,1,2,264,0.964659960249006
0,True,gini,6,0.9206843686211776,3,5,50,0.9651910985274632
0,True,gini,13,0.7001864275285804,3,3,250,0.9640375696892424
0,True,log_loss,8,1.0,1,2,512,0.9646477099427484
0,True,entropy,6,0.471697726093908,1,2,150,0.9657855196379912
0,True,log_loss,14,0.8328922779903282,5,4,479,0.9638057826445662
0,False,entropy,13,0.9830651041343612,4,10,200,0.9636009650241256
1,False,log_loss,11,0.498428513541144,1,16,32,0.935895278167368
1,True,log_loss,15,0.6675306458940119,8,16,32,0.932585320243104
1,True,entropy,10,0.9921560176191884,2,2,223,0.9340034283933302
1,True,log_loss,8,0.9974171562458122,1,8,377,0.9355960729312764
1,False,entropy,7,0.4202836792218523,1,2,32,0.9349197444288608
1,False,entropy,10,0.6458304923448871,5,2,120,0.9362911017609477
1,False,entropy,14,0.4453814985647726,5,12,32,0.938345021037868
1,False,log_loss,12,0.8596795554013253,1,5,250,0.9361851332398318
1,False,log_loss,13,0.546895014483088,1,9,32,0.940564126538881
1,False,entropy,15,0.6729481923371373,2,10,73,0.9365092722455975
1,False,log_loss,9,0.7981171736190956,3,15,354,0.9338133083995638
1,True,log_loss,15,1.0,1,7,399,0.9335047529998444
1,False,entropy,15,0.6797029963963137,2,16,32,0.9332148979273804
1,False,log_loss,8,0.515225417785666,8,2,512,0.9330341280972416
1,False,entropy,14,0.772441375296076,3,9,214,0.9347763752532336
1,False,entropy,10,0.5171224378795175,6,3,447,0.9345239208352814
1,False,log_loss,15,0.6547445467002198,3,15,32,0.9341997818295154
1,False,log_loss,8,0.7759575184789657,1,10,506,0.935561788997974
1,False,entropy,9,0.5343236527409695,4,6,328,0.935527505064672
1,False,log_loss,8,0.5960884066489872,2,9,484,0.936166432912576
1,True,entropy,15,0.9942505923905453,1,2,484,0.9352532335982549
1,False,entropy,11,0.7972356564704726,3,12,87,0.937325853202431
1,False,entropy,9,0.5167899970139094,1,16,189,0.9357456755493222
1,False,log_loss,13,0.5437523222316264,1,2,32,0.9366370578151784
1,True,entropy,15,0.8592023830604767,2,2,512,0.9331400966183576
1,True,log_loss,12,1.0,1,4,273,0.9368676951846656
1,False,log_loss,8,0.633659502341376,3,15,224,0.9344553529686768
1,False,log_loss,9,0.6608643765874009,2,5,46,0.9368770453482936
1,False,entropy,11,0.6479406075979014,4,2,32,0.9382359357955432
1,True,entropy,6,1.0,1,16,47,0.9340595293750974
1,True,log_loss,10,0.5258459516298422,1,2,293,0.9360417640642046
1,True,entropy,13,1.0,2,4,431,0.9353062178588126
1,False,log_loss,15,0.8099972713903778,1,2,310,0.9346111890291414
1,True,entropy,9,1.0,1,2,32,0.934629889356397
1,False,log_loss,13,0.4463834602653209,1,7,512,0.9353155680224404
1,True,log_loss,11,1.0,3,2,419,0.9349633785257908
1,False,log_loss,11,0.6818415569780856,7,3,373,0.9340595293750974
1,False,entropy,15,0.883852291718064,4,2,512,0.935203366058906
1,True,entropy,15,0.7535122714218033,1,2,32,0.9337790244662616
1,False,entropy,10,0.5592017429304799,1,2,512,0.9352282998285802
1,True,entropy,8,0.9106824724919614,3,2,467,0.937933613838242
1,False,entropy,12,0.789935782048833,1,2,51,0.9344927536231884
1,False,entropy,8,0.4763312051812726,2,9,294,0.935190899174069
1,False,entropy,15,0.7517010148159589,2,7,212,0.9362505843852268
1,True,log_loss,10,1.0,1,2,512,0.9359763129188092
1,False,entropy,12,0.8867656988513607,2,2,33,0.9367741935483872
1,False,log_loss,12,0.5414040313716749,6,11,483,0.9346361227988156
1,True,entropy,15,1.0,1,2,369,0.9363534361851332
1,False,log_loss,7,0.4650006105603709,6,6,240,0.9334611189029142
1,False,gini,13,0.6116346827787632,6,10,505,0.9340377123266324
2,True,log_loss,11,0.3290988320776404,5,6,182,0.8353382010552846
2,True,entropy,6,0.495169088949343,1,16,512,0.8378210157606961
2,True,log_loss,8,0.3969828244829212,8,3,501,0.8360202597677561
2,True,log_loss,10,0.4545229376333094,7,15,399,0.8339787041442888
2,True,entropy,6,0.3904763838048425,1,2,512,0.8371245055577218
2,True,log_loss,10,0.3607908466554018,1,16,512,0.8359407262817445
2,True,entropy,8,0.358032276710991,4,5,380,0.8366788541353586
2,True,log_loss,10,0.3347738833796947,4,16,392,0.8373764046294848
2,True,log_loss,6,0.3664464982966003,3,12,62,0.8351660666453444
2,True,entropy,4,0.5809353571393364,1,10,169,0.837954768981358
2,True,entropy,7,0.341181161125368,1,11,88,0.8380181201605633
2,True,entropy,9,0.2889854970332988,1,12,512,0.8368333005934344
2,True,entropy,15,0.2477584625782675,5,16,509,0.8348849208311413
2,True,log_loss,12,0.2712127966560351,3,14,327,0.8381820448269112
2,True,log_loss,15,0.1,1,16,512,0.8370512138186212
2,True,entropy,10,0.1,1,16,512,0.8363831412427465
2,True,log_loss,7,0.2937552472050911,5,12,512,0.8385370633220272
2,True,gini,5,0.4094729791809576,1,16,512,0.8370601140873646
2,True,gini,4,0.7024036995981389,3,13,32,0.8388758965080534
2,True,entropy,13,0.1430073326045285,1,10,361,0.838124591633183
2,True,log_loss,13,0.2215996225922526,4,9,76,0.8372273938052629
2,True,gini,8,0.1,5,3,32,0.8368230132698219
2,True,log_loss,6,0.3969084033432066,2,12,343,0.8367969999864598
2,True,gini,15,0.3426140856548739,1,12,360,0.8341711850279255
2,True,gini,6,0.3081895571507622,3,2,211,0.8358278974743082
2,True,entropy,13,0.4099082917105097,1,16,512,0.8373073896428972
2,True,gini,10,0.2972934235567244,5,5,224,0.8345136014390304
2,True,log_loss,7,0.1744611568363027,1,5,312,0.8363392118339918
2,True,log_loss,5,0.4159467046363568,2,15,453,0.8366810503055678
2,True,log_loss,8,0.2755516614773583,1,16,512,0.8382429686600957
2,True,entropy,15,0.3680238550331002,1,15,255,0.8355583104506809
2,True,log_loss,8,0.1,1,16,473,0.8363563218463274
2,True,entropy,9,0.1,1,2,512,0.8380230934427942
2,True,entropy,7,0.3994802064765589,4,16,245,0.8343722194165885
2,True,log_loss,13,0.3745906533966,1,16,512,0.8378448298715657
2,True,entropy,4,0.3690748083063416,8,15,201,0.8351968190328426
2,True,log_loss,10,0.4928996756809926,1,16,434,0.838431285376842
2,True,log_loss,4,0.3492410274823754,3,6,129,0.8413332788719149
2,True,entropy,15,0.2595281761477699,4,4,489,0.8350965893071339
2,True,log_loss,10,0.4115312834153032,3,11,289,0.834468169387501
2,True,entropy,15,0.1920451274015109,6,4,175,0.8344014661590285
2,True,gini,13,0.1,3,16,66,0.8372013835241839
2,True,entropy,15,0.1,1,16,512,0.8368075214881671
2,True,gini,8,0.4326897631314497,3,12,214,0.8346927867112218
2,True,entropy,12,0.2350480607321297,1,16,512,0.83653492917899
2,True,entropy,13,0.3898409214293342,3,16,512,0.8349620269711316
2,True,entropy,7,0.4988859864119774,6,13,160,0.8359867362728028
2,True,entropy,14,0.2999831134004275,2,16,416,0.8366594323649078
2,True,log_loss,7,0.3313278794614199,5,16,512,0.8370399987894794
2,True,entropy,11,0.1,1,16,512,0.8378107284370837
3,True,log_loss,15,0.1,1,2,512,0.9999418809971268
3,True,entropy,15,0.1,1,2,32,0.9998999554568864
3,False,entropy,12,0.1832348164037889,1,15,296,0.9999096208308648
3,False,entropy,14,0.1007846829114796,2,4,460,0.9999226136286716
3,False,log_loss,14,0.3030761693173432,1,2,380,0.9999483773960304
3,False,log_loss,15,0.2026172807861259,1,16,351,0.9998839204430076
3,False,log_loss,15,0.3281031581042923,1,6,39,0.999954873794934
3,True,log_loss,11,0.1,1,2,32,0.9999064677006652
3,True,log_loss,14,0.1,1,2,32,0.999906372631413
3,False,entropy,15,0.4023738673534025,1,4,67,0.9999484249306564
3,True,gini,15,0.1,1,2,512,0.9999225185594196
3,False,gini,13,0.4019134987592859,1,8,453,0.9999161172297684
3,False,log_loss,15,0.1000776343671567,2,4,178,0.99992255024917
3,True,entropy,12,0.1,1,2,512,0.9999419126868776
3,False,gini,10,0.1467249000518758,1,15,65,0.999883857063506
3,True,log_loss,9,0.1196389148968637,1,4,77,0.9998904168419108
3,False,log_loss,10,0.1446481485651784,3,6,496,0.9998516285869944
3,False,log_loss,11,0.1033734990246769,2,6,286,0.9999096842103662
3,False,log_loss,12,0.1,1,9,146,0.9999419443766284
3,False,log_loss,12,0.114831448083027,2,2,439,0.9999096842103662
3,False,entropy,13,0.1520958153264996,2,7,237,0.9999290149583228
3,True,log_loss,9,0.2862568298988643,1,3,324,0.9998967231023098
3,True,entropy,10,0.999851835143562,1,2,32,0.9999096842103664
3,True,log_loss,15,0.7327735547265772,2,7,216,0.9998644629360478
3,False,entropy,10,0.1,1,2,432,0.9999289832685722
3,True,log_loss,15,0.6031296740194894,2,3,39,0.9998192416617294
3,False,entropy,15,0.1,1,16,512,0.9998773923543532
3,False,gini,9,0.1,1,2,512,0.9998901950136556
3,True,log_loss,9,0.2094252760916956,1,11,292,0.999780580165816
3,False,entropy,12,0.1,1,16,32,0.9999031878114628
3,True,entropy,13,0.3121361230640275,1,2,32,0.9999160855400174
3,False,entropy,11,0.1,1,2,276,0.9999419443766284
3,False,entropy,11,0.1,1,2,512,0.9999419443766284
3,False,entropy,11,0.20908536172893,3,14,401,0.999858124985898
3,False,entropy,15,0.3431709318126129,2,2,352,0.99992255024917
3,False,log_loss,13,0.1,1,7,512,0.99992255024917
3,True,log_loss,15,0.2092601569092893,1,2,252,0.9999159587810144
3,True,log_loss,13,0.1,1,2,32,0.999903156121712
3,False,gini,12,0.1,2,13,443,0.999838604099437
3,True,entropy,10,0.1,1,2,512,0.9999160855400177
3,False,entropy,10,0.1,1,2,220,0.9999097475898676
3,False,entropy,12,0.1286903016991161,1,7,512,0.99992255024917
3,True,log_loss,11,0.6218059550541455,1,5,364,0.999916022160516
3,True,gini,14,0.1,1,2,512,0.9999483140165288
3,True,entropy,10,0.1176138242214748,1,2,217,0.9998966914125592
3,False,log_loss,15,0.3857919631381418,1,5,218,0.9999354796674756
3,False,entropy,15,0.1,1,2,512,0.9999289832685722
3,False,gini,12,0.1,1,4,498,0.999909589141114
3,False,gini,12,0.1546157608530325,2,4,460,0.9998644629360478
3,False,gini,9,0.1,1,2,512,0.999877297285101
