,model__bootstrap,model__criterion,model__max_depth,model__max_features,model__min_samples_leaf,model__min_samples_split,model__n_estimators,Score
0,True,log_loss,15,0.1,1,2,512,0.9999418809971269
0,True,entropy,15,0.1,1,2,32,0.9998999554568865
0,False,entropy,12,0.18323481640378897,1,15,296,0.9999096208308647
0,False,entropy,14,0.10078468291147961,2,4,460,0.9999226136286716
0,False,log_loss,14,0.30307616931734327,1,2,380,0.9999483773960304
0,False,log_loss,15,0.2026172807861259,1,16,351,0.9998839204430076
0,False,log_loss,15,0.32810315810429236,1,6,39,0.9999548737949339
0,True,log_loss,11,0.1,1,2,32,0.9999064677006652
0,True,log_loss,14,0.1,1,2,32,0.999906372631413
0,False,entropy,15,0.4023738673534025,1,4,67,0.9999484249306564
0,True,gini,15,0.1,1,2,512,0.9999225185594195
0,False,gini,13,0.40191349875928595,1,8,453,0.9999161172297683
0,False,log_loss,15,0.10007763436715672,2,4,178,0.9999225502491701
0,True,entropy,12,0.1,1,2,512,0.9999419126868777
0,False,gini,10,0.1467249000518758,1,15,65,0.999883857063506
0,True,log_loss,9,0.11963891489686376,1,4,77,0.9998904168419109
0,False,log_loss,10,0.1446481485651784,3,6,496,0.9998516285869945
0,False,log_loss,11,0.10337349902467691,2,6,286,0.9999096842103662
0,False,log_loss,12,0.1,1,9,146,0.9999419443766283
0,False,log_loss,12,0.11483144808302703,2,2,439,0.9999096842103662
0,False,entropy,13,0.1520958153264996,2,7,237,0.9999290149583229
0,True,log_loss,9,0.28625682989886436,1,3,324,0.9998967231023098
0,True,entropy,10,0.999851835143562,1,2,32,0.9999096842103663
0,True,log_loss,15,0.7327735547265772,2,7,216,0.9998644629360478
0,False,entropy,10,0.1,1,2,432,0.9999289832685722
0,True,log_loss,15,0.6031296740194894,2,3,39,0.9998192416617294
0,False,entropy,15,0.1,1,16,512,0.9998773923543532
0,False,gini,9,0.1,1,2,512,0.9998901950136557
0,True,log_loss,9,0.2094252760916956,1,11,292,0.9997805801658161
0,False,entropy,12,0.1,1,16,32,0.9999031878114627
0,True,entropy,13,0.3121361230640275,1,2,32,0.9999160855400174
0,False,entropy,11,0.1,1,2,276,0.9999419443766283
0,False,entropy,11,0.1,1,2,512,0.9999419443766283
0,False,entropy,11,0.20908536172893005,3,14,401,0.9998581249858981
0,False,entropy,15,0.34317093181261293,2,2,352,0.9999225502491701
0,False,log_loss,13,0.1,1,7,512,0.9999225502491701
0,True,log_loss,15,0.20926015690928934,1,2,252,0.9999159587810144
0,True,log_loss,13,0.1,1,2,32,0.9999031561217119
0,False,gini,12,0.1,2,13,443,0.999838604099437
0,True,entropy,10,0.1,1,2,512,0.9999160855400175
0,False,entropy,10,0.1,1,2,220,0.9999097475898676
0,False,entropy,12,0.12869030169911613,1,7,512,0.9999225502491701
0,True,log_loss,11,0.6218059550541455,1,5,364,0.9999160221605159
0,True,gini,14,0.1,1,2,512,0.9999483140165287
0,True,entropy,10,0.11761382422147486,1,2,217,0.9998966914125592
0,False,log_loss,15,0.3857919631381418,1,5,218,0.9999354796674756
0,False,entropy,15,0.1,1,2,512,0.9999289832685722
0,False,gini,12,0.1,1,4,498,0.9999095891411139
0,False,gini,12,0.15461576085303258,2,4,460,0.9998644629360478
0,False,gini,9,0.1,1,2,512,0.999877297285101
