trial,booster,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,value,time,dataset
0,gbtree,0.24646688973455957,0.32479561626896214,0.2657846934562037,9,20.814367336189438,755,64.77532426827341,4.0428727350273315,0.7989954563585538,0.8398811100008465,0.805571,45062
1,gbtree,0.34672360788274703,0.3454599737656805,0.00011861690371243162,13,27.967067056141072,1419,0.010996218010237245,1.40779231399724,0.9774323891214958,0.8417839911985224,3.076825,45062
2,gbtree,0.5648559873736287,0.4930894746349534,0.0011195018979975153,3,38.1023703639727,870,18.533502111715695,0.01577766363058246,0.7088896710417846,0.8331725500377208,1.472248,45062
3,gbtree,0.9591084298026666,0.25204127438822366,0.013611714042498597,10,22.656563708286026,1033,301.0828323371717,70.85721663941601,0.28483780953999827,0.5,1.078955,45062
4,gbtree,0.22751081689217473,0.5961415280890161,0.00022481268581995073,7,16.49885582528691,616,126.14674784489826,0.035700959600309494,0.7631747698841177,0.8244400090995668,0.892837,45062
5,gbtree,0.8201062586888916,0.9756677022116469,0.001326789408689306,9,24.476515851741933,1329,201.0721987450936,233.86439256208715,0.6400510158833581,0.8071304584344766,2.256936,45062
6,gbtree,0.5109418317515857,0.4602642646106115,0.20924076492348906,3,6.743865691638335,1200,0.006615366471747824,93.84800715909533,0.3163693765389396,0.8552373196843993,2.125164,45062
7,gbtree,0.9895095492804138,0.2596405149438167,0.001027881282043665,3,102.87901655576304,720,15.177443791190449,0.015570196345516612,0.6570220623686863,0.8278660821863578,1.109648,45062
8,gbtree,0.48677258283541813,0.2592357213872723,0.08656473142106183,11,98.9513340291151,20,0.0005989585937565717,150.8761367568167,0.7801430078857128,0.8027963203764632,0.135486,45062
9,gbtree,0.7100459770841705,0.7836849426704513,0.0015556594680629077,5,42.298281897396876,1250,89.64989861647395,0.6812233896860297,0.2976687627145177,0.8152321048911976,1.942951,45062
10,gbtree,0.4141461509698972,0.48941405283079625,0.030327967312050605,1,72.83286251653821,1908,0.042960803961343164,10.316833991568032,0.438232154979619,0.8328484189676288,2.021386,45062
11,gbtree,0.3920532665109229,0.4179306474477347,0.3754414196483786,14,4.985159028766695,1661,0.012235083102284765,0.5704409526595715,0.959357289980285,0.8257066127080925,5.276197,45062
