trial,C,class_weight,l1_ratio,max_iter,penalty,solver,value,time,dataset
0,0.09915644566638401,balanced,0.6351221010640696,1500,elasticnet,saga,0.8098475706459055,0.101299,43980
1,71.77141927992021,balanced,0.024810409748678097,1500,elasticnet,saga,0.8119067666282198,0.186514,43980
2,0.0017707168643537846,balanced,0.0004207053950287938,1500,elasticnet,saga,0.7927264273356401,0.0355,43980
3,0.00029152036385288323,balanced,0.29154431891537513,1500,elasticnet,saga,0.5,0.019903,43980
4,6.4405075539937195,balanced,0.06796578090758151,1500,elasticnet,saga,0.8119220371972318,0.180778,43980
5,0.00014610865886287216,balanced,0.7579479953348001,1500,elasticnet,saga,0.5,0.018645,43980
6,456.6054873446131,balanced,0.0007068974950624604,1500,elasticnet,saga,0.811894511726259,0.186047,43980
7,0.002848391870910803,balanced,0.0005415244119402539,1500,elasticnet,saga,0.7979333789888504,0.038585,43980
8,0.027160511446548512,balanced,0.012561043700013555,1500,elasticnet,saga,0.810628340061515,0.06029,43980
9,0.2854697857797185,balanced,0.0014618962793704966,1500,elasticnet,saga,0.811807838331411,0.141576,43980
10,11.640697233653293,balanced,0.07388629290069337,1500,elasticnet,saga,0.8119159578046904,0.193446,43980
11,5.508884458799135,balanced,0.07631550861559501,1500,elasticnet,saga,0.8119311923298731,0.19602,43980
12,4.52199103147807,balanced,0.08566301930727137,1500,elasticnet,saga,0.8119526504229142,0.191122,43980
13,2709.947085764851,balanced,0.003500329357015982,1500,elasticnet,saga,0.811894511726259,0.190885,43980
14,2.401407864327359,balanced,0.00011290337641647077,1500,elasticnet,saga,0.8119496107266435,0.182502,43980
15,0.9698411525551185,balanced,0.00011715834360217012,1500,elasticnet,saga,0.8119340397923877,0.174473,43980
16,123.4639717559386,balanced,0.003839314909116659,1500,elasticnet,saga,0.8118914480007688,0.190607,43980
17,6631.495337858487,balanced,0.00012026019672435916,1500,elasticnet,saga,0.811894511726259,0.188617,43980
18,0.014241212306042661,balanced,0.02326668680048591,1500,elasticnet,saga,0.8090362600922723,0.046863,43980
19,0.9565496924329463,balanced,0.1873047512951449,1500,elasticnet,saga,0.811927816224529,0.174506,43980
20,29.838181599542306,balanced,0.002742529996331063,1500,elasticnet,saga,0.8119129301230295,0.190619,43980
21,1.083008988998933,balanced,0.0001561864722256642,1500,elasticnet,saga,0.8119248726451364,0.174697,43980
22,0.9968294212874428,balanced,0.0002509078115730038,1500,elasticnet,saga,0.8119432189542485,0.179161,43980
23,2.2831113458151546,balanced,0.000297512671746726,1500,elasticnet,saga,0.8119373558246827,0.180905,43980
24,0.17192772082468014,balanced,0.0013658287383093352,1500,elasticnet,saga,0.8115990484429065,0.129717,43980
25,250.83053381440303,balanced,0.00023989396332772052,1500,elasticnet,saga,0.811894511726259,0.191841,43980
26,28.49884587989484,balanced,0.008425887827762036,1500,elasticnet,saga,0.8119129301230295,0.189674,43980
27,0.052507794671352435,balanced,0.0007868553528824847,1500,elasticnet,saga,0.8111595780469051,0.08465,43980
28,2.9002879225189355,balanced,0.0002409290065315964,1500,elasticnet,saga,0.8119312163590926,0.190122,43980
29,0.23483485121553122,balanced,0.3299557544633791,1500,elasticnet,saga,0.8114944973087275,0.147366,43980
30,18.26322768294735,balanced,0.039591146658107215,1500,elasticnet,saga,0.811897587466359,0.18825,43980
31,1.7370288307246131,balanced,0.0003020307877457235,1500,elasticnet,saga,0.8119464628988851,0.178975,43980
32,0.4865480237409553,balanced,0.0012038953732567523,1500,elasticnet,saga,0.8118754325259516,0.160995,43980
33,61.145038963566456,balanced,0.00010158411878750119,1500,elasticnet,saga,0.81190983035371,0.186668,43980
34,2.367835937065073,balanced,0.00042723085512109076,1500,elasticnet,saga,0.8119465470011533,0.181507,43980
35,3.590025670098925,balanced,0.0003405413031297656,1500,elasticnet,saga,0.8119158737024221,0.183148,43980
36,0.06577239223449508,balanced,0.14490695679484167,1500,elasticnet,saga,0.8109290537293349,0.091684,43980
37,10.529110006470784,balanced,0.000502658118982642,1500,elasticnet,saga,0.8119312764321414,0.188604,43980
38,609.9179114897968,balanced,0.006177562735490053,1500,elasticnet,saga,0.811894511726259,0.188565,43980
39,0.010976314790703406,balanced,0.019769048649204347,1500,elasticnet,saga,0.8077635524798155,0.043627,43980
40,61.13991500486667,balanced,0.00017445571142644508,1500,elasticnet,saga,0.8119067666282198,0.186909,43980
41,1.6039076178542433,balanced,0.0007651970254882457,1500,elasticnet,saga,0.8119219891387928,0.178509,43980
42,0.43055951203998677,balanced,0.00019497937124818282,1500,elasticnet,saga,0.8119276119761629,0.155662,43980
43,8.958278950566541,balanced,0.0004061662758212208,1500,elasticnet,saga,0.8119159217608611,0.185946,43980
44,0.1309333885586579,balanced,0.49616630967537795,1500,elasticnet,saga,0.8107233035371012,0.122016,43980
45,5.391307696693627,balanced,0.9616572610198701,1500,elasticnet,saga,0.8119434832756633,0.18293,43980
46,4.161986320569059,balanced,0.7259890519648889,1500,elasticnet,saga,0.8119894631872357,0.190914,43980
47,0.4381104315901822,balanced,0.4861740328798625,1500,elasticnet,saga,0.8117556588811995,0.168762,43980
48,0.0008807092522099839,balanced,0.0382484559459055,1500,elasticnet,saga,0.7794090253748558,0.041789,43980
49,3.9329066160427315,balanced,0.1798695416783682,1500,elasticnet,saga,0.8119465349865436,0.185407,43980
50,20.936684598722703,balanced,0.10762667205989777,1500,elasticnet,saga,0.8119037149173394,0.18892,43980
51,5.368141231926699,balanced,0.2611089027232571,1500,elasticnet,saga,0.8119312043444828,0.185039,43980
52,2.6037172581932597,balanced,0.649027229437832,1500,elasticnet,saga,0.8119311202422146,0.183825,43980
53,0.5343164741634222,balanced,0.048761492596822435,1500,elasticnet,saga,0.8118723327566322,0.166511,43980
54,13.528759130127556,balanced,0.20771187229452925,1500,elasticnet,saga,0.8119159578046904,0.187709,43980
55,5.727675440051242,balanced,0.11915912926199497,1500,elasticnet,saga,0.8119220011534024,0.188411,43980
56,1.5081718355015528,balanced,0.01737383096394871,1500,elasticnet,saga,0.8119035827566321,0.180183,43980
57,122.73359979973054,balanced,0.41118343242364874,1500,elasticnet,saga,0.8118975754517492,0.18852,43980
