trial,booster,colsample_bylevel,colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,reg_alpha,reg_lambda,subsample,value,time
0,gbtree,0.24646688973455957,0.32479561626896214,0.2657846934562037,9,20.814367336189438,755,64.77532426827341,4.0428727350273315,0.7989954563585538,0.6602537502030182,2.458156
1,gbtree,0.34672360788274703,0.3454599737656805,0.00011861690371243162,13,27.967067056141072,1419,0.010996218010237245,1.40779231399724,0.9774323891214958,0.8106077254199857,8.239334
2,gbtree,0.5648559873736287,0.4930894746349534,0.0011195018979975153,3,38.1023703639727,870,18.533502111715695,0.01577766363058246,0.7088896710417846,0.7958815519189263,3.452236
3,gbtree,0.9591084298026666,0.25204127438822366,0.013611714042498597,10,22.656563708286026,1033,301.0828323371717,70.85721663941601,0.28483780953999827,0.5,2.71655
4,gbtree,0.22751081689217473,0.5961415280890161,0.00022481268581995073,7,16.49885582528691,616,126.14674784489826,0.035700959600309494,0.7631747698841177,0.6538083364492477,1.993562
5,gbtree,0.8201062586888916,0.9756677022116469,0.001326789408689306,9,24.476515851741933,1329,201.0721987450936,233.86439256208715,0.6400510158833581,0.5767826146086191,4.468243
6,gbtree,0.5109418317515857,0.4602642646106115,0.20924076492348906,3,6.743865691638335,1200,0.006615366471747824,93.84800715909533,0.3163693765389396,0.8308795365916026,5.101104
7,gbtree,0.9895095492804138,0.2596405149438167,0.001027881282043665,3,102.87901655576304,720,15.177443791190449,0.015570196345516612,0.6570220623686863,0.6510029037886118,2.497833
8,gbtree,0.48677258283541813,0.2592357213872723,0.08656473142106183,11,98.9513340291151,20,0.0005989585937565717,150.8761367568167,0.7801430078857128,0.6435533894342734,0.41222
9,gbtree,0.7100459770841705,0.7836849426704513,0.0015556594680629077,5,42.298281897396876,1250,89.64989861647395,0.6812233896860297,0.2976687627145177,0.6118584290125917,3.887007
10,gbtree,0.6181862635055952,0.5950364770915126,0.03708092097035715,9,98.91283185422924,248,0.07387340405009699,0.0014207404990676058,0.8205887864626731,0.6664813519539238,1.294827
11,gbtree,0.39943378331909996,0.9260531791408744,0.00012978061036051654,5,65.58847777791725,224,0.05667216683575905,34.14340513209104,0.7273078084478353,0.6676696712184785,1.245834
12,gbtree,0.7067230052083389,0.8464963036515336,0.0001893591316335682,3,119.07160184750678,465,70.28527686382388,66.37926838138381,0.467313589685326,0.640909747937391,1.801861
13,gbtree,0.2880415396221414,0.4544027799774911,0.1640782662475778,13,114.80359509028364,381,0.0033828172700188387,0.36529752669123594,0.6545066814367381,0.6585268950317091,1.441277
14,gbtree,0.29589229386694627,0.3776862483765842,0.12600947358253475,8,54.01119739989493,1638,0.018414135215695005,454.4208225488322,0.255214097898393,0.6540433980660791,4.623588
15,gbtree,0.40142583666029136,0.9699578359536891,0.007391199801845108,6,124.416324505562,653,0.216857508457719,0.0638660209183677,0.7772642191713834,0.6586332031156684,2.665741
16,gbtree,0.9266127087733229,0.4229171713892892,0.00013579037800019674,8,7.537801408748647,577,0.004048418463333446,0.007402343469704424,0.7071732504849226,0.8293246225439009,5.567219
17,gbtree,0.7825730788894878,0.39011003519391974,0.35511749309695206,11,97.72569114674714,984,0.02934650079826427,6.220638781359818,0.4315414536336253,0.6507070337610595,3.162398
18,gbtree,0.23262011324381116,0.3492148083198834,0.008509274894190977,13,41.73906825141045,1271,0.92142559953802,11.62481823613906,0.3177173275408062,0.6582943083529016,3.861569
19,gbtree,0.5093882770404299,0.7527501904819729,0.006991814816106377,10,23.144536483633914,43,192.65237839524252,0.006685373335828941,0.41987183139845347,0.5732340902808457,0.474535
20,gbtree,0.8537777601609726,0.7279872368273432,0.000256293995121452,14,33.75858671982476,689,0.5308748210122515,1.506272232520005,0.943520213708922,0.808382040635949,4.716865
21,gbtree,0.47936765969012873,0.4712238328389606,0.00021645207574664876,14,81.40388507370503,491,7.42390881964041,241.35792291303983,0.922911818464995,0.6532919470682148,1.932254
22,gbtree,0.685143247727672,0.9188433508216634,0.06444044071581621,2,21.526846690015947,1776,0.00011526713589431362,0.004062835674447078,0.7315237346157158,0.8246947956255699,6.263865
23,gbtree,0.37941544756844786,0.7215690076020804,0.00010428746928086743,9,88.87069010697205,1331,6.00071024541004,0.026515176659171316,0.370606038563124,0.6462130042936101,4.468613
24,gbtree,0.274939814262474,0.6546468826683773,0.04885475326177033,13,84.5168373221436,657,0.029315991806652227,0.03901343643245449,0.7372246742854109,0.6667540537407981,2.501551
25,gbtree,0.6021096744841536,0.8358490428333187,0.3197734410944372,14,81.15460550165238,495,0.7423417792687168,0.9017915528354472,0.5448232935000703,0.6598917293975493,2.066202
26,gbtree,0.9523668674823316,0.34168854352563915,0.04002357332224733,1,82.97498158021031,398,251.28371645523674,308.45111275338604,0.46057927183064185,0.5691156926626222,1.321257
27,gbtree,0.882407564373888,0.9708959816714022,0.00011367779996743946,7,123.76516201854604,746,0.009452291504238805,0.2044496500917521,0.9462389219407941,0.6511196916855666,3.307466
28,gbtree,0.6560489360714921,0.7568238373399785,0.0013853900850136615,9,119.89165631841918,1704,0.00044872816616678884,4.898277215907765,0.37711956001456937,0.581410914323031,5.195507
29,gbtree,0.7619872671896875,0.7576125927962145,0.00031958841415150746,14,95.07761445478397,1981,0.025818034815775753,0.05774987726789048,0.6387472392728025,0.654456373208778,7.801594
30,gbtree,0.8386361431734202,0.6012130357497597,0.08280890604911915,14,65.9404846553391,1621,2.2950041568007085,16.285506249643184,0.9003042389350777,0.702019658660686,7.170522
31,gbtree,0.22875381903739367,0.6626241127969392,0.16063960731494917,6,12.935706359790363,1594,0.1329911669902021,1.802469016852411,0.5034963676386519,0.8141275129686771,7.99264
32,gbtree,0.30164841012150784,0.4881525131290103,0.013434355902863545,1,105.4702712037766,580,0.31905901272431797,41.68322557207813,0.27287518745428707,0.5795293763118501,1.741407
33,gbtree,0.7099439211985652,0.6325080972880852,0.017526244334505836,1,68.4820382091548,439,7.439483318099948,716.3289063135321,0.314010598745326,0.6460820200612729,1.46754
34,gbtree,0.22028059473236603,0.2627651050738128,0.001456493631839901,5,56.74937042961579,1037,287.5200210625875,103.72435026692942,0.8463896460765278,0.5761487545999451,2.741399
35,gbtree,0.77167673816005,0.6393813317648964,0.002972165846947594,3,32.7808480669036,1395,2.6880814750085698,0.047819318414852596,0.37997074005313436,0.6926806770243125,5.425047
36,gbtree,0.4847781429210093,0.398184791600926,0.04549345927195762,10,54.28920792832932,1911,12.150499838106768,0.0012200030931738236,0.6657655393835505,0.6972876183064987,5.975766
37,gbtree,0.2782673285208012,0.5793390632698602,0.00014645502467126124,13,90.364548141263,241,0.19878500601148194,0.6931554219323903,0.28054660173922763,0.579859628445709,1.012685
38,gbtree,0.499690091701177,0.23624320781763564,0.003653925328605644,10,81.65689366019076,354,1.5814779179700953,1.0442814210473008,0.54887855079803,0.6505936624662704,1.405504
39,gbtree,0.6686204650187706,0.22120904843329747,0.023585982772904763,2,82.58724833220208,1715,203.35671381436887,2.8369067932328353,0.37220082031107227,0.5697433087040196,4.493163
40,gbtree,0.9689524510591314,0.5088821102406194,0.020756912498528804,9,120.56603071461869,782,118.64293075342988,0.014953636132627126,0.5936896678686374,0.6432886349469741,2.505129
41,gbtree,0.45518050423500905,0.2569509187681832,0.0002306791841544548,2,87.74186022387732,148,46.61187194439682,0.0013792138650780268,0.26366636923866227,0.5795161891216574,0.716088
