trial,bootstrap,criterion,max_features,max_samples,min_samples_leaf,n_estimators,value,time,dataset
0,True,gini,0.22479561626896213,0.5780093202212182,0.061616722433639894,381,0.7706789816416764,1.240759,43980
1,True,entropy,0.7659541126403374,0.9849549260809971,0.09246782213565524,868,0.7850909986543637,3.351559,43980
2,True,log_loss,0.3329833121584336,0.7159725093210578,0.17237057894447588,190,0.7603307622068435,0.627981,43980
3,True,log_loss,0.25973902572668783,0.8925879806965068,0.1528468876827223,148,0.7554376742118416,0.491609,43980
4,True,entropy,0.8591084298026667,0.5325257964926398,0.24312640661491186,597,0.5,1.844936,43980
5,True,log_loss,0.19763058787582308,0.7200762468698007,0.14903538202225403,811,0.7625551350442137,2.620428,43980
6,True,gini,0.5160544169422486,0.6558555380447055,0.15934205586865594,44,0.7473991974240677,0.166662,43980
7,True,gini,0.5783199830488681,0.9474136752138245,0.23437484700462335,193,0.7524478686082275,0.648856,43980
8,True,log_loss,0.3170792254191167,0.6943386448447411,0.21574750183038588,97,0.7432998846597463,0.327336,43980
9,True,entropy,0.15964051494381667,0.9010984903770198,0.24737738732010345,363,0.7514929354094579,1.160362,43980
10,True,entropy,0.8458322735294297,0.8119205115263206,0.06990749605179804,980,0.7914051566705114,3.86491,43980
11,True,entropy,0.874621722874501,0.8189858776055303,0.06561105539589998,937,0.7935464965397924,3.736148,43980
12,True,entropy,0.6997387736001356,0.8092405715438601,0.05419442517757523,993,0.79689600153787,3.885677,43980
13,True,entropy,0.6652694492434359,0.8074457014390437,0.10057616815530945,711,0.7768973712033833,2.595891,43980
14,True,entropy,0.6993170855967058,0.8119216947211788,0.111106813064327,971,0.7763629012879663,3.498771,43980
15,True,entropy,0.8915115594463542,0.8559889011067058,0.05059376575818961,699,0.8021732747020378,2.98101,43980
16,True,entropy,0.7455996079489744,0.8828511127251542,0.1301911939364088,734,0.7720204849096503,2.66006,43980
17,True,entropy,0.6173646146678392,0.7650401223721423,0.05033081343994433,565,0.7967957996924261,2.178849,43980
18,True,entropy,0.4199845595069718,0.6358254586519156,0.08724091557502758,700,0.7739025615148021,2.367998,43980
19,True,gini,0.7674746075700905,0.8565180629000864,0.12030433162664239,431,0.7740588115148019,1.556147,43980
20,True,entropy,0.8003489245130058,0.9309279647258617,0.19118776047276503,819,0.7658243103613994,2.821277,43980
21,True,entropy,0.609306108858697,0.7645154738527735,0.0518273179064198,560,0.7944685577662437,2.13977,43980
22,True,entropy,0.5052048095562366,0.7504812645915667,0.079165958700612,604,0.7804026095732411,2.152439,43980
23,True,entropy,0.6491253730854968,0.7744960843769275,0.05388893849818987,486,0.7957420343137255,1.901651,43980
24,True,entropy,0.5737724800005334,0.8477436222821763,0.07663578347793201,264,0.7832831362937333,0.997771,43980
25,True,entropy,0.41319212922880755,0.6745519836646499,0.10256309457047849,659,0.7698747717224144,2.21532,43980
26,True,entropy,0.6959357967397167,0.6193798453406841,0.05522718470428171,881,0.7904084126297578,3.267639,43980
27,True,entropy,0.8994394706831758,0.775350934394511,0.08297065941884288,498,0.7834149245482506,1.931239,43980
28,True,gini,0.8271653444672711,0.8465373002561408,0.13083375084723253,757,0.772833958093041,2.734004,43980
29,True,log_loss,0.45711901025613677,0.724745767308601,0.06591934727565582,325,0.7837150975586313,1.179496,43980
30,True,gini,0.7312784876670583,0.933692906476827,0.05210538641184901,564,0.8027328311226452,2.369903,43980
31,True,gini,0.7304987590465897,0.9708782794206089,0.052314681757809046,557,0.8032690431564783,2.341433,43980
32,True,gini,0.7172765249236638,0.981495070314065,0.06450060971367089,441,0.7939769800076893,1.766386,43980
33,True,gini,0.7630184326795054,0.9480471747635351,0.07652415839112986,660,0.7901332780661283,2.591375,43980
34,True,gini,0.816852487236669,0.999022189395072,0.05958719558650506,878,0.7995432405805459,3.618279,43980
35,True,gini,0.8038882829919861,0.9997067470438427,0.09373582702168651,786,0.7828240340253749,3.0239,43980
36,True,gini,0.8933272750608235,0.9764973964990639,0.06850440350715327,869,0.7952903330449826,3.59214,43980
37,True,gini,0.7883689317445112,0.910846488366575,0.09390211782770005,635,0.7807690431564783,2.439567,43980
38,True,gini,0.847797877282224,0.9519283539617145,0.1870836433222124,542,0.7648011642156863,1.915786,43980
39,True,gini,0.7394533250187212,0.9623762059686022,0.06038038695030535,915,0.7987403522683583,3.760427,43980
40,True,gini,0.8251522704533227,0.9288851800259432,0.07110326560774699,837,0.7940225273933103,3.426571,43980
41,True,gini,0.7425882812509674,0.9665009303836354,0.06064530588539474,931,0.7990139249327182,3.832034,43980
42,True,gini,0.7762661198597292,0.9946157889776281,0.050085470308958345,898,0.8045250744905805,3.830157,43980
43,True,gini,0.8534738993513008,0.9974230378732989,0.08561441624479205,778,0.7881168781237986,3.252075,43980
44,True,gini,0.7924866671578671,0.8730747977422155,0.07371560446289904,622,0.789740724721261,2.556139,43980
45,True,log_loss,0.10827875117527697,0.920943203576517,0.050538381949792904,681,0.7728455281622452,2.280712,43980
46,True,gini,0.6649148317568495,0.9001253175749212,0.062316661363391895,452,0.7925646265859286,1.818827,43980
47,True,gini,0.5709118075545165,0.9322720171024577,0.2209851510788985,538,0.7611633386197616,1.888462,43980
48,True,gini,0.8675335375597719,0.9784927444508743,0.057314703777422114,848,0.8016952253940793,3.604981,43980
49,True,log_loss,0.8717082177346568,0.5233347683045944,0.14819666478629773,722,0.7624893610630527,2.420479,43980
50,True,gini,0.275283470117761,0.8807072469586519,0.10024784318639962,387,0.7720819997116494,1.308319,43980
51,True,gini,0.8221829929844564,0.9815052885785958,0.06082028791467814,898,0.7990801374471358,3.837429,43980
52,True,gini,0.8589754318562035,0.9511374120362782,0.058774334354133886,855,0.8005563725490197,3.576095,43980
53,True,gini,0.8611296460768989,0.9456310860228693,0.07055938738671091,834,0.7923946919454055,3.44971,43980
54,True,gini,0.7751247361546487,0.9636797456777672,0.05029563723759871,960,0.8041204584775086,4.059891,43980
55,True,gini,0.7690921993430346,0.9099206313486248,0.05053359225545627,978,0.8029768478469819,4.070381,43980
56,True,gini,0.7113666842431715,0.9115717750150302,0.050794259391144486,1000,0.8021259491541715,4.034279,43980
57,True,log_loss,0.6356977567012496,0.8937330644631093,0.08644582128623811,952,0.7800019583813917,3.494762,43980
58,True,gini,0.7731987435730001,0.8682252975744491,0.0782720021358102,966,0.7866388168012304,3.740726,43980
59,True,gini,0.6780964334458267,0.5642172125113805,0.06818331350313833,591,0.7804971885813149,2.114471,43980
60,True,gini,0.7294521972137346,0.9371372300542088,0.1639684664419852,800,0.7689153450595925,2.832304,43980
61,True,gini,0.7137622757280018,0.9174547691292598,0.05264848929910139,999,0.8010017421184159,4.093661,43980
62,True,gini,0.7581786224864794,0.9060859968808802,0.05164549862466246,929,0.8024997116493656,3.823561,43980
63,True,gini,0.772332978480109,0.9562777523353829,0.0505220004091097,932,0.803290212898885,3.883831,43980
64,True,gini,0.776670294407783,0.8364682431074478,0.06547361505591487,931,0.7925021866589773,4.082704,43980
65,True,gini,0.7559058477184472,0.9667158963589965,0.05626709625483653,962,0.8012390787197232,4.028982,43980
66,True,gini,0.6888748573824863,0.9636315621755825,0.07326308929213385,31,0.7847640210495964,0.149507,43980
67,True,gini,0.5365232069274803,0.8950956191053581,0.08252819975178519,906,0.7828460808342944,3.264595,43980
68,True,gini,0.6620435523071009,0.9365082740849008,0.05043066017342646,166,0.8009852700884276,0.695115,43980
69,True,gini,0.7451203516595836,0.9613163686225416,0.0653286802759875,949,0.7955037125144174,3.861181,43980
70,True,gini,0.6129367872342528,0.9907621213065988,0.05725203593649315,898,0.7954807646097655,3.626492,43980
71,True,gini,0.8021310882457913,0.8615974335655823,0.050607352449524474,764,0.8023789167627836,3.187988,43980
72,True,gini,0.7902244832741885,0.9076362312419813,0.05551598587278446,759,0.8005626682045367,3.123255,43980
73,True,gini,0.8081960943667156,0.9239748406146663,0.05009053816948119,978,0.8032650903498654,4.08392,43980
74,True,gini,0.7596471931208445,0.9762396375391872,0.06312448786923955,975,0.7974403835063436,3.950847,43980
75,True,gini,0.8260905137951012,0.9467239640066188,0.07313175677805966,920,0.7928845396001539,3.748907,43980
76,True,gini,0.7305778996859817,0.8899785549296999,0.057146071117024286,91,0.798479304834679,0.442123,43980
77,True,log_loss,0.6951244134487586,0.9261725890162378,0.0681364142113674,249,0.7906274389657824,1.001731,43980
78,True,gini,0.8395753204694884,0.9881797003281936,0.06340703227565354,879,0.7989853541906958,3.716279,43980
79,True,gini,0.7737803880663736,0.9563770003430583,0.08091523806420929,817,0.7889960952518262,3.224386,43980
80,True,gini,0.7257681838733823,0.9365934255046946,0.11894581029456966,943,0.7762233155517109,3.407809,43980
81,True,gini,0.810018745655614,0.8280480813885832,0.0505394273258421,972,0.8017085375816994,3.977012,43980
82,True,gini,0.7885195218324901,0.9184827829348713,0.055628109710339206,888,0.800496671953095,3.684307,43980
83,True,gini,0.805279651753045,0.8731134773233613,0.061485110973287474,930,0.7958376345636294,3.756515,43980
84,True,gini,0.350686356197353,0.9708898503514451,0.05042746139218138,859,0.787466238946559,3.043028,43980
85,True,gini,0.8378238713914092,0.904245343221389,0.07534711934979008,984,0.7904756103421762,4.002209,43980
86,True,gini,0.7539952509505258,0.7927522257861855,0.055635621729717095,479,0.7973792171280276,1.993673,43980
87,True,gini,0.7821111076279565,0.942742136633122,0.06921928236584073,518,0.7933665056708958,2.194589,43980
88,True,gini,0.8795966137084422,0.8834120533980168,0.1927398978420249,587,0.7638166089965399,2.203571,43980
89,True,log_loss,0.8069621611401494,0.8597131488404239,0.06356640976233642,919,0.7940750672818147,3.745907,43980
90,True,gini,0.6426397049433676,0.9866029129989939,0.05891357942699807,756,0.7970711385044214,3.063445,43980
91,True,entropy,0.7140107843510808,0.8565018069871293,0.0500712379867012,681,0.8018039936562861,2.754904,43980
92,True,entropy,0.898220012300419,0.9219781333171987,0.0550120436047459,556,0.8014396986735871,2.416326,43980
93,True,entropy,0.8375561206675664,0.9553461331583205,0.06021492858711082,629,0.8005188629373319,2.687377,43980
94,True,entropy,0.7667616870070421,0.9084360237935872,0.05490749091170612,658,0.7997119977893118,2.756411,43980
95,True,gini,0.7409840457904824,0.92876006013009,0.06777556184632491,831,0.794004913975394,3.364926,43980
96,True,gini,0.8812551133800879,0.7068949350757749,0.05991305017002738,953,0.7932869088811996,3.819758,43980
97,True,gini,0.8135778619300611,0.7974565797082427,0.14385808010095555,706,0.769832528354479,2.508354,43980
98,True,gini,0.6792578956552113,0.8455956975913353,0.09027156976368331,797,0.7812213691849289,2.946522,43980
99,True,entropy,0.7982986306084885,0.8860171658328628,0.05389242137341801,403,0.8004604238754325,1.659733,43980
100,True,gini,0.30287116337610653,0.7806744878852863,0.07099541673702181,303,0.7785728686082276,1.045186,43980
101,True,log_loss,0.16110105631487423,0.8939370292488552,0.11353611932399287,67,0.7392503904748174,0.240114,43980
102,True,entropy,0.4639249247735906,0.6617522009045503,0.15592610309635052,744,0.7623809712610534,2.456601,43980
103,True,entropy,0.44586599805346105,0.8386276848658687,0.12753325705315677,300,0.7674018286236063,1.024154,43980
104,True,entropy,0.41290778659317595,0.8402180788201157,0.07331123909034237,342,0.7817015931372548,1.210852,43980
105,True,entropy,0.46617335683871475,0.5468576216581333,0.21115858174099644,710,0.7105624699634755,2.242422,43980
106,True,gini,0.22196443973927257,0.5159938561183082,0.1014184036728759,201,0.7638988850442139,0.723678,43980
107,True,log_loss,0.4128401743106659,0.9486542612320713,0.1257539461007059,78,0.7734186190407536,0.320637,43980
108,True,gini,0.544126852570816,0.5814588773373881,0.07535702950045563,655,0.7751311034217608,2.403179,43980
109,True,gini,0.8825404032030679,0.6559750103529127,0.10625563095780682,947,0.7744271674356018,3.389123,43980
110,True,entropy,0.7091410198547147,0.7529836641727027,0.17932029930336407,419,0.7634503976835832,1.419077,43980
111,True,gini,0.2667291865007467,0.7982073514005891,0.050816762964601206,450,0.781645232602845,1.507739,43980
112,True,gini,0.29416506372038514,0.993207667645801,0.06109069732889127,498,0.7826408232410611,1.771253,43980
113,True,entropy,0.6145456722097196,0.9967499725174291,0.05173045039282548,593,0.8006054402153019,2.372993,43980
114,True,log_loss,0.640774983183434,0.9892308756590378,0.2494777087097304,565,0.7633492586985774,1.918921,43980
115,True,entropy,0.1048371194773049,0.9298501756367328,0.05198321061612347,861,0.7759167267397155,2.794095,43980
116,True,gini,0.7391761595789478,0.9960431024294436,0.09087269765710004,601,0.7840112697039601,2.344927,43980
117,True,gini,0.8116886707454886,0.8796273908732818,0.0960970908128361,609,0.7793577590349865,2.321735,43980
118,True,entropy,0.6684813181552444,0.9361010971226866,0.149646814541686,793,0.7721607795078815,2.778912,43980
119,True,log_loss,0.5651084560209589,0.698553440136423,0.08611002137790008,979,0.7756561779123414,3.488328,43980
120,True,entropy,0.7911133210920318,0.9933288254805117,0.14372018749161017,549,0.7726340109573241,2.000269,43980
121,True,gini,0.737634794448642,0.9773493235073365,0.0608750962502305,438,0.7983891772395233,1.802557,43980
122,True,gini,0.7442723503024686,0.9048636707903994,0.08595730209082197,418,0.783572904652057,1.626758,43980
123,True,gini,0.6221498419146989,0.9630425759518304,0.06540505415629252,668,0.7919205353710111,2.554656,43980
124,True,gini,0.6188617796871948,0.9492822443658226,0.06487241363566026,674,0.7926132497116493,2.588423,43980
125,True,gini,0.5836214933678627,0.8778921588868398,0.0506295058946778,822,0.7974096140907343,3.212686,43980
126,True,gini,0.5456772995280812,0.8620949477248566,0.05481113563493087,871,0.7959913254517493,3.341619,43980
127,True,gini,0.8668070609557688,0.900814213527478,0.17845718355271437,818,0.7671889057093425,3.005988,43980
128,True,entropy,0.697811806931376,0.8335053073448403,0.07967152107432929,210,0.7847039480007689,0.82716,43980
129,True,log_loss,0.583541644631799,0.8014358558361601,0.06892582159184588,495,0.7855838379469435,1.902907,43980
130,True,gini,0.8061409099813273,0.920523709275621,0.1184980921881119,342,0.7763836264898115,1.296408,43980
131,True,gini,0.528601388657819,0.846954044569542,0.05018319494518053,894,0.7934941368704345,3.486432,43980
132,True,gini,0.5014034988859498,0.8847747548442274,0.060003162952774323,910,0.7907011726259132,3.385514,43980
133,True,gini,0.6026972048814777,0.7610294333007214,0.07435838776688622,778,0.7823873029603998,2.852923,43980
134,True,gini,0.353260857625051,0.9665503340617614,0.05135245238705499,733,0.7887501561899269,2.57923,43980
135,True,entropy,0.6762882519704018,0.8719098695296471,0.0807807081231417,848,0.7840865652633603,3.200208,43980
136,True,gini,0.48395783087730043,0.8636322963974259,0.05867245482512118,987,0.7897033112264514,3.68507,43980
137,True,entropy,0.4180401220167862,0.721443044280561,0.11014608999768727,261,0.7708583117070357,0.903877,43980
138,True,log_loss,0.5200763784769535,0.8109151998315913,0.0944675531223069,739,0.7751613081507113,2.632138,43980
139,True,gini,0.3582866690748448,0.9143996444551336,0.07048485542222949,368,0.7787169117647059,1.291881,43980
140,True,entropy,0.5684507310421333,0.9591268206055424,0.138799164207204,128,0.7692445093233372,0.485452,43980
141,True,gini,0.5287003096414482,0.8465631329709626,0.051479842050163926,896,0.793844314686659,3.391915,43980
142,True,gini,0.6519819472174059,0.8254218711368823,0.05905198087893563,940,0.7937960760284506,3.691615,43980
143,True,gini,0.5432203631766763,0.8590690515543484,0.16584519172462467,869,0.7679598712033833,2.952502,43980
144,True,gini,0.44391588012286426,0.7753513864783154,0.07036611296385052,792,0.7817320501730104,2.801247,43980
145,True,gini,0.7249783804409156,0.8923908767753471,0.23386560999534353,911,0.7602350358035371,3.09141,43980
146,True,gini,0.4593419933097077,0.9349080262955716,0.08015412148234813,837,0.7821313677431758,3.049163,43980
147,True,entropy,0.5824820645317589,0.9738171946828196,0.20302860501111192,714,0.7615547085255671,2.419665,43980
148,True,log_loss,0.3680361979298623,0.7339500247993553,0.058626114121354655,466,0.7862440407535563,1.67667,43980
149,True,gini,0.5070703330053201,0.6806234388198815,0.10170122425718925,11,0.7584283989331027,0.066916,43980
150,True,gini,0.7752881869130168,0.7922333719681472,0.05074688241544603,555,0.8005270569011917,2.287117,43980
151,True,gini,0.8534247850567338,0.8262427437106318,0.05106940874294894,551,0.8021201220684352,2.340794,43980
152,True,gini,0.8655256273909154,0.7825527659945818,0.06325585943807992,548,0.794514657823914,2.223262,43980
153,True,gini,0.7661363388497606,0.8206192181597728,0.0581192586841729,604,0.7959509203191082,2.419552,43980
154,True,gini,0.8988752624272315,0.7861318729697531,0.07404657371550455,407,0.7874903402537485,1.630534,43980
155,True,gini,0.6906653275127517,0.7580380086791925,0.08443350701359978,523,0.780943747597078,1.951643,43980
156,True,entropy,0.8531919418947521,0.9795648725472561,0.06622472918785591,629,0.7969656622452903,2.654505,43980
157,True,entropy,0.8364558063761236,0.9798126271437783,0.06474034774092649,629,0.7976299380046137,2.647047,43980
158,True,entropy,0.8366307002343828,0.9553812996566983,0.0898330948976598,476,0.7852231353325644,1.898114,43980
159,True,entropy,0.7851496518736802,0.6085554014060917,0.07570566241928538,576,0.7821561418685122,2.150638,43980
160,True,entropy,0.8261374532504511,0.9969540705777105,0.06350782161470195,638,0.7990375937139561,2.709755,43980
161,True,entropy,0.8265007557612832,0.994874558506597,0.06494845719967585,677,0.7989175437331797,2.864381,43980
162,True,entropy,0.8305224227655008,0.9419374162756744,0.06341674674914059,635,0.7972621107266435,2.652758,43980
163,True,entropy,0.7808512181966807,0.9983478751196789,0.06842944878136707,524,0.7961410875624759,2.146991,43980
164,True,entropy,0.81962905821461,0.9815761016001414,0.05644050349596098,674,0.8018945958285275,2.900073,43980
165,True,entropy,0.762360052678762,0.9803469116158646,0.05833469300159551,675,0.8002467680699731,2.837172,43980
166,True,entropy,0.7636192719614446,0.9223538861702675,0.05702324658136672,676,0.79908965301807,2.826506,43980
167,True,entropy,0.7545920197867022,0.9211242351322859,0.05605546469091321,700,0.7998154676086121,2.901622,43980
168,True,entropy,0.7586768782751708,0.9162703258891413,0.05544801255452276,574,0.79955840301807,2.394132,43980
169,True,entropy,0.7203141106614227,0.946157262080926,0.07713754001004411,575,0.7875062355824682,2.236556,43980
170,True,entropy,0.7583324792160655,0.9166890824139533,0.054617927301345064,702,0.8006802311610919,2.931369,43980
171,True,entropy,0.761775708701452,0.9127206616978938,0.05034666087393971,706,0.8033397371203383,2.984415,43980
172,True,entropy,0.7359588767347568,0.9652822432966335,0.05198032424552056,704,0.8032005478662054,2.981789,43980
173,True,entropy,0.7953028661174448,0.9697595714575373,0.05005433036658997,769,0.8047493151672434,3.289282,43980
174,True,entropy,0.8061955643835045,0.9580950087355946,0.050404461482761655,765,0.8042495434448291,3.266479,43980
175,True,entropy,0.8021983251489662,0.9635536247950006,0.07022589805286937,765,0.7937706771434063,3.114335,43980
176,True,entropy,0.8925371298822912,0.938248247515727,0.05082964840276881,759,0.8040570934256055,3.302077,43980
177,True,entropy,0.8816841151488487,0.9058656205007102,0.051014216674916485,765,0.8039321775278738,3.293442,43980
178,True,entropy,0.8990305429071943,0.9346809396350481,0.05054784946420274,760,0.8045273933102652,3.298306,43980
179,True,entropy,0.8909924813983199,0.9023600081578489,0.050267345310967194,812,0.804527561514802,3.499773,43980
180,True,entropy,0.897924476758214,0.8993791035868095,0.06920643450779856,808,0.7930092752787389,3.311173,43980
181,True,entropy,0.8766323321616214,0.9390993638496827,0.05011542960067727,756,0.8042144007112648,3.276311,43980
182,True,entropy,0.8814354138868795,0.9353176203722218,0.05085087582256007,751,0.8047641291810841,3.272488,43980
183,True,entropy,0.8808845123000323,0.9309691277834701,0.06179908133016401,767,0.7982519944252211,3.224819,43980
184,True,entropy,0.8727824113496082,0.9061485340171133,0.05030618342830144,748,0.8042801686851211,3.247347,43980
185,True,entropy,0.8768101646042403,0.8861124589585619,0.07372812092316101,754,0.7917469122452903,3.070475,43980
186,True,entropy,0.8583025183461168,0.9421334444027512,0.12861841356641274,805,0.775532223183391,3.054604,43980
187,True,entropy,0.8975186203092563,0.9021148812818232,0.060309770401392196,830,0.7987741854094579,3.463218,43980
188,True,entropy,0.8744663130770974,0.930056423875867,0.0837463355011063,744,0.7870770737216455,2.971389,43980
189,True,entropy,0.8423734639262467,0.9499918242888392,0.05534887449746426,784,0.8019520737216455,3.363852,43980
190,True,log_loss,0.8066363829753485,0.8732498139825776,0.18975686349787896,857,0.762157739811611,2.963824,43980
191,True,entropy,0.8828230123733732,0.9085662934200044,0.05001297060782854,726,0.8042019535755479,3.143916,43980
192,True,entropy,0.8795020551773577,0.8952235198088844,0.06101055535360553,729,0.7978911596501346,3.052335,43980
193,True,entropy,0.8499931888640005,0.9533097260267889,0.05516771615063787,782,0.8016523332372165,3.361352,43980
194,True,entropy,0.8650656875933794,0.9063363163716102,0.050210673782728234,728,0.8037837250096116,3.150214,43980
