mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__degree,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.2440593719482422,0.01914892770108444,0.03754878044128418,0.0035805168914989183,0.25,4,256.0,poly,"OrderedDict([('model__C', 0.25), ('model__degree', 4), ('model__gamma', 256.0), ('model__kernel', 'poly')])",0.7381228779348886,0.5316353881709773,0.3639960866892882,0.34565304887880255,0.693610380699183,0.534603556474628,0.1621858794395973,88
3.139242744445801,0.05367671117823137,0.11580095291137696,0.0013138487502612466,64.0,5,0.0625,sigmoid,"OrderedDict([('model__C', 64.0), ('model__degree', 5), ('model__gamma', 0.0625), ('model__kernel', 'sigmoid')])",0.35592149962148073,0.2471383670584854,0.40394567917398594,0.17035327691280033,0.1900234822888746,0.27347646101112544,0.09177351167819901,100
2.4264344692230226,0.01972530927334175,0.08509817123413085,0.005542882893143842,0.25,5,0.00390625,poly,"OrderedDict([('model__C', 0.25), ('model__degree', 5), ('model__gamma', 0.00390625), ('model__kernel', 'poly')])",0.5588927166950797,0.7341015086501581,0.61477044456325,0.6441151226182813,0.3277928103220238,0.5759345205697586,0.1364099344259987,77
3.7472479343414307,0.03889929798601239,0.12870497703552247,0.01138537590532214,64.0,2,2.0,sigmoid,"OrderedDict([('model__C', 64.0), ('model__degree', 2), ('model__gamma', 2.0), ('model__kernel', 'sigmoid')])",0.42201335868315926,0.42779104523767586,0.4110330994802861,0.43118943794044445,0.6495247170184161,0.4683103316719963,0.09086530450785775,95
3.7938103675842285,0.03348920039643953,0.2731748104095459,0.01474262259287067,32.0,3,1.0,rbf,"OrderedDict([('model__C', 32.0), ('model__degree', 3), ('model__gamma', 1.0), ('model__kernel', 'rbf')])",0.3019261885914263,0.3556413620144926,0.31413713802178994,0.44900603362683167,0.26258611890015116,0.33665936823093834,0.06353358198852188,99
2.1068928241729736,0.032766518925996586,0.07029738426208496,0.007834884638169379,16.0,5,0.0078125,linear,"OrderedDict([('model__C', 16.0), ('model__degree', 5), ('model__gamma', 0.0078125), ('model__kernel', 'linear')])",0.585099226013748,0.4456546685508245,0.7697480957767037,0.47244771038591205,0.4772156939761928,0.5500330789406762,0.11976730506792142,86
3.5168956756591796,0.04199914916199153,0.11869225502014161,0.007274915463081939,4.0,5,0.125,sigmoid,"OrderedDict([('model__C', 4.0), ('model__degree', 5), ('model__gamma', 0.125), ('model__kernel', 'sigmoid')])",0.5347878457872792,0.5298866503818997,0.4438649641098006,0.6371343848840494,0.6865517525643218,0.56644511954547,0.08577549147075852,80
3.441583776473999,0.045197265917164435,0.11001391410827636,0.011565980822353713,1.0,5,0.5,sigmoid,"OrderedDict([('model__C', 1.0), ('model__degree', 5), ('model__gamma', 0.5), ('model__kernel', 'sigmoid')])",0.4128124754614312,0.4197789277702775,0.4163620758003921,0.42132130002412477,0.7392747646012678,0.4819099087314987,0.12871587394229328,93
1.391593837738037,0.028350079697526065,0.04179372787475586,0.003283689294328241,512.0,4,128.0,poly,"OrderedDict([('model__C', 512.0), ('model__degree', 4), ('model__gamma', 128.0), ('model__kernel', 'poly')])",0.7381228779348886,0.5316353881709773,0.3639960866892882,0.34565304887880255,0.693610380699183,0.534603556474628,0.1621858794395973,88
2.497728395462036,0.04272164875266241,0.05800995826721191,0.010042101856031998,0.0009765625,5,16.0,poly,"OrderedDict([('model__C', 0.0009765625), ('model__degree', 5), ('model__gamma', 16.0), ('model__kernel', 'poly')])",0.4846692875500359,0.5865314446884364,0.6710306506303364,0.515745074720231,0.5036469073570968,0.5523246729892273,0.0686236918464704,83
3.1775929927825928,0.06721213578040479,0.09081916809082032,0.01403905078562801,0.125,5,0.00390625,poly,"OrderedDict([('model__C', 0.125), ('model__degree', 5), ('model__gamma', 0.00390625), ('model__kernel', 'poly')])",0.41635573110306606,0.3592243341350403,0.7254878606143704,0.7589595176008059,0.4009679624962267,0.532199081189902,0.17282499770825546,92
2.249927282333374,0.05419093478019595,0.07071619033813477,0.0017881236864040295,1.0,5,0.5,linear,"OrderedDict([('model__C', 1.0), ('model__degree', 5), ('model__gamma', 0.5), ('model__kernel', 'linear')])",0.586220079620929,0.3144344540151389,0.7266065122436436,0.7695271537453463,0.518333642470332,0.583024368419078,0.16231744556460412,58
2.259484338760376,0.052808681833863357,0.07534503936767578,0.008472138463365454,1.0,5,32.0,linear,"OrderedDict([('model__C', 1.0), ('model__degree', 5), ('model__gamma', 32.0), ('model__kernel', 'linear')])",0.586220079620929,0.3144344540151389,0.7266065122436436,0.7695271537453463,0.518333642470332,0.583024368419078,0.16231744556460412,58
