model__C,model__class_weight,model__l1_ratio,model__max_iter,model__penalty,model__solver,model__tol,Combination_ID,Score,Dataset
0.0745934328572655,balanced,0.1834347898661638,81,elasticnet,saga,1.5620693675639885e-05,1,0.9131492037300933,car
0.16949768237884735,balanced,0.05808361216819946,97,elasticnet,saga,1.5930522616241016e-05,2,0.9127724443111078,car
3.4702669886504163,,0.056411579027100256,353,,saga,7.535384509295548e-05,3,0.9118220455511388,car
0.0010090061869151559,,0.18340450985343382,469,l1,saga,1.120760621186056e-05,4,0.5,car
0.14445251022763064,balanced,0.5247746602583891,179,,saga,3.839629299804171e-06,5,0.9121838670966774,car
0.06789053271698488,,0.0906064345328208,455,l2,saga,5.820013372709856e-06,6,0.9130357008925224,car
82.4431219090508,balanced,0.046450412719997725,316,l2,saga,2.1930485556643695e-06,7,0.9121838670966774,car
0.0021147447960615704,,0.9422017556848528,23,l1,saga,5.899741796710486e-06,8,0.5,car
0.001201797402730995,,0.6842330265121569,376,,saga,1.7541893487450809e-06,9,0.9118220455511388,car
0.2991469302130217,balanced,0.17336465350777208,90,,saga,2.3145798905204873e-06,10,0.9121838670966774,car
5.981457917250767,,0.5200680211778108,115,,saga,2.342658105820405e-06,11,0.9118220455511388,car
70.45683638454501,,0.44975413336976566,211,l1,saga,7.133747470888437e-05,12,0.9118595464886622,car
4.328724829857123,balanced,0.0884925020519195,224,,saga,1.2315571723666031e-06,13,0.9121838670966774,car
0.04233032996527596,,0.7473201101373809,376,elasticnet,saga,1.4910847596941103e-05,14,0.9140685704642616,car
67.03112932069459,,0.5426960831582485,50,elasticnet,saga,4.0215545266902885e-05,15,0.9118595464886622,car
0.0023591373063477136,balanced,0.4234014807063696,138,,saga,3.863459370720671e-06,16,0.9121838670966774,car
0.0011759777738127746,balanced,0.7068573438476171,172,l2,saga,3.487712624545935e-05,17,0.9129273856846422,car
0.002345434227726052,balanced,0.6510770255019445,37,l2,saga,5.012762811014229e-05,18,0.9131768294207355,car
0.17670684411371557,balanced,0.06355835028602363,416,l1,saga,4.470608546778493e-06,19,0.912881103277582,car
4.446628955475449,,0.27472179299006416,44,elasticnet,saga,5.832486597608727e-06,20,0.9118596714917873,car
72.20387022183417,balanced,0.7607850486168974,227,l2,saga,3.482846706526883e-05,21,0.9121838670966774,car
0.2944272359149679,balanced,0.7106628896857874,355,l1,saga,7.562632622090499e-06,22,0.9125986899672492,car
0.010199902295182441,,0.6364104112637804,61,elasticnet,saga,1.0402587615883838e-05,23,0.9058232393309833,car
