,model__C,model__class_weight,model__l1_ratio,model__max_iter,model__penalty,model__solver,model__tol,Score
0,0.5212131190318166,,0.49646670359671674,421,l1,saga,1.385337547742264e-05,0.8326862602277658
0,0.4246411488945878,,1.0,10,elasticnet,saga,1e-06,0.8327749281606155
0,0.001,,0.0,10,,saga,1e-06,0.8322636138009317
0,1.2882139188580088,,0.8567113774076777,345,l1,saga,9.37601945761937e-05,0.8324417587819712
0,0.9493689230909363,,0.4960013170610712,18,l1,saga,1.004588206660357e-06,0.8324863817181605
0,1.255110887546745,,1.0,10,elasticnet,saga,0.0001,0.8323525129095929
0,0.5869387997419382,,1.0,10,elasticnet,saga,0.0001,0.832776084039673
0,0.44831049713212623,,0.0811783857520182,37,l1,saga,1.2543403633547482e-06,0.8327750437485212
0,0.41303853921156664,,0.0,482,l1,saga,1e-06,0.8326405970004247
0,0.6426294953722576,,0.31594831570991516,10,l1,saga,2.2615261705058215e-06,0.8327764308033903
0,0.9227770725824495,,0.17101865037186195,421,l1,saga,0.0001,0.8324862661302547
0,0.4636433223080918,,0.6725852774428924,501,elasticnet,saga,1e-06,0.8326192102355763
0,100.0,,0.0,10,elasticnet,saga,0.0001,0.8323534376128389
0,0.7900930614830536,,0.30304377596843274,501,elasticnet,saga,1.4908547338188612e-05,0.832397135845782
0,0.5327544396115765,,1.0,10,elasticnet,saga,1e-06,0.8326190946476705
0,61.533912275332106,,0.23526509825109262,10,l1,saga,1.1700930504065663e-05,0.8323310105568386
0,0.5430055077701671,,0.9326679104558206,161,l1,saga,4.934372270954777e-06,0.8326415217036708
0,1.0362772193709517,,0.48007321259130675,379,elasticnet,saga,9.470605950669095e-05,0.832330317029404
0,100.0,,0.0,10,elasticnet,saga,1e-06,0.8323757490809336
0,0.7237719263836738,,1.0,501,elasticnet,saga,0.0001,0.8325311202422555
0,0.5943812009798347,,0.19164896532858852,475,l1,saga,6.597679081945753e-05,0.832664064347577
0,0.5970935801605005,,0.5442095671376875,496,l1,saga,1e-06,0.8327088028716719
0,0.418863841667588,,0.5394780038763113,274,elasticnet,saga,1.0906637571862963e-06,0.832708224932143
0,0.7425882372384095,,0.9875900332948098,86,l1,saga,3.4892254375087926e-06,0.8324415276061597
0,100.0,balanced,0.0,10,,saga,0.0001,0.8325750496510101
0,1.1194830562137228,,1.0,10,elasticnet,saga,0.0001,0.8322852317415919
0,0.6044079633550336,,0.851114175162457,49,l1,saga,3.081715434308311e-05,0.8328432496197683
0,0.6494273149662277,,0.056239030651872204,226,l1,saga,1.1872549503828537e-06,0.8327319234551068
0,0.40206683120907244,,0.0,501,l1,saga,0.0001,0.8326182855323302
0,0.3598609526735166,,0.25196009794674323,300,l1,saga,1.4699666750354371e-05,0.8325059190765168
0,0.4430226139382329,,0.4672442678663094,339,elasticnet,saga,2.944229975544547e-06,0.8324851102511972
0,3.7713484290755237,,0.42184540837454026,371,l2,saga,1.792469873086933e-05,0.8322860408569323
0,1.9669674603713632,,0.9612832897773538,106,l1,saga,2.112455298622443e-05,0.8323754023172163
0,2.2186129345887244,,0.7416490423668091,70,l1,saga,3.437266938668425e-05,0.8323306637931213
0,0.9109411296492634,,1.0,10,,saga,0.0001,0.8323758646688394
0,0.718858152319446,,0.4258043087757109,476,l1,saga,3.522315087051262e-05,0.8325759743542561
0,100.0,,0.23352936163491755,366,l2,saga,1e-06,0.8322413023328372
0,1.585476070612392,,0.9837024826474949,444,elasticnet,saga,1.060537893127884e-06,0.8324867284818778
0,0.7766628701951171,,0.0,501,l1,saga,0.0001,0.8323520505579697
0,0.4456191079432671,,0.5812473418718206,211,l1,saga,7.449174696808708e-06,0.8327750437485212
0,0.6251286758602873,,0.5941920690019188,448,l1,saga,1.0531224694150495e-06,0.8327318078672011
0,0.3826000403441427,,1.0,10,l1,saga,0.0001,0.8325504264248004
0,100.0,,1.0,10,,saga,1e-06,0.8326675319847497
0,0.3930375859642661,,0.43147334648042773,13,elasticnet,saga,8.452605079620089e-06,0.832596205240047
0,3.884608940797917,,0.15287738624702243,62,l2,saga,1.948250979134668e-06,0.8322637293888375
0,100.0,,0.04314612545291019,10,,saga,5.704847320258713e-06,0.8327122705088447
0,0.49029988817426784,,0.8305815036492507,132,l1,saga,6.493934105370433e-05,0.8326193258234821
0,100.0,,0.29717929327473136,172,,saga,5.5925862756223475e-05,0.8322413023328372
0,0.7362978382682837,,1.0,501,elasticnet,saga,0.0001,0.8324863817181605
0,1.301158369325839,,0.40324999563511554,238,elasticnet,saga,1.4901322947472228e-06,0.8323532064370275
