,model__C,model__class_weight,model__l1_ratio,model__max_iter,model__penalty,model__solver,model__tol,Score
0,0.11233621690895233,,0.9328679988478339,165,l2,saga,5.033414197773552e-06,0.8851737572074178
0,0.18401743941337112,balanced,0.858510100589509,424,elasticnet,saga,0.0001,0.8848059841047219
0,0.7760003593069297,,1.0,10,l2,saga,0.0001,0.8848309178743962
0,1.2882139188580088,,0.8567113774076777,345,l1,saga,9.37601945761937e-05,0.884818450989559
0,0.10391336722423065,,0.0,501,elasticnet,saga,0.0001,0.8851675237649993
0,0.6780109991306468,,0.09189714616273105,434,l1,saga,8.91964516775014e-06,0.8850428549166277
0,0.08876298033781516,,0.0,501,l2,saga,1e-06,0.8852049244195107
0,0.06820287458992898,,0.1556916390885316,370,elasticnet,saga,2.18877912501871e-06,0.8855913978494622
0,5.443675768215341,,0.8878029074840855,304,elasticnet,saga,4.4781285989468764e-05,0.8847374162381175
0,0.07777740828743737,,0.0,10,l2,saga,0.0001,0.8850553218014648
0,0.06577200360597854,,0.020689437164597816,463,elasticnet,saga,1.7722479678557434e-06,0.885186224092255
0,0.08818405191567062,,0.7963620134688223,311,l2,saga,7.922046485781762e-05,0.885186224092255
0,0.030285175773568533,,0.03342571243102189,495,elasticnet,saga,9.63609796609528e-05,0.8855415303101138
0,0.22660930464853138,,0.33061963611460027,487,elasticnet,saga,2.9412959354639795e-05,0.8850740221287206
0,0.09305208944358224,,1.0,10,l2,saga,0.0001,0.8852111578619292
0,0.04645300238306756,,0.4284488322786789,351,l2,saga,4.5479696365228525e-05,0.8852734922861151
0,0.17688391698980968,,0.652871682130385,192,elasticnet,saga,2.975561278711714e-05,0.8852921926133707
0,0.35019151646628927,,0.0,501,l2,saga,1e-06,0.8848683185289077
0,0.03888590219741344,balanced,0.27319389162844554,232,elasticnet,saga,1.426721409675522e-05,0.885317126383045
0,0.07089735904762608,,0.6613864877890714,303,l2,saga,1.6192424035586117e-05,0.885198690977092
0,0.30103859437193903,,0.2958144260049484,408,l1,saga,5.3431283271736306e-05,0.8850428549166276
0,0.6608636529724282,,0.0,10,l1,saga,0.0001,0.8850179211469534
0,0.04551055099936169,,0.0,10,elasticnet,saga,0.0001,0.8853420601527192
0,0.03167065248634246,,0.086644837498929,66,elasticnet,saga,9.993307263024717e-05,0.8856911329281596
0,0.2588857716201267,,0.637272770917874,176,elasticnet,saga,1.5345164897302372e-05,0.8852547919588591
0,0.47495811556173756,,0.0,10,elasticnet,saga,1e-06,0.8848122175471405
0,0.05325775990175369,,0.0,10,l2,saga,0.0001,0.8851425899953248
0,0.31555721376254986,,0.0,501,l1,saga,1e-06,0.8850303880317906
0,0.05108518743322988,,0.35329655752673755,463,elasticnet,saga,3.7961445497207955e-06,0.8855041296556022
0,0.2660689252219723,,0.880873155848483,305,elasticnet,saga,8.208395438952541e-05,0.8850864890135578
0,0.05837858106690865,,0.2215390439890022,480,l2,saga,1.4293806083587936e-06,0.8851924575346736
0,0.46605640407597804,,0.21373093776872215,452,l2,saga,3.1800690959636123e-06,0.884849618201652
0,1.9669674603713632,,0.9612832897773538,106,l1,saga,2.112455298622443e-05,0.8847997506623032
0,2.2186129345887244,,0.7416490423668091,70,l1,saga,3.437266938668425e-05,0.8847872837774661
0,0.03314042530480817,,0.18196486206703047,489,l2,saga,1.391047512113927e-06,0.8853046594982078
0,0.34166486462578816,,0.43511386136899577,452,l1,saga,2.08723405505087e-05,0.8850740221287206
0,0.2031319382537276,,0.5255282545600678,154,elasticnet,saga,2.4282721414649022e-06,0.8853856942496493
0,0.03490739032951814,,0.0,206,l2,saga,1.6879165989946925e-05,0.8853358267103006
0,0.3014074877285508,,0.7935782222990472,434,l2,saga,2.7179668401005746e-06,0.8848994857410005
0,0.5853705630412153,,0.0,501,l1,saga,0.0001,0.8850303880317906
0,0.537124962744605,,0.0,10,l1,saga,1e-06,0.8851363565529063
0,0.015007377765652585,balanced,0.15175867214762184,17,elasticnet,saga,2.0313710148387695e-06,0.8853794608072308
0,0.2230127541115921,,0.6410398875150686,233,elasticnet,saga,1.8471091612562795e-05,0.8853794608072308
0,0.0386522672254948,balanced,0.17015167334662765,174,elasticnet,saga,1.750090466246785e-05,0.8853607604799749
0,0.02357717435470825,balanced,0.2291966281453576,10,elasticnet,saga,4.539413642089846e-05,0.8853919276920679
0,0.0796689491499715,,0.0,10,l2,saga,0.0001,0.8850179211469534
0,0.5618548676681655,,1.0,501,l1,saga,0.0001,0.8850802555711391
0,0.24355921633911903,,0.2363160830607272,244,elasticnet,saga,2.617993530702113e-06,0.8850740221287206
0,0.2665655957463724,,0.914441342752227,410,l2,saga,7.254962706050515e-05,0.8849555867227678
0,0.053687653963446304,,1.0,501,l2,saga,0.0001,0.8851862240922549
