C,kernel,gamma,score,dataset
0.1,linear,0.31622776601683794,0.8308553459119496,diabetes
0.1,linear,0.31622776601683794,0.9996662944729229,banknotes
0.1,linear,0.31622776601683794,0.5179285714285715,credit
0.1,linear,0.31622776601683794,0.9559813766994981,spambase
1.467799267622069,rbf,0.01467799267622069,0.8349280223619846,diabetes
1.467799267622069,rbf,0.01467799267622069,1.0,banknotes
1.467799267622069,rbf,0.01467799267622069,0.6335952380952381,credit
1.467799267622069,rbf,0.01467799267622069,0.9637206462648408,spambase
21.54434690031882,sigmoid,10.0,0.679753319357093,diabetes
21.54434690031882,sigmoid,10.0,0.79796393104265,banknotes
21.54434690031882,sigmoid,10.0,0.5394761904761904,credit
21.54434690031882,sigmoid,10.0,0.8302189430676364,spambase
0.01,sigmoid,0.004641588833612777,0.8286925227113906,diabetes
0.01,sigmoid,0.004641588833612777,0.9449440863489486,banknotes
0.01,sigmoid,0.004641588833612777,0.5898571428571429,credit
0.01,sigmoid,0.004641588833612777,0.9279209715408449,spambase
0.046415888336127774,rbf,3.1622776601683795,0.7338357791754018,diabetes
0.046415888336127774,rbf,3.1622776601683795,0.999859933907414,banknotes
0.046415888336127774,rbf,3.1622776601683795,0.5648095238095238,credit
0.046415888336127774,rbf,3.1622776601683795,0.8633218050488664,spambase
100.0,linear,0.0014677992676220691,0.8319433962264151,diabetes
100.0,linear,0.0014677992676220691,0.9997957163883673,banknotes
100.0,linear,0.0014677992676220691,0.48892857142857143,credit
100.0,linear,0.0014677992676220691,0.9534462904288379,spambase
10.0,rbf,0.6812920690579608,0.7353249475890985,diabetes
10.0,rbf,0.6812920690579608,1.0,banknotes
10.0,rbf,0.6812920690579608,0.5759761904761905,credit
10.0,rbf,0.6812920690579608,0.9025781566557249,spambase
0.6812920690579611,sigmoid,0.046415888336127774,0.8285331935709295,diabetes
0.6812920690579611,sigmoid,0.046415888336127774,0.9898475697440322,banknotes
0.6812920690579611,sigmoid,0.046415888336127774,0.5196904761904763,credit
0.6812920690579611,sigmoid,0.046415888336127774,0.8825635034726581,spambase
0.31622776601683794,rbf,4.6415888336127775,0.7234926624737945,diabetes
0.31622776601683794,rbf,4.6415888336127775,1.0,banknotes
0.31622776601683794,rbf,4.6415888336127775,0.5704047619047619,credit
0.31622776601683794,rbf,4.6415888336127775,0.8389447828870953,spambase
4.6415888336127775,sigmoid,0.006812920690579608,0.8335352900069882,diabetes
4.6415888336127775,sigmoid,0.006812920690579608,0.999548080664535,banknotes
4.6415888336127775,sigmoid,0.006812920690579608,0.519452380952381,credit
4.6415888336127775,sigmoid,0.006812920690579608,0.9138841654480411,spambase
68.12920690579608,rbf,0.1,0.758696715583508,diabetes
68.12920690579608,rbf,0.1,1.0,banknotes
68.12920690579608,rbf,0.1,0.6319285714285714,credit
68.12920690579608,rbf,0.1,0.9311170819703731,spambase
0.03162277660168379,linear,0.01467799267622069,0.8335366876310273,diabetes
0.03162277660168379,linear,0.01467799267622069,0.9995803656521568,banknotes
0.03162277660168379,linear,0.01467799267622069,0.5112142857142856,credit
0.03162277660168379,linear,0.01467799267622069,0.9559848266525448,spambase
0.014677992676220698,linear,0.46415888336127775,0.832190076869322,diabetes
0.014677992676220698,linear,0.46415888336127775,0.9992362979128954,banknotes
0.014677992676220698,linear,0.46415888336127775,0.5503571428571429,credit
0.014677992676220698,linear,0.46415888336127775,0.9561359055874465,spambase
31.622776601683793,sigmoid,0.06812920690579612,0.7172571628232005,diabetes
31.622776601683793,sigmoid,0.06812920690579612,0.9430573178365392,banknotes
31.622776601683793,sigmoid,0.06812920690579612,0.489,credit
31.622776601683793,sigmoid,0.06812920690579612,0.8650663709394874,spambase
3.1622776601683795,linear,1.0,0.8318301886792453,diabetes
3.1622776601683795,linear,1.0,0.9996878647921636,banknotes
3.1622776601683795,linear,1.0,0.517047619047619,credit
3.1622776601683795,linear,1.0,0.9558219732631592,spambase
0.21544346900318834,rbf,0.0014677992676220691,0.8295136268343816,diabetes
0.21544346900318834,rbf,0.0014677992676220691,0.9463525718023764,banknotes
0.21544346900318834,rbf,0.0014677992676220691,0.622047619047619,credit
0.21544346900318834,rbf,0.0014677992676220691,0.9438497008847161,spambase
0.31622776601683794,sigmoid,1.467799267622069,0.6814367575122293,diabetes
0.31622776601683794,sigmoid,1.467799267622069,0.8389278705442488,banknotes
0.31622776601683794,sigmoid,1.467799267622069,0.5225238095238096,credit
0.31622776601683794,sigmoid,1.467799267622069,0.8318179410793691,spambase
2.154434690031882,rbf,0.0021544346900318843,0.8323612858141161,diabetes
2.154434690031882,rbf,0.0021544346900318843,0.999021370124121,banknotes
2.154434690031882,rbf,0.0021544346900318843,0.6206666666666667,credit
2.154434690031882,rbf,0.0021544346900318843,0.9592657624979524,spambase
21.54434690031882,linear,0.46415888336127775,0.8319433962264151,diabetes
21.54434690031882,linear,0.46415888336127775,0.9997955754058886,banknotes
21.54434690031882,linear,0.46415888336127775,0.5367142857142857,credit
21.54434690031882,linear,0.46415888336127775,0.9512304310224147,spambase
0.021544346900318832,rbf,0.1,0.8284039133473096,diabetes
0.021544346900318832,rbf,0.1,0.9935245337709429,banknotes
0.021544346900318832,rbf,0.1,0.629904761904762,credit
0.021544346900318832,rbf,0.1,0.9044765847320958,spambase
0.046415888336127774,sigmoid,0.1467799267622069,0.8246114605171208,diabetes
0.046415888336127774,sigmoid,0.1467799267622069,0.9802845167402594,banknotes
0.046415888336127774,sigmoid,0.1467799267622069,0.5345714285714285,credit
0.046415888336127774,sigmoid,0.1467799267622069,0.9002883617058434,spambase
46.41588833612777,linear,0.021544346900318832,0.8319811320754716,diabetes
46.41588833612777,linear,0.021544346900318832,0.9998064310567483,banknotes
46.41588833612777,linear,0.021544346900318832,0.5033809523809525,credit
46.41588833612777,linear,0.021544346900318832,0.9514442834413469,spambase
3.1622776601683795,rbf,6.812920690579608,0.7158626834381552,diabetes
3.1622776601683795,rbf,6.812920690579608,1.0,banknotes
