mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__kernel,param_model__gamma,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,dataset
0.025515222549438478,0.0036956240432054277,0.019655895233154298,0.0043185882743763905,rbf,10.0,46.41588833612777,"{'model__kernel': 'rbf', 'model__gamma': 10.0, 'model__C': 46.41588833612777}",0.7435185185185185,0.6762962962962963,0.702962962962963,0.7349056603773584,0.7264150943396226,0.7168197064989518,0.02435633746947908,83,diabetes
0.022440290451049803,0.0027612482651718615,0.009299993515014648,0.0011784052870981085,sigmoid,0.6812920690579608,46.41588833612777,"{'model__kernel': 'sigmoid', 'model__gamma': 0.6812920690579608, 'model__C': 46.41588833612777}",0.6235185185185185,0.6246296296296296,0.6653703703703704,0.6347169811320755,0.6975471698113207,0.6491565338923829,0.028537412941318223,100,diabetes
0.021190500259399413,0.004477130238258324,0.015668582916259766,0.0026112827562443613,rbf,0.01,0.1,"{'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 0.1}",0.8146296296296296,0.8029629629629629,0.8259259259259258,0.8626415094339623,0.8375471698113208,0.8287414395527601,0.020485876963982307,54,diabetes
0.02858757972717285,0.0027273096832393347,0.016399240493774413,0.003101749875917696,rbf,3.1622776601683795,0.01,"{'model__kernel': 'rbf', 'model__gamma': 3.1622776601683795, 'model__C': 0.01}",0.7474074074074074,0.6857407407407408,0.7355555555555555,0.7552830188679246,0.7415094339622641,0.7330992313067785,0.02456190546394811,78,diabetes
0.02004842758178711,0.0037123638307102625,0.01339569091796875,0.002480223191971859,rbf,0.046415888336127774,1.467799267622069,"{'model__kernel': 'rbf', 'model__gamma': 0.046415888336127774, 'model__C': 1.467799267622069}",0.8174074074074074,0.8157407407407408,0.8272222222222221,0.8822641509433962,0.8518867924528302,0.8389042627533193,0.025233943782195917,1,diabetes
0.016638898849487306,0.001442103416189681,0.007293033599853516,0.0030586319608643933,linear,0.03162277660168379,0.1,"{'model__kernel': 'linear', 'model__gamma': 0.03162277660168379, 'model__C': 0.1}",0.8083333333333333,0.8051851851851852,0.8298148148148148,0.8722641509433962,0.8386792452830188,0.8308553459119496,0.0242618360508612,38,diabetes
0.3787888526916504,0.0994725492385255,0.010042667388916016,0.0007871272453659673,linear,0.004641588833612777,100.0,"{'model__kernel': 'linear', 'model__gamma': 0.004641588833612777, 'model__C': 100.0}",0.8077777777777778,0.8083333333333333,0.8288888888888888,0.8728301886792453,0.8418867924528303,0.8319433962264151,0.02417164920104418,26,diabetes
0.03150067329406738,0.0021624290880947815,0.01929750442504883,0.0016248538650284218,rbf,1.467799267622069,100.0,"{'model__kernel': 'rbf', 'model__gamma': 1.467799267622069, 'model__C': 100.0}",0.7414814814814815,0.6762962962962963,0.735,0.759056603773585,0.7577358490566038,0.7339140461215934,0.03025847639601449,77,diabetes
0.02073040008544922,0.0019106306187357206,0.00906233787536621,0.0035137950537236953,sigmoid,0.03162277660168379,3.1622776601683795,"{'model__kernel': 'sigmoid', 'model__gamma': 0.03162277660168379, 'model__C': 3.1622776601683795}",0.8051851851851851,0.8109259259259258,0.8238888888888889,0.8624528301886792,0.8305660377358491,0.8266037735849057,0.020063777469608773,59,diabetes
0.023201417922973634,0.002968723427072892,0.018697261810302734,0.00451282590535207,rbf,0.0021544346900318843,0.21544346900318834,"{'model__kernel': 'rbf', 'model__gamma': 0.0021544346900318843, 'model__C': 0.21544346900318834}",0.8157407407407408,0.8038888888888889,0.8285185185185185,0.8669811320754717,0.8318867924528301,0.8294032145352901,0.02124473928457878,47,diabetes
0.03265824317932129,0.0056046445417293,0.017094230651855467,0.001483967804414878,rbf,3.1622776601683795,68.12920690579608,"{'model__kernel': 'rbf', 'model__gamma': 3.1622776601683795, 'model__C': 68.12920690579608}",0.7427777777777778,0.6827777777777778,0.7372222222222221,0.7524528301886791,0.7405660377358491,0.7311593291404611,0.02471607123718412,79,diabetes
0.019912099838256835,0.0044987083071304085,0.01047687530517578,0.0029164135266475646,linear,2.154434690031882,0.01,"{'model__kernel': 'linear', 'model__gamma': 2.154434690031882, 'model__C': 0.01}",0.8137037037037036,0.8105555555555557,0.8314814814814815,0.8690566037735848,0.8392452830188679,0.8328085255066388,0.02105851352269816,13,diabetes
0.019591522216796876,0.0041780197448064785,0.010622406005859375,0.001569143372389267,linear,10.0,0.21544346900318834,"{'model__kernel': 'linear', 'model__gamma': 10.0, 'model__C': 0.21544346900318834}",0.8074074074074075,0.8053703703703703,0.8292592592592591,0.8739622641509432,0.8384905660377359,0.8308979734451432,0.024973310521315135,36,diabetes
0.0319364070892334,0.007186985880504612,0.017611885070800783,0.0022712639405555574,rbf,2.154434690031882,46.41588833612777,"{'model__kernel': 'rbf', 'model__gamma': 2.154434690031882, 'model__C': 46.41588833612777}",0.7459259259259259,0.6825925925925925,0.7366666666666667,0.7598113207547169,0.75,0.7349993011879804,0.027237076280079476,74,diabetes
0.019442033767700196,0.0034985119607947434,0.008574342727661133,0.002231701709908544,sigmoid,0.001,100.0,"{'model__kernel': 'sigmoid', 'model__gamma': 0.001, 'model__C': 100.0}",0.8083333333333333,0.8049999999999999,0.8298148148148148,0.8722641509433962,0.8386792452830188,0.8308183088749125,0.024301104273561046,40,diabetes
