mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bylevel,param_model__depth,param_model__iterations,param_model__l2_leaf_reg,param_model__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7.420944404602051,0.026323761696574192,0.008550405502319336,0.0035341110545185537,0.55,11,105,5.0,0.3775,"OrderedDict([('model__colsample_bylevel', 0.55), ('model__depth', 11), ('model__iterations', 105), ('model__l2_leaf_reg', 5.0), ('model__learning_rate', 0.3775)])",0.8834014291426882,0.8731714101917694,0.8686694307016932,0.877471953173995,0.87349237202455,0.875241319046939,0.004941582340945951,42
126.96613144874573,3.295412991497467,0.014026737213134766,0.0041394060584063214,1.0,16,11,15.0,0.5,"OrderedDict([('model__colsample_bylevel', 1.0), ('model__depth', 16), ('model__iterations', 11), ('model__l2_leaf_reg', 15.0), ('model__learning_rate', 0.5)])",0.837639306639776,0.8425491593789661,0.8414587833600445,0.8281530903769773,0.8357240181602719,0.8371048715832071,0.005117100372927346,84
28.187665510177613,0.13549994085232714,0.03569803237915039,0.04782671808043479,0.55,16,4,7.0,0.01,"OrderedDict([('model__colsample_bylevel', 0.55), ('model__depth', 16), ('model__iterations', 4), ('model__l2_leaf_reg', 7.0), ('model__learning_rate', 0.01)])",0.8108011544412956,0.8306474607507346,0.8115932687617587,0.833420144937635,0.8305166002216959,0.8233957258226241,0.0100170326067282,90
0.17111239433288575,0.01142577225417659,0.004800605773925781,0.0010043073703191166,1.0,3,34,13.0,0.255,"OrderedDict([('model__colsample_bylevel', 1.0), ('model__depth', 3), ('model__iterations', 34), ('model__l2_leaf_reg', 13.0), ('model__learning_rate', 0.255)])",0.8877636177130239,0.8868039014552219,0.8749669012612361,0.8883684063828305,0.8863347260384817,0.8848475105701589,0.004991314529305987,19
0.34241294860839844,0.02317533155964752,0.00532984733581543,0.0005934964565084315,0.775,7,25,11.0,0.5,"OrderedDict([('model__colsample_bylevel', 0.775), ('model__depth', 7), ('model__iterations', 25), ('model__l2_leaf_reg', 11.0), ('model__learning_rate', 0.5)])",0.8689135386059774,0.8806387676686893,0.8646226743780921,0.8763483380949063,0.8775643379314065,0.8736175313358144,0.005922285822093324,43
53.85915651321411,2.390846924736308,0.024652910232543946,0.026229782631861327,0.775,16,6,3.0,0.5,"OrderedDict([('model__colsample_bylevel', 0.775), ('model__depth', 16), ('model__iterations', 6), ('model__l2_leaf_reg', 3.0), ('model__learning_rate', 0.5)])",0.7917467879061844,0.781593268077264,0.7866899519197268,0.8116376907532575,0.7838690984771891,0.7911073594267244,0.010810432165458465,98
6.086012744903565,0.057667868259032445,0.020114660263061523,0.01127360439480599,0.775,13,13,13.0,0.255,"OrderedDict([('model__colsample_bylevel', 0.775), ('model__depth', 13), ('model__iterations', 13), ('model__l2_leaf_reg', 13.0), ('model__learning_rate', 0.255)])",0.8622233426639081,0.8690856616304745,0.852564281234757,0.8670301721134416,0.8603628922094939,0.8622532699704151,0.005778430519143924,63
119.77382998466491,2.177158260938086,0.016741037368774414,0.00490147929647502,0.55,16,21,13.0,0.1325,"OrderedDict([('model__colsample_bylevel', 0.55), ('model__depth', 16), ('model__iterations', 21), ('model__l2_leaf_reg', 13.0), ('model__learning_rate', 0.1325)])",0.8583114557435193,0.8668185058330581,0.8416173088983345,0.860208347850324,0.8587393263158628,0.8571389889282198,0.008342329660726152,69
12.31848702430725,0.07581977023957266,0.024019956588745117,0.022089240827861817,1.0,11,77,7.0,0.1325,"OrderedDict([('model__colsample_bylevel', 1.0), ('model__depth', 11), ('model__iterations', 77), ('model__l2_leaf_reg', 7.0), ('model__learning_rate', 0.1325)])",0.879614722603752,0.883368395430916,0.8724287506097135,0.8888962441641697,0.8824994213980069,0.8813615068413118,0.005384052506052221,31
2.0888453483581544,0.05525310639760768,0.009749174118041992,0.00510125800696178,0.1,13,56,5.0,0.255,"OrderedDict([('model__colsample_bylevel', 0.1), ('model__depth', 13), ('model__iterations', 56), ('model__l2_leaf_reg', 5.0), ('model__learning_rate', 0.255)])",0.8651998539562216,0.8572943651442182,0.8579889903142638,0.8675144589227232,0.8659035500930115,0.8627802436860875,0.004267864171381698,62
0.264128589630127,0.012583179561644868,0.004773283004760742,0.0006619793857459654,1.0,3,34,9.0,0.5,"OrderedDict([('model__colsample_bylevel', 1.0), ('model__depth', 3), ('model__iterations', 34), ('model__l2_leaf_reg', 9.0), ('model__learning_rate', 0.5)])",0.8822904532572978,0.8861658292330963,0.870711100271758,0.8877238519963765,0.8800649426357453,0.8813912354788547,0.005992190097729709,30
0.321059513092041,0.012882847430279454,0.0047566890716552734,0.00045483799140996946,1.0,3,56,1.0,0.255,"OrderedDict([('model__colsample_bylevel', 1.0), ('model__depth', 3), ('model__iterations', 56), ('model__l2_leaf_reg', 1.0), ('model__learning_rate', 0.255)])",0.8883634403741503,0.8937444581601961,0.8795850463382342,0.8925109748449586,0.8899542512890207,0.888831634201312,0.004993040126375929,12
0.2456059455871582,0.003153547240589494,0.004302072525024414,0.0004862728761956183,1.0,1,56,1.0,0.255,"OrderedDict([('model__colsample_bylevel', 1.0), ('model__depth', 1), ('model__iterations', 56), ('model__l2_leaf_reg', 1.0), ('model__learning_rate', 0.255)])",0.8834396787036876,0.8847349479284387,0.8724322346874782,0.8839497247578566,0.8836705466353206,0.8816454265425564,0.00462727325809012,29
